permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_origin,route_intersection_origin_x_coords,route_intersection_origin_y_coords,route_intersection_1,route_intersection_1_x_coords,route_intersection_1_y_coords,route_intersection_2,route_intersection_2_x_coords,route_intersection_2_y_coords,route_intersection_3,route_intersection_3_x_coords,route_intersection_3_y_coords,route_intersection_4,route_intersection_4_x_coords,route_intersection_4_y_coords,route_intersection_5,route_intersection_5_x_coords,route_intersection_5_y_coords,route_intersection_6,route_intersection_6_x_coords,route_intersection_6_y_coords,route_intersection_7,route_intersection_7_x_coords,route_intersection_7_y_coords,route_intersection_8,route_intersection_8_x_coords,route_intersection_8_y_coords,route_intersection_9,route_intersection_9_x_coords,route_intersection_9_y_coords,route_intersection_10,route_intersection_10_x_coords,route_intersection_10_y_coords,route_intersection_11,route_intersection_11_x_coords,route_intersection_11_y_coords,route_intersection_12,route_intersection_12_x_coords,route_intersection_12_y_coords,route_intersection_13,route_intersection_13_x_coords,route_intersection_13_y_coords,route_intersection_14,route_intersection_14_x_coords,route_intersection_14_y_coords,route_intersection_15,route_intersection_15_x_coords,route_intersection_15_y_coords,route_intersection_16,route_intersection_16_x_coords,route_intersection_16_y_coords,route_intersection_17,route_intersection_17_x_coords,route_intersection_17_y_coords,route_intersection_18,route_intersection_18_x_coords,route_intersection_18_y_coords,route_intersection_19,route_intersection_19_x_coords,route_intersection_19_y_coords,route_intersection_20,route_intersection_20_x_coords,route_intersection_20_y_coords,route_intersection_21,route_intersection_21_x_coords,route_intersection_21_y_coords,route_intersection_22,route_intersection_22_x_coords,route_intersection_22_y_coords,route_intersection_23,route_intersection_23_x_coords,route_intersection_23_y_coords
e23-013125,2023,02/15/2023,02/21/2023,75' KELLY BAR,California,Hayward,Antelope,* from clawiter rd s/b on ramp - 092e - 880n - 238s - 580e - to hopyard rd exit (dougherty rd n/b off ramp) - from hopyard rd n/b on ramp - 580w - 680n - 080e - 113n - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st w/b on ramp - 005s - 080e - to antelope rd exit (antelope rd n/b off ramp) *,"clawiter rd Hayward, California",clawiter rd and SR-92,-122.1209303,37.628221,SR-92 AND I-880,-122.093822,37.644770,SR-238 AND I-880,-122.134700,37.689526,SR-238 AND I-580,-122.097650,37.690007,I-580 AND HOPYARD RD  (DOUGHERTY RD N/B OFF RAMP),,,HOPYARD RD  (DOUGHERTY RD N/B OFF RAMP) AND HOPYARD RD N/B ON RAMP,,,HOPYARD RD N/B ON RAMP AND I-580,,,I-580 AND I-680,-121.922687,37.700955,I-80 AND I-680,-122.1379333,38.2163797,I-80 AND SR-113,-121.7702521,38.519704,I-5 AND SR-113,-121.751637,38.685321,I-5 AND SR-113,-121.751637,38.685321,SR-113 AND EAST ST W/B ON RAMP,,,EAST ST W/B ON RAMP AND I-5,,,I-5 AND I-80,-121.5171204,38.6248864,I-80 AND ANTELOPE RD  (ANTELOPE RD N/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,
e23-021610,2023,03/20/2023,03/26/2023,UNLADEN 9 AXLE WITH 2 DECK INSERTS,California,Fontana,Ontario,* from sierra ave w/b on ramp - 015s - 060w - to vineyard ave exit (vineyard ave n/b off ramp) *,"sierra ave Fontana, California",sierra ave and I-15,-117.4368008,34.1816271,I-15 AND SR-60,-117.550268,34.021768,SR-60 AND VINEYARD AVE  (VINEYARD AVE N/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-022752,2023,03/22/2023,03/28/2023,M95 TRACKED CONVEYOR,California,Dixon,Fresno,* from industrial way - 113n - 080w - 680s - 580e - 005s - 152e - 099s - 180w - to north floyd ave exit (north floyd ave) *,"industrial way Dixon, California",industrial way and SR-113,-121.8224247,38.4589893,I-80 AND SR-113,-121.7702521,38.519704,I-80 AND I-680,-122.1379333,38.2163797,I-580 AND I-680,-121.922687,37.700955,I-5 AND I-580,-121.340756,37.596558,I-5 AND SR-152,-120.9698301,37.0566575,SR-99 AND SR-152,-120.209553,37.084135,SR-99 AND SR-180,-119.814729,36.740875,SR-180 AND NORTH FLOYD AVE  (NORTH FLOYD AVE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-036568,2023,05/05/2023,05/11/2023,5 TROWEL MACHINES (END TO END) & MISC LEGAL FREIGHT,California,Elk Grove,Ca/Nv Border,* from grant line rd w/b on ramp - 099n - 051n (bus 80/capital city frwy)  - 080e - to nv line 80 exit *,"grant line Elk Grove, California",grant line and SR-99,-121.3620431,38.376388,SR-51 AND SR-99,-121.473416,38.559038,SR-51 AND I-80,-121.375460,38.647059,I-80 AND NV LINE 80,-120.0029996,39.4680353,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-017248,2023,03/02/2023,03/08/2023,150H GRADER,California,Fairfield,Saratoga,* from air base pkwy n/b on ramp - 080w - 680s - 280n - 017s - to scotts valley dr/granite creek rd exit (scotts valley dr w/b off ramp) *,"air base pkwy Fairfield, California",air base pkwy and I-80,-122.0497322,38.2733662,I-80 AND I-680,-122.1379333,38.2163797,I-280 AND I-680,-121.851986,37.339644,SR-17 AND I-280,-121.940329,37.316402,SR-17 AND SCOTTS VALLEY DR/GRANITE CREEK RD  (SCOTTS VALLEY DR W/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-017894,2023,03/06/2023,03/12/2023,Mobile Home 4001,California,Woodland,Lower Lake,* from east st e/b on ramp - 5n - 20w - 53s - to kugelman st exit (kugelman st/rd 141m) *,"east st Woodland, California",east st and I-5,-121.7651982,38.6965145,I-5 AND SR-20,-122.1498933,39.1665678,SR-20 AND SR-53,-122.614254,39.008536,SR-53 AND KUGELMAN ST  (KUGELMAN ST/RD 141M),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-024911,2023,03/30/2023,04/05/2023,CAT 352 EXCAVATOR,California,Pleasant Grove,Tracy,* from riego rd wb on ramp - 99s -5s - 80e - to watt ave sb off ramp exit 94a * watt ave oc over 51(bus 80/cap city frwy) * from watt ave sb on ramp - 50w - 99s - to cosumnes river blvd wb off ramp * from cosumnes river blvd wb on ramp - 5s - to fremont st off ramp exit 473 * fremont st uc under 5 * cetner st uc under 4 * from south el dorado st w/b on ramp - 5s - 205w - to mountain house pkwy/international pkwy s/b off ramp exit 2 *,"riego rd Pleasant Grove, California",riego rd and SR-99,-121.540639,38.750397,I-5 AND SR-99,-121.540221,38.669260,I-5 AND I-80,-121.5171204,38.6248864,I-80 AND WATT AVE SB OFF RAMP  94A * WATT AVE OC OVER 51(BUS 80/CAP CITY FRWY) * FROM WATT AVE SB ON RAMP,,,WATT AVE SB OFF RAMP  94A * WATT AVE OC OVER 51(BUS 80/CAP CITY FRWY) * FROM WATT AVE SB ON RAMP AND US-50,,,US-50 AND SR-99,-121.473449,38.558891,SR-99 AND COSUMNES RIVER BLVD WB OFF RAMP * FROM COSUMNES RIVER BLVD WB ON RAMP,,,COSUMNES RIVER BLVD WB OFF RAMP * FROM COSUMNES RIVER BLVD WB ON RAMP AND I-5,,,I-5 AND FREMONT ST OFF RAMP  473 * FREMONT ST UC UNDER 5 * CETNER ST UC UNDER 4 * FROM SOUTH EL DORADO ST W/B ON RAMP,,,FREMONT ST OFF RAMP  473 * FREMONT ST UC UNDER 5 * CETNER ST UC UNDER 4 * FROM SOUTH EL DORADO ST W/B ON RAMP AND I-5,,,I-5 AND I-205,-121.3212098,37.7747996,I-205 AND MOUNTAIN HOUSE PKWY/INTERNATIONAL PKWY S/B OFF RAMP  2,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-077031,2023,09/08/2023,09/14/2023,CAT 988K LOADER,California,Ontario,Colton,* from mission blvd - 83s - 60e - 15n - 10e - to rancho ave s/b off ramp *,"mission blvd Ontario, California",mission blvd and SR-83,-117.6509576,34.0549537,SR-60 AND SR-83,-117.650855,34.030425,I-15 AND SR-60,-117.550268,34.021768,I-10 AND I-15,-117.544920,34.067352,I-10 AND RANCHO AVE S/B OFF RAMP,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-040526,2023,05/18/2023,05/24/2023,CAT 325 LONG REACH EXCAVATOR,California,Santa Rosa,Middletown,* from todd rd e/b on ramp - 101n - to west rd exit (west rd e/b off ramp exit number 557) ** from east rd s/b on ramp - 020e - 029s - to hilderbrand rd exit (hilderbrand rd/rd 125) *,"todd rd Santa Rosa, California",todd rd and US-101,-122.7161848,38.3870017,US-101 AND WEST RD  (WEST RD E/B OFF RAMP  NUMBER 557) ** FROM EAST RD S/B ON RAMP,,,WEST RD  (WEST RD E/B OFF RAMP  NUMBER 557) ** FROM EAST RD S/B ON RAMP AND SR-20,,,SR-20 AND SR-29,-122.9213631,39.1634382,SR-29 AND HILDERBRAND RD  (HILDERBRAND RD/RD 125),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-027484,2023,04/08/2023,04/14/2023,CHILLER,California,Richmond,San Jose,* from richmond parkway s/b on ramp - 080e - to cummings skyway exit (cummings skyway s/b off ramp) ** from cummings skyway s/b on ramp - 004e - 680s - 101s - to bernal rd exit (bernal rd w/b off ramp exit number 377a) * bernal rd uc under 85 * great oaks blvd uc under hwy 85 *,"richmond parkway Richmond, California",richmond parkway and I-80,-122.3146394,37.9867923,I-80 AND CUMMINGS SKYWAY  (CUMMINGS SKYWAY S/B OFF RAMP) ** FROM CUMMINGS SKYWAY S/B ON RAMP,,,CUMMINGS SKYWAY  (CUMMINGS SKYWAY S/B OFF RAMP) ** FROM CUMMINGS SKYWAY S/B ON RAMP AND SR-4,,,SR-4 AND I-680,-122.069861,37.994566,US-101 AND I-680,-121.851952,37.339616,US-101 AND BERNAL RD  (BERNAL RD W/B OFF RAMP  NUMBER 377A) * BERNAL RD UC UNDER 85 * GREAT OAKS BLVD UC UNDER HWY 85,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-046132,2023,06/04/2023,06/10/2023,CBI 6800CT GRINDER,California,Bakersfield,Edwards,* copus rd oc over rte 5 * from copus rd e/b on ramp - 99n to california ave w/b off ramp exit # 25 - from california ave w/b on ramp - 99s - 58e to edwards afb exit (rosamond blvd s/b off ramp exit #186) *,"copus rd Bakersfield, California",copus rd and SR-99,-118.9795056,35.0945112,SR-99 AND CALIFORNIA AVE W/B ON RAMP,,,CALIFORNIA AVE W/B ON RAMP AND SR-99,,,SR-58 AND SR-99,-119.0395304,35.3526592,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-029432,2023,04/15/2023,04/21/2023,UNLADEN 9 AXLE COMBINATION WITH JEEP DECKED ON 12'W DECK,California,Long Beach,Los Angeles,* from paramount blvd n/b on ramp - 091w - 110n - 105w - to la cienega blvd exit (imperial hwy n/b off ramp exit number 2a) *,"paramount blvd Long Beach, California",paramount blvd and SR-91,-118.1600117,33.8761144,SR-91 AND SR-110,-118.284982,33.872775,I-105 AND SR-110,-118.2807593,33.9286602,I-105 AND LA CIENEGA BLVD  (SR-99 N/B OFF RAMP  NUMBER 2A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-058769,2023,07/12/2023,07/18/2023,"(2) OVERSIZE TRAILER PLATFORM, STKD",California,Az Line 40,"Long Beach, Ca",* from az line 40 - 040w - 015s - 210w - 605s - 105w - 710s - 001n - to santa fe ave exit *,"az line Az Line 40, California",I-10 and Arizona Line,-114.5309445,33.6047557,I-15 AND I-40,-117.008954,34.886545,I-15 AND SR-210,-117.495885,34.136374,SR-210 AND I-605,-117.957446,34.134298,I-105 AND I-605,-118.1048384,33.9139358,I-105 AND I-710,-118.1801015,33.9128225,SR-1 AND I-710,-118.207872,33.789912,SR-1 AND SANTA FE AVE,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-083743,2023,09/30/2023,10/06/2023,470 EXCAVATOR,California,Corona,Essex,* from weirick rd e/b on ramp - 015n - 040e - to essex rd exit (essex rd s/b off ramp) *,"weirick rd Corona, California",weirick rd and I-15,-117.5074664,33.8070007,I-15 AND I-40,-117.008954,34.886545,I-40 AND ESSEX RD  (ESSEX RD S/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-010154,2023,02/06/2023,02/12/2023,KOMATSU PC650 EXCAVATOR,California,Oceanside,Chula Vista,* from el camino real s/b on ramp - 078w - 005s - 805s - 054w - to rte 5 south exit (e street(chula vista) s/b off ramp) *,"el camino real s Oceanside, California",el camino real s and SR-78,-117.326912,33.181673,I-5 AND SR-78,-117.3513025,33.1770414,I-5 AND I-805,-117.040268,32.549777,SR-54 AND I-805,-117.0745078,32.658292,I-5 AND SR-54,-117.104102,32.651004,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-057281,2023,07/09/2023,07/15/2023,PETERBILT NATIONAL 367 CRANE          #45626,California,Oroville,Belden,* from pentz rd - 070e - to bucks powerhouse rd exit (bucks powerhouse rd) *,"pentz rd Oroville, California",pentz rd and SR-70,-121.5595019,39.6497904,SR-70 AND BUCKS POWERHOUSE RD  (BUCKS POWERHOUSE RD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-066565,2023,08/03/2023,08/09/2023,80 TON RT CRANE,California,Victorville,Menifee,* from bear valley rd w/b on ramp - 015s - 060e - 215s - to newport rd exit (newport rd w/b off ramp) *,"bear valley rd Victorville, California",bear valley rd and I-15,-117.3461908,34.4703646,I-15 AND SR-60,-117.550268,34.021768,SR-60 AND I-215,-117.357307,33.993341,I-215 AND NEWPORT RD  (NEWPORT RD W/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-016415,2023,02/28/2023,03/06/2023,CAT 972 Loader,California,Niland,Barstow,* from dillon rd s/b on ramp - 010w - 062e - to yucca mesa rd exit (yucca mesa rd) ** from reche rd - 247n - 015s - to l st exit (l st w/b off ramp) *,"dillon rd Niland, California",dillon rd and I-10,-116.1727427,33.7150602,I-10 AND SR-62,-116.604714,33.915269,SR-62 AND YUCCA MESA RD  (YUCCA MESA RD) ** FROM RECHE RD,,,YUCCA MESA RD  (YUCCA MESA RD) ** FROM RECHE RD AND SR-247,,,I-15 AND SR-247,-117.022901,34.885996,I-15 AND L ST  (L ST W/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-028639,2023,04/10/2023,04/16/2023,PC300 LO DRILL,California,Hayward,San Mateo,* from clawiter rd s/b on ramp - 092w - to mariners island blvd exit (mariners island blvd n/b off ramp exit number 14a) *,"clawiter rd Hayward, California",clawiter rd and SR-92,-122.1209303,37.628221,SR-92 AND MARINERS ISLAND BLVD  (MARINERS ISLAND BLVD N/B OFF RAMP  NUMBER 14A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-015763,2023,02/27/2023,03/05/2023,JD 844 WHEEL LOADER,California,Lathrop,Sacramento,* from mossdale rd w/b on ramp - 005n - 004e - to el dorado st/center st exit (center st s/b off ramp) * el dorado st uc under * fremont st uc under 5* from pershing ave e/b on ramp - 005n - 050e - to watt ave exit (watt ave n/b off ramp exit number 11) * watt ave oc over 51 (bus 80/capital city frwy)* from watt ave n/b on ramp - 080w - 005n - to co rd 8 exit (co rd 8 e/b off ramp exit number 554) *,"mossdale rd Lathrop, California",mossdale rd and I-5,-121.3146548,37.7790268,SR-4 AND I-5,-121.300591,37.948246,SR-4 AND EL DORADO ST/CENTER ST  (CENTER ST S/B OFF RAMP) * EL DORADO ST UC UNDER * FREMONT ST UC UNDER 5* FROM PERSHING AVE E/B ON RAMP,,,EL DORADO ST/CENTER ST  (CENTER ST S/B OFF RAMP) * EL DORADO ST UC UNDER * FREMONT ST UC UNDER 5* FROM PERSHING AVE E/B ON RAMP AND I-5,,,I-5 AND US-50,-121.5108873,38.5682793,US-50 AND WATT AVE  (WATT AVE N/B OFF RAMP  NUMBER 11) * WATT AVE OC OVER 51 (BUS 80/CAPITAL CITY FRWY)* FROM WATT AVE N/B ON RAMP,,,WATT AVE  (WATT AVE N/B OFF RAMP  NUMBER 11) * WATT AVE OC OVER 51 (BUS 80/CAPITAL CITY FRWY)* FROM WATT AVE N/B ON RAMP AND I-80,,,I-5 AND I-80,-121.5171204,38.6248864,I-5 AND CO RD 8  (CO RD 8 E/B OFF RAMP  NUMBER 554),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-017869,2023,03/06/2023,03/12/2023,RUBBLEMASTER TRACK CRUSHER,California,Fontana,Nv State Line At Hwy 15,* from cherry ave s/b on ramp - 010w - 015n - to nv line 15 exit *,"cherry ave Fontana, California",cherry ave and I-10,-117.488932,34.066114,I-10 AND I-15,-117.544920,34.067352,I-15 AND NV LINE 15,-115.392266,35.6048034,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-025645,2023,04/03/2023,04/09/2023,328 EXCAVATOR,California,Fremont,Santa Cruz,* from cushing pkwy e/b on ramp - 880s - 101s - 280n - 017s - 001n - 009n - to golf club dr exit (golf club dr) *,"cushing pkwy Fremont, California",cushing pkwy and I-880,-121.9486408,37.4905609,US-101 AND I-880,-121.901850,37.364156,US-101 AND I-280,-122.406813,37.735269,SR-17 AND I-280,-121.940329,37.316402,SR-1 AND SR-17,-122.021857,36.989805,SR-1 AND SR-9,-122.0297558,36.9844096,SR-9 AND GOLF CLUB DR  (GOLF CLUB DR),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-007410,2023,01/27/2023,02/02/2023,MODULAR BUILDING,California,Hanford,Laton,* from hanford armona rd - 043n - to cairo ave exit (cairo ave) *,"hanford armona rd Hanford, California",hanford armona rd and SR-43,-119.6007975,36.3134898,SR-43 AND CAIRO AVE  (CAIRO AVE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-033846,2023,04/25/2023,05/01/2023,CAT D6T DOZER W/ BLADE,California,West Sacramento,Elk Grove,* from enterprise blvd s/b on ramp - 080e - 005s - to cosumnes river blvd exit (cosumnes river blvd e/b off ramp exit number 510) *,"enterprise blvd West Sacramento, California",enterprise blvd and I-80,-121.5773814,38.5742546,I-5 AND I-80,-121.5171204,38.6248864,I-5 AND COSUMNES RIVER BLVD  (COSUMNES RIVER BLVD E/B OFF RAMP  NUMBER 510),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-001851,2023,01/09/2023,01/15/2023,LINK BELT RTC8090 CRANE W/ATTACHEMENTS,California,Lakeside,Wilmington,* from slaughter house cyn rd/griffith rd - 067s - 052w - 805n - 005n - to las pulgas rd e/b off ramp (exit # 62) -detour via ramps- from las pulgas rd w/b on ramp - 005n - 022w - 405n - to  wilmington ave w/b off ramp (exit #33b) *,"slaughter house cyn rd Lakeside, California",slaughter house cyn rd and SR-67,-116.9429071,32.9068163,SR-52 AND SR-67,-116.962491,32.8322913,SR-52 AND I-805,-117.1780977,32.8474801,I-5 AND I-805,-117.040268,32.549777,I-5 AND LAS PULGAS RD E/B OFF RAMP ( # 62),,,LAS PULGAS RD E/B OFF RAMP ( # 62) AND DETOUR VIA RAMPS,,,DETOUR VIA RAMPS AND LAS PULGAS RD W/B ON RAMP,,,LAS PULGAS RD W/B ON RAMP AND I-5,,,I-5 AND SR-22,-117.876860,33.778977,SR-22 AND I-405,-118.085186,33.774544,I-405 AND WILMINGTON AVE W/B OFF RAMP ( #33B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-063947,2023,07/27/2023,08/02/2023,HITACHI 870 EXCAVATOR      HARTILLRACKLEYBP9,California,Folsom,Diamond Springs,* from e bidwell st s/b on ramp - 050e - to missouri flat rd exit (missouri flat rd s/b off ramp exit number 44a) * from missouri flat rd - 049n - to rte 49 north/placerville exit (pleasant valley rd(diamond springs)) *,"e bidwell st Folsom, California",e bidwell st and US-50,-121.1149141,38.6432434,US-50 AND MISSOURI FLAT RD  (MISSOURI FLAT RD S/B OFF RAMP  NUMBER 44A) * FROM MISSOURI FLAT RD,,,MISSOURI FLAT RD  (MISSOURI FLAT RD S/B OFF RAMP  NUMBER 44A) * FROM MISSOURI FLAT RD AND SR-49,,,SR-49 AND SR-49,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-010256,2023,02/07/2023,02/13/2023,CAT D9T SLOPEDOZER,California,Vista,Otay Mesa,* from sycamore ave s/b on ramp - 078w - to mar vista dr s/b off ramp - from mar vista dr s/b on ramp - 078e - 015s - 056w - 005s - 805s - 905e - 011e - to enrico fermi dr n/b off ramp (exit #1b) *,"sycamore ave Vista, California",sycamore ave and SR-78,-117.2146301,33.1670183,SR-78 AND MAR VISTA DR S/B OFF RAMP,,,MAR VISTA DR S/B OFF RAMP AND MAR VISTA DR S/B ON RAMP,,,MAR VISTA DR S/B ON RAMP AND SR-78,,,I-15 AND SR-78,-117.351316,33.177050,I-15 AND SR-56,-117.095392,32.964692,I-5 AND SR-56,-117.2408403,32.9301482,I-5 AND I-805,-117.040268,32.549777,I-805 AND SR-905,-117.0406132,32.5681478,SR-11 AND SR-905,-116.948392,32.564100,SR-11 AND ENRICO FERMI DR N/B OFF RAMP ( #1B),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-006027,2023,01/27/2023,02/02/2023,LIGHT RAIL VEHICLE (SAC METRO 270),California,Sacramento,Sacramento,* from south watt ave across 16 * watt ave oc over 50 * el camino ave oc over 51 *,"south watt ave Sacramento, California",,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-024973,2023,03/30/2023,04/05/2023,MODULAR BUILDING,California,Ceres,Kerman,* from mitchell rd w/b on ramp - 099s - to liberty ave exit (sultana dr w/b off ramp) ** from sultana dr - 140e - to thornton rd exit (thornton rd) *dickenson ferry rd across 59* from mission ave e/b on ramp - 099s - 145s - to san joaquin ave exit (san joaquin ave) *,"mitchell rd Ceres, California",mitchell rd and SR-99,-120.9387649,37.5761141,SR-99 AND LIBERTY AVE  (SULTANA DR W/B OFF RAMP) ** FROM SULTANA DR,,,LIBERTY AVE  (SULTANA DR W/B OFF RAMP) ** FROM SULTANA DR AND SR-140,,,SR-140 AND THORNTON RD  (THORNTON RD) *DICKENSON FERRY RD ACROSS 59* FROM MISSION AVE E/B ON RAMP,,,THORNTON RD  (THORNTON RD) *DICKENSON FERRY RD ACROSS 59* FROM MISSION AVE E/B ON RAMP AND SR-99,,,SR-99 AND SR-145,-120.056131,36.953372,SR-145 AND SAN JOAQUIN AVE  (SAN JOAQUIN AVE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-006970,2023,01/29/2023,02/04/2023,DCG410 Kalmar Forklift Chassis,California,Oxnard,Oakland,* from rice ave e/b on ramp - 101n - 232n - 118w - 126e - 5n - to templin highway e/b off ramp exit number 183 - detour via ramps - from templin highway w/b on ramp - 5n - 580w - 238n - 880n - to market st exit (market st e/b off ramp) *,"rice ave Oxnard, California",rice ave and US-101,-119.1422375,34.2225573,US-101 AND SR-232,-119.173225,34.231861,SR-118 AND SR-232,-119.135299,34.274015,SR-118 AND SR-126,-119.156358,34.289602,I-5 AND SR-126,-118.6055142,34.4431988,I-5 AND TEMPLIN HIGHWAY E/B OFF RAMP  NUMBER 183,,,TEMPLIN HIGHWAY E/B OFF RAMP  NUMBER 183 AND DETOUR VIA RAMPS,,,DETOUR VIA RAMPS AND TEMPLIN HIGHWAY W/B ON RAMP,,,TEMPLIN HIGHWAY W/B ON RAMP AND I-5,,,I-5 AND I-580,-121.340756,37.596558,SR-238 AND I-580,-122.097650,37.690007,SR-238 AND I-880,-122.134700,37.689526,I-880 AND MARKET ST  (MARKET ST E/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-009894,2023,02/07/2023,02/13/2023,Wiggins W680 Forklift,California,Oxnard,Pittsburg,* from ventura blvd/myrtle st - 232n - 118w - to wells rd * harvard blvd across rte 150 * from hallock dr/telegraph rd - 126e - 005n - to templin highway e/b off ramp exit 183 - detour via ramps - from templin highway w/b on ramp - 005n - 580w - 680n - 004e - to loveridge rd n/b off ramp exit 24 *,"ventura blvd Oxnard, California",ventura blvd and SR-232,-119.1720352,34.2335382,SR-118 AND SR-232,-119.135299,34.274015,SR-118 AND WELLS RD * HARVARD BLVD ACROSS RTE 150 * FROM HALLOCK DR/TELEGRAPH RD,,,WELLS RD * HARVARD BLVD ACROSS RTE 150 * FROM HALLOCK DR/TELEGRAPH RD AND SR-126,,,I-5 AND SR-126,-118.6055142,34.4431988,I-5 AND TEMPLIN HIGHWAY E/B OFF RAMP  183,,,TEMPLIN HIGHWAY E/B OFF RAMP  183 AND DETOUR VIA RAMPS,,,DETOUR VIA RAMPS AND TEMPLIN HIGHWAY W/B ON RAMP,,,TEMPLIN HIGHWAY W/B ON RAMP AND I-5,,,I-5 AND I-580,-121.340756,37.596558,I-580 AND I-680,-121.922687,37.700955,SR-4 AND I-680,-122.069861,37.994566,SR-4 AND LOVERIDGE RD N/B OFF RAMP  24,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-036763,2023,05/04/2023,05/10/2023,623 scraper,California,Long Beach,Irvine,* from lakewood blvd w/b on ramp - 405s - 022e - 005s - to jeffrey rd exit (walnut ave w/b off ramp) *,"lakewood blvd Long Beach, California",lakewood blvd and I-405,-118.1426367,33.8057279,SR-22 AND I-405,-118.085186,33.774544,I-5 AND SR-22,-117.876860,33.778977,I-5 AND JEFFREY RD  (WALNUT AVE W/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
