permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_origin,route_intersection_origin_x_coords,route_intersection_origin_y_coords,route_intersection_1,route_intersection_1_x_coords,route_intersection_1_y_coords,route_intersection_2,route_intersection_2_x_coords,route_intersection_2_y_coords,route_intersection_3,route_intersection_3_x_coords,route_intersection_3_y_coords,route_intersection_4,route_intersection_4_x_coords,route_intersection_4_y_coords,route_intersection_5,route_intersection_5_x_coords,route_intersection_5_y_coords,route_intersection_6,route_intersection_6_x_coords,route_intersection_6_y_coords,route_intersection_7,route_intersection_7_x_coords,route_intersection_7_y_coords,route_intersection_8,route_intersection_8_x_coords,route_intersection_8_y_coords,route_intersection_9,route_intersection_9_x_coords,route_intersection_9_y_coords,route_intersection_10,route_intersection_10_x_coords,route_intersection_10_y_coords,route_intersection_11,route_intersection_11_x_coords,route_intersection_11_y_coords,route_intersection_12,route_intersection_12_x_coords,route_intersection_12_y_coords,route_intersection_13,route_intersection_13_x_coords,route_intersection_13_y_coords,route_intersection_14,route_intersection_14_x_coords,route_intersection_14_y_coords,route_intersection_15,route_intersection_15_x_coords,route_intersection_15_y_coords,route_intersection_16,route_intersection_16_x_coords,route_intersection_16_y_coords,route_intersection_17,route_intersection_17_x_coords,route_intersection_17_y_coords,route_intersection_18,route_intersection_18_x_coords,route_intersection_18_y_coords,route_intersection_19,route_intersection_19_x_coords,route_intersection_19_y_coords,route_intersection_20,route_intersection_20_x_coords,route_intersection_20_y_coords,route_intersection_21,route_intersection_21_x_coords,route_intersection_21_y_coords,route_intersection_22,route_intersection_22_x_coords,route_intersection_22_y_coords,route_intersection_23,route_intersection_23_x_coords,route_intersection_23_y_coords
e23-000193,2023,01/03/2023,01/09/2023,UNLADEN COMBINATION,California,Woodland,Az Line 40,* from west st e/b on ramp - 005s - 046e - 099s - 058e - 015n - 040e - to az line 40 exit *,"west st Woodland, California",west st and I-5,-121.7839318,38.7030896,I-5 AND SR-46,-119.653306,35.616297,SR-46 AND SR-99,-119.2112125,35.6017319,SR-58 AND SR-99,-119.0395304,35.3526592,I-15 AND SR-58,-117.076548,34.870725,I-15 AND I-40,-117.008954,34.886545,I-40 AND AZ LINE 40,-114.4878107,34.7171822,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000200,2023,01/04/2023,01/10/2023,CARROT HARVESTER,California,Avenal,Bakersfield,* from utica ave - 041n - 005s - 119e - to taft highway/panama rd exit (taft highway/panama rd) *,"utica ave Avenal, California",utica ave and SR-41,-120.0182411,35.9345514,I-5 AND SR-41,-119.9603248,35.9816544,I-5 AND SR-119,-119.224524,35.2670658,SR-119 AND TAFT HIGHWAY/PANAMA RD  (TAFT HIGHWAY/PANAMA RD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000141,2023,01/03/2023,01/09/2023,SCRAPER,California,Nv Line,San Diego,* from nv line 15 - 015s - to rancho bernardo rd exit (rancho bernardo rd w/b off ramp exit number 24) *,"nv line Nv Line, California",nv line and I-15,-115.391301,35.607169,I-15 AND RANCHO BERNARDO RD  (RANCHO BERNARDO RD W/B OFF RAMP  NUMBER 24),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000196,2023,01/03/2023,01/09/2023,R/R TAMPER,California,Vernon,Garden Grove,* from atlantic blvd e/b on ramp - 710s - 405s - 022e - to harbor blvd south exit (harbor blvd s/b off ramp exit number 12a) *,"atlantic blvd Vernon, California",atlantic blvd and I-710,-118.176805,33.9975235,I-405 AND I-710,-118.2074519,33.8263771,SR-22 AND I-405,-118.085186,33.774544,SR-22 AND HARBOR BLVD SOUTH  (HARBOR BLVD S/B OFF RAMP  NUMBER 12A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000197,2023,01/03/2023,01/09/2023,R/R REGULATOR,California,Vernon,Garden Grove,* from atlantic blvd e/b on ramp - 710s - 405s - 022e - to harbor blvd south exit (harbor blvd s/b off ramp exit number 12a) *,"atlantic blvd Vernon, California",atlantic blvd and I-710,-118.176805,33.9975235,I-405 AND I-710,-118.2074519,33.8263771,SR-22 AND I-405,-118.085186,33.774544,SR-22 AND HARBOR BLVD SOUTH  (HARBOR BLVD S/B OFF RAMP  NUMBER 12A),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000199,2023,01/03/2023,01/09/2023,CRATED MACHINE CENTER (CRATED FOR SHIPPING PROTECTION),California,Long Beach,Az Line,* from harbor ave - 001s - 710n - 105e - 605n - 210e - 215s - 010e - to az line 10 exit *,"harbor ave Long Beach, California",harbor ave and SR-1,-118.2105041,33.7898182,SR-1 AND I-710,-118.207872,33.789912,I-105 AND I-710,-118.1801015,33.9128225,I-105 AND I-605,-118.1048384,33.9139358,SR-210 AND I-605,-117.957446,34.134298,SR-210 AND I-215,-117.319360,34.144444,I-10 AND I-215,-117.2964956,34.0641924,I-10 AND AZ LINE 10,-114.5311155,33.6047178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000198,2023,01/03/2023,01/09/2023,CRATED MACHINE CENTER (CRATED FOR SHIPPING PROTECTION),California,Long Beach,Az Line,* from harbor ave - 001s - 710n - 105e - 605n - 210e - 215s - 010e - to az line 10 exit *,"harbor ave Long Beach, California",harbor ave and SR-1,-118.2105041,33.7898182,SR-1 AND I-710,-118.207872,33.789912,I-105 AND I-710,-118.1801015,33.9128225,I-105 AND I-605,-118.1048384,33.9139358,SR-210 AND I-605,-117.957446,34.134298,SR-210 AND I-215,-117.319360,34.144444,I-10 AND I-215,-117.2964956,34.0641924,I-10 AND AZ LINE 10,-114.5311155,33.6047178,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000205,2023,01/03/2023,01/09/2023,MRAP,California,Az Line,"1320 Pier C St, Long Beach, Ca",* from az line 8 - 008w - 805n - 005n - 405n - 605n - 105w - 710s - 001n - to santa fe ave exit (santa fe ave) *,"az line Az Line, California",I-8 and Arizona Line,-114.608218,32.698957,I-8 AND I-805,-117.131980,32.771822,I-5 AND I-805,-117.040268,32.549777,I-5 AND I-405,-117.731998,33.640746,I-405 AND I-605,-118.0938338,33.7863509,I-105 AND I-605,-118.1048384,33.9139358,I-105 AND I-710,-118.1801015,33.9128225,SR-1 AND I-710,-118.207872,33.789912,SR-1 AND SANTA FE AVE  (SANTA FE AVE),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000203,2023,01/03/2023,01/09/2023,POTATO PLANTER,California,Westmorland,Arvin,* from martin rd - 086n - 010w - 062e - to yucca mesa rd exit (yucca mesa rd) ** from reche rd - 247n - 015s - 058w - 223w - to edison rd exit (edison rd) *,"martin rd Westmorland, California",martin rd and SR-86,-115.6301303,33.0373425,I-10 AND SR-86,-116.1932279,33.7178667,I-10 AND SR-62,-116.604714,33.915269,SR-62 AND YUCCA MESA RD  (YUCCA MESA RD) ** FROM RECHE RD,,,YUCCA MESA RD  (YUCCA MESA RD) ** FROM RECHE RD AND SR-247,,,I-15 AND SR-247,-117.022901,34.885996,I-15 AND SR-58,-117.076548,34.870725,SR-58 AND SR-223,-118.658242,35.264251,SR-223 AND EDISON RD  (EDISON RD),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
e23-000208,2023,01/06/2023,01/12/2023,UNLADEN 11 AXLE COMBINATION WITH 12' WIDE DECK,California,Stockton,Sacramento,* from eight mile rd e/b on ramp - 099n - to florin rd east exit (florin rd e/b off ramp) *,"eight mile rd Stockton, California",eight mile rd and SR-99,-121.2593986,38.0569109,SR-99 AND FLORIN RD EAST  (FLORIN RD E/B OFF RAMP),,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
