permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,route_location_origin,authorizedhighways,route_location_1,route_location_2,route_location_3,route_location_4,route_location_5,route_location_6,route_location_7,route_location_8,route_location_9,route_location_10,route_location_11,route_location_12,route_location_13,route_location_14,route_location_15,route_location_16,route_location_17,route_location_18,route_location_19,route_location_20,route_location_21,route_location_22,route_location_23,route_location_24
e24-000390,2024,01/03/2024,01/09/2024,CAT 834 DOZER,California,Perris,Arizona Line/62,"placentia ave Perris, California",* from placentia ave w/b on ramp - 215n - to main st exit (orange st e/b off ramp exit number 52b) ** from main st(riverside) s/b on ramp - 060w - 015n - 210e - 215s - 010e - 062e - to az line 62 exit *,I-215,main st,SR-60,I-15,SR-210,I-215,I-10,SR-62,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000361,2024,01/03/2024,01/09/2024,FALBACH TRUCK CRANE,California,Sacramento,Auburn,"65th st Sacramento, California",* from 65th st n/b on ramp - 050e - to power inn rd/howe ave exit (howe ave n/b off ramp exit number 9) ** from watt ave w/b on ramp - 051n(bus 80/capital city fwy) - 080e - to bell rd exit (bell rd n/b off ramp exit number 123) ** from bell rd - 049n - to woodbridge rd exit (woodbridge rd) *,US-50,power inn rd,SR-51,I-80,bell rd,SR-49,woodbridge rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000396,2024,01/03/2024,01/09/2024,Pedestrian Bridge,California,"180 Niblick Rd, Paso Robles, Ca 93446",Arizona,"13th st 180 Niblick Rd, Paso Robles, Ca 93446, California",* from 13th st w/b on ramp - 101n - 046e - 005s - 223e - 058e - 015n - 040e - to az line 40 exit *,US-101,SR-46,I-5,SR-223,SR-58,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000159,2024,01/02/2024,01/08/2024,336 CAT EXCAVATOR,California,San Bernardino,Fontana,"alabama st San Bernardino, California",* from alabama st s/b on ramp - 010w - to cherry ave exit (cherry ave s/b off ramp) *,I-10,cherry ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000371,2024,01/03/2024,01/09/2024,CAT 637 E SCRAPER,California,Loma Linda,Compton,"alabama st Loma Linda, California",* from alabama st n/b onramp - 10w - 215n - 210w - 605s - 105w - 710s - 91w -to wilmington ave n/b offramp exit # 9 *,I-10,I-215,SR-210,I-605,I-105,I-710,SR-91,wilmington ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000378,2024,01/03/2024,01/09/2024,CAT 325 EXCAVATOR,California,Vallejo,Az Line,"solano ave Vallejo, California",* from solano ave - 029s - to maritime academy dr exit (maritime academy dr) * from maritime academy dr on ramp - 080w - to martinez exit (cummings skyway s/b off ramp) * from cummings skyway s/b on ramp - 004e - 680s - 580e - 005s - 046e - 043s - to rosedale hwy/sidding rd exit (rosedale hwy/sidding rd) * from mohawk st - 058e - 099s - 058e - 395s - 015s - 215s - 010e - 177n - 062e - 095s - 010e - to az line 10 exit *,SR-29,maritime academy dr,I-80,martinez,SR-4,I-680,I-580,I-5,SR-46,SR-43,rosedale hwy,SR-58,SR-99,SR-58,US-395,I-15,I-215,I-10,SR-177,SR-62,US-95,I-10,az line,None
e24-000877,2024,01/05/2024,01/11/2024,2 Cooling Towers (E2E) & Misc Legal #1395757,California,Madera,Arizona,"ave Madera, California",* from ave 12 w/b on ramp - 099s - 058e - 015n - 040e - to az line 40 exit *,SR-99,SR-58,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000372,2024,01/03/2024,01/09/2024,CASE STEIGER 370 TRACTOR   PO#  SCA482,California,Turlock,Stockton,"glenwood ave Turlock, California",* from glenwood ave - 165n - 099n - 120w - 005n - 004w - to fresno ave exit (fresno ave (south)) *,SR-165,SR-99,SR-120,I-5,SR-4,fresno ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000374,2024,01/04/2024,01/10/2024,CAT D8 DOZER,California,Brea,Corona,"randolph ave Brea, California",* from randolph ave - 090e - 057n - 060e - 071s - 091e - to west 6th st exit (maple st n/b off ramp) *,SR-90,SR-57,SR-60,SR-71,SR-91,west 6th st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000164,2024,01/02/2024,01/08/2024,Batch Plant  & Legal Misc,California,Twentynine Palms,Bakersfield,"mojave rd Twentynine Palms, California",* from mojave rd - 062w - to yucca mesa rd exit * from reche rd - 247n - 015s - 058w - 099n - 058w - to mohawk st exit (mohawk st) *,SR-62,yucca mesa rd,SR-247,I-15,SR-58,SR-99,SR-58,mohawk st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000166,2024,01/02/2024,01/08/2024,TRACK CRUSHER FT4250,California,Diamond Bar,Corona,"diamond bar blvd Diamond Bar, California",* from diamond bar blvd n/b on ramp - 060e - 071s - 091w - to green river rd exit (green river rd n/b off ramp) *,SR-60,SR-71,SR-91,green river rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000408,2024,01/05/2024,01/11/2024,Demag AC350-6 6 Axle Crane w/ 4 Axle Dolly,California,"656 Wool Creek Drive, San Jose","3000 Las Positas Blvd, Livermore","11th st 656 Wool Creek Drive, San Jose, California",* from 11th st e/b on ramp - 280s - 680n - to stoneridge dr exit (stoneridge dr w/b off ramp) ** from foothill rd n/b on ramp - 580e - to north livermore ave exit (north livermore ave s/b off ramp) *,I-280,I-680,stoneridge dr,I-580,north livermore ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000167,2024,01/03/2024,01/09/2024,Tele Stacker,California,Sunnyvale,Sunol,"caribbean dr Sunnyvale, California",* from caribbean dr s/b on ramp - 237e - 880n - 262n (mission blvd) - 680n - to sheridan rd exit (sheridan rd w/b off ramp) *,SR-237,I-880,SR-262,I-680,sheridan rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e24-000168,2024,01/03/2024,01/09/2024,Cone Crusher,California,Sunnyvale,Sunol,"caribbean dr Sunnyvale, California",* from caribbean dr s/b on ramp - 237e - 880n - 262n (mission blvd) - 680n - to sheridan rd exit (sheridan rd w/b off ramp) *,SR-237,I-880,SR-262,I-680,sheridan rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
