permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,route_location_origin,authorizedhighways,route_location_1,route_location_2,route_location_3,route_location_4,route_location_5,route_location_6,route_location_7,route_location_8,route_location_9,route_location_10,route_location_11,route_location_12,route_location_13,route_location_14,route_location_15,route_location_16,route_location_17,route_location_18,route_location_19,route_location_20,route_location_21,route_location_22,route_location_23,route_location_24
e23-013125,2023,02/15/2023,02/21/2023,75' KELLY BAR,California,Hayward,Antelope,"clawiter rd Hayward, California",* from clawiter rd s/b on ramp - 092e - 880n - 238s - 580e - to hopyard rd exit (dougherty rd n/b off ramp) - from hopyard rd n/b on ramp - 580w - 680n - 080e - 113n - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st w/b on ramp - 005s - 080e - to antelope rd exit (antelope rd n/b off ramp) *,SR-92,I-880,SR-238,I-580,hopyard rd,hopyard rd,I-580,I-680,I-80,SR-113,I-5,SR-113,east st,I-5,I-80,antelope rd,None,None,None,None,None,None,None,None
e23-021610,2023,03/20/2023,03/26/2023,UNLADEN 9 AXLE WITH 2 DECK INSERTS,California,Fontana,Ontario,"sierra ave Fontana, California",* from sierra ave w/b on ramp - 015s - 060w - to vineyard ave exit (vineyard ave n/b off ramp) *,I-15,SR-60,vineyard ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-022752,2023,03/22/2023,03/28/2023,M95 TRACKED CONVEYOR,California,Dixon,Fresno,"industrial way Dixon, California",* from industrial way - 113n - 080w - 680s - 580e - 005s - 152e - 099s - 180w - to north floyd ave exit (north floyd ave) *,SR-113,I-80,I-680,I-580,I-5,SR-152,SR-99,SR-180,north floyd ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-036568,2023,05/05/2023,05/11/2023,5 TROWEL MACHINES (END TO END) & MISC LEGAL FREIGHT,California,Elk Grove,Ca/Nv Border,"grant line Elk Grove, California",* from grant line rd w/b on ramp - 099n - 051n (bus 80/capital city frwy)  - 080e - to nv line 80 exit *,SR-99,SR-51,I-80,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-017248,2023,03/02/2023,03/08/2023,150H GRADER,California,Fairfield,Saratoga,"air base pkwy Fairfield, California",* from air base pkwy n/b on ramp - 080w - 680s - 280n - 017s - to scotts valley dr/granite creek rd exit (scotts valley dr w/b off ramp) *,I-80,I-680,I-280,SR-17,scotts valley dr,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-017894,2023,03/06/2023,03/12/2023,Mobile Home 4001,California,Woodland,Lower Lake,"east st Woodland, California",* from east st e/b on ramp - 5n - 20w - 53s - to kugelman st exit (kugelman st/rd 141m) *,I-5,SR-20,SR-53,kugelman st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-024911,2023,03/30/2023,04/05/2023,CAT 352 EXCAVATOR,California,Pleasant Grove,Tracy,"riego rd Pleasant Grove, California",* from riego rd wb on ramp - 99s -5s - 80e - to watt ave sb off ramp exit 94a * watt ave oc over 51(bus 80/cap city frwy) * from watt ave sb on ramp - 50w - 99s - to cosumnes river blvd wb off ramp * from cosumnes river blvd wb on ramp - 5s - to fremont st off ramp exit 473 * fremont st uc under 5 * cetner st uc under 4 * from south el dorado st w/b on ramp - 5s - 205w - to mountain house pkwy/international pkwy s/b off ramp exit 2 *,SR-99,I-5,I-80,watt ave,US-50,SR-99,cosumnes river blvd,I-5,fremont st,I-5,I-205,mountain house pkwy,None,None,None,None,None,None,None,None,None,None,None,None
e23-077031,2023,09/08/2023,09/14/2023,CAT 988K LOADER,California,Ontario,Colton,"mission blvd Ontario, California",* from mission blvd - 83s - 60e - 15n - 10e - to rancho ave s/b off ramp *,SR-83,SR-60,I-15,I-10,rancho ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-040526,2023,05/18/2023,05/24/2023,CAT 325 LONG REACH EXCAVATOR,California,Santa Rosa,Middletown,"todd rd Santa Rosa, California",* from todd rd e/b on ramp - 101n - to west rd exit (west rd e/b off ramp exit number 557) ** from east rd s/b on ramp - 020e - 029s - to hilderbrand rd exit (hilderbrand rd/rd 125) *,US-101,west rd,SR-20,SR-29,hilderbrand rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-027484,2023,04/08/2023,04/14/2023,CHILLER,California,Richmond,San Jose,"richmond parkway Richmond, California",* from richmond parkway s/b on ramp - 080e - to cummings skyway exit (cummings skyway s/b off ramp) ** from cummings skyway s/b on ramp - 004e - 680s - 101s - to bernal rd exit (bernal rd w/b off ramp exit number 377a) * bernal rd uc under 85 * great oaks blvd uc under hwy 85 *,I-80,cummings skyway,SR-4,I-680,US-101,bernal rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-046132,2023,06/04/2023,06/10/2023,CBI 6800CT GRINDER,California,Bakersfield,Edwards,"copus rd Bakersfield, California",* copus rd oc over rte 5 * from copus rd e/b on ramp - 99n to california ave w/b off ramp exit # 25 - from california ave w/b on ramp - 99s - 58e to edwards afb exit (rosamond blvd s/b off ramp exit #186) *,SR-99,california ave,SR-99,SR-58,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-029432,2023,04/15/2023,04/21/2023,UNLADEN 9 AXLE COMBINATION WITH JEEP DECKED ON 12'W DECK,California,Long Beach,Los Angeles,"paramount blvd Long Beach, California",* from paramount blvd n/b on ramp - 091w - 110n - 105w - to la cienega blvd exit (imperial hwy n/b off ramp exit number 2a) *,SR-91,SR-110,I-105,la cienega blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-058769,2023,07/12/2023,07/18/2023,"(2) OVERSIZE TRAILER PLATFORM, STKD",California,Az Line 40,"Long Beach, Ca","az line Az Line 40, California",* from az line 40 - 040w - 015s - 210w - 605s - 105w - 710s - 001n - to santa fe ave exit *,I-40,I-15,SR-210,I-605,I-105,I-710,SR-1,santa fe ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-083743,2023,09/30/2023,10/06/2023,470 EXCAVATOR,California,Corona,Essex,"weirick rd Corona, California",* from weirick rd e/b on ramp - 015n - 040e - to essex rd exit (essex rd s/b off ramp) *,I-15,I-40,essex rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-010154,2023,02/06/2023,02/12/2023,KOMATSU PC650 EXCAVATOR,California,Oceanside,Chula Vista,"el camino real s Oceanside, California",* from el camino real s/b on ramp - 078w - 005s - 805s - 054w - to rte 5 south exit (e street(chula vista) s/b off ramp) *,SR-78,I-5,I-805,SR-54,I-5,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-057281,2023,07/09/2023,07/15/2023,PETERBILT NATIONAL 367 CRANE          #45626,California,Oroville,Belden,"pentz rd Oroville, California",* from pentz rd - 070e - to bucks powerhouse rd exit (bucks powerhouse rd) *,SR-70,bucks powerhouse rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-066565,2023,08/03/2023,08/09/2023,80 TON RT CRANE,California,Victorville,Menifee,"bear valley rd Victorville, California",* from bear valley rd w/b on ramp - 015s - 060e - 215s - to newport rd exit (newport rd w/b off ramp) *,I-15,SR-60,I-215,newport rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-016415,2023,02/28/2023,03/06/2023,CAT 972 Loader,California,Niland,Barstow,"dillon rd Niland, California",* from dillon rd s/b on ramp - 010w - 062e - to yucca mesa rd exit (yucca mesa rd) ** from reche rd - 247n - 015s - to l st exit (l st w/b off ramp) *,I-10,SR-62,yucca mesa rd,SR-247,I-15,l st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-028639,2023,04/10/2023,04/16/2023,PC300 LO DRILL,California,Hayward,San Mateo,"clawiter rd Hayward, California",* from clawiter rd s/b on ramp - 092w - to mariners island blvd exit (mariners island blvd n/b off ramp exit number 14a) *,SR-92,mariners island blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-015763,2023,02/27/2023,03/05/2023,JD 844 WHEEL LOADER,California,Lathrop,Sacramento,"mossdale rd Lathrop, California",* from mossdale rd w/b on ramp - 005n - 004e - to el dorado st/center st exit (center st s/b off ramp) * el dorado st uc under * fremont st uc under 5* from pershing ave e/b on ramp - 005n - 050e - to watt ave exit (watt ave n/b off ramp exit number 11) * watt ave oc over 51 (bus 80/capital city frwy)* from watt ave n/b on ramp - 080w - 005n - to co rd 8 exit (co rd 8 e/b off ramp exit number 554) *,I-5,SR-4,el dorado st,I-5,US-50,watt ave,I-80,I-5,co rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-017869,2023,03/06/2023,03/12/2023,RUBBLEMASTER TRACK CRUSHER,California,Fontana,Nv State Line At Hwy 15,"cherry ave Fontana, California",* from cherry ave s/b on ramp - 010w - 015n - to nv line 15 exit *,I-10,I-15,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-025645,2023,04/03/2023,04/09/2023,328 EXCAVATOR,California,Fremont,Santa Cruz,"cushing pkwy Fremont, California",* from cushing pkwy e/b on ramp - 880s - 101s - 280n - 017s - 001n - 009n - to golf club dr exit (golf club dr) *,I-880,US-101,I-280,SR-17,SR-1,SR-9,golf club dr,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-007410,2023,01/27/2023,02/02/2023,MODULAR BUILDING,California,Hanford,Laton,"hanford armona rd Hanford, California",* from hanford armona rd - 043n - to cairo ave exit (cairo ave) *,SR-43,cairo ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-033846,2023,04/25/2023,05/01/2023,CAT D6T DOZER W/ BLADE,California,West Sacramento,Elk Grove,"enterprise blvd West Sacramento, California",* from enterprise blvd s/b on ramp - 080e - 005s - to cosumnes river blvd exit (cosumnes river blvd e/b off ramp exit number 510) *,I-80,I-5,cosumnes river blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-001851,2023,01/09/2023,01/15/2023,LINK BELT RTC8090 CRANE W/ATTACHEMENTS,California,Lakeside,Wilmington,"slaughter house cyn rd Lakeside, California",* from slaughter house cyn rd/griffith rd - 067s - 052w - 805n - 005n - to las pulgas rd e/b off ramp (exit # 62) -detour via ramps- from las pulgas rd w/b on ramp - 005n - 022w - 405n - to  wilmington ave w/b off ramp (exit #33b) *,SR-67,SR-52,I-805,I-5,las pulgas rd,detour via ramps,las pulgas rd,I-5,SR-22,I-405,wilmington ave,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-063947,2023,07/27/2023,08/02/2023,HITACHI 870 EXCAVATOR      HARTILLRACKLEYBP9,California,Folsom,Diamond Springs,"e bidwell st Folsom, California",* from e bidwell st s/b on ramp - 050e - to missouri flat rd exit (missouri flat rd s/b off ramp exit number 44a) * from missouri flat rd - 049n - to rte 49 north/placerville exit (pleasant valley rd(diamond springs)) *,US-50,missouri flat rd,SR-49,SR-49,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-010256,2023,02/07/2023,02/13/2023,CAT D9T SLOPEDOZER,California,Vista,Otay Mesa,"sycamore ave Vista, California",* from sycamore ave s/b on ramp - 078w - to mar vista dr s/b off ramp - from mar vista dr s/b on ramp - 078e - 015s - 056w - 005s - 805s - 905e - 011e - to enrico fermi dr n/b off ramp (exit #1b) *,SR-78,mar vista dr,mar vista dr,SR-78,I-15,SR-56,I-5,I-805,SR-905,SR-11,enrico fermi dr,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-006027,2023,01/27/2023,02/02/2023,LIGHT RAIL VEHICLE (SAC METRO 270),California,Sacramento,Sacramento,"south watt ave Sacramento, California",* from south watt ave across 16 * watt ave oc over 50 * el camino ave oc over 51 *,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-024973,2023,03/30/2023,04/05/2023,MODULAR BUILDING,California,Ceres,Kerman,"mitchell rd Ceres, California",* from mitchell rd w/b on ramp - 099s - to liberty ave exit (sultana dr w/b off ramp) ** from sultana dr - 140e - to thornton rd exit (thornton rd) *dickenson ferry rd across 59* from mission ave e/b on ramp - 099s - 145s - to san joaquin ave exit (san joaquin ave) *,SR-99,liberty ave,SR-140,thornton rd,SR-99,SR-145,san joaquin ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-006970,2023,01/29/2023,02/04/2023,DCG410 Kalmar Forklift Chassis,California,Oxnard,Oakland,"rice ave Oxnard, California",* from rice ave e/b on ramp - 101n - 232n - 118w - 126e - 5n - to templin highway e/b off ramp exit number 183 - detour via ramps - from templin highway w/b on ramp - 5n - 580w - 238n - 880n - to market st exit (market st e/b off ramp) *,US-101,SR-232,SR-118,SR-126,I-5,templin highway,detour via ramps,templin highway,I-5,I-580,SR-238,I-880,market st,None,None,None,None,None,None,None,None,None,None,None
e23-009894,2023,02/07/2023,02/13/2023,Wiggins W680 Forklift,California,Oxnard,Pittsburg,"ventura blvd Oxnard, California",* from ventura blvd/myrtle st - 232n - 118w - to wells rd * harvard blvd across rte 150 * from hallock dr/telegraph rd - 126e - 005n - to templin highway e/b off ramp exit 183 - detour via ramps - from templin highway w/b on ramp - 005n - 580w - 680n - 004e - to loveridge rd n/b off ramp exit 24 *,SR-232,SR-118,wells rd,SR-126,I-5,templin highway,detour via ramps,templin highway,I-5,I-580,I-680,SR-4,loveridge rd,None,None,None,None,None,None,None,None,None,None,None
e23-036763,2023,05/04/2023,05/10/2023,623 scraper,California,Long Beach,Irvine,"lakewood blvd Long Beach, California",* from lakewood blvd w/b on ramp - 405s - 022e - 005s - to jeffrey rd exit (walnut ave w/b off ramp) *,I-405,SR-22,I-5,jeffrey rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-027751,2023,04/09/2023,04/15/2023,GENERATOR ENCLOSURE,California,Az Line Hwy 62,Stanford,"az line Az Line Hwy 62, California",* from az line 62 - 062w - 095n - 040w - 015s - 058w - 099n - 058w - to mohawk st exit (mohawk st) ** from rosedale hwy/sidding rd - 043n - to buttonwillow/mckittrick exit (blue star memorial hwy) ** from tracy ave on ramp - 005n - 580w - 680s - 280n - to alpine rd exit (alpine rd e/b off ramp) *,SR-62,US-95,I-40,I-15,SR-58,SR-99,SR-58,mohawk st,SR-43,buttonwillow/mckittrick,I-5,I-580,I-680,I-280,alpine rd,None,None,None,None,None,None,None,None,None
e23-044560,2023,05/28/2023,06/03/2023,CAT 637 SCRAPER,California,Palmdale,Wildomar,"165th st Palmdale, California",* from 165th st east - 138e - 18e - 15s - 91w - to lincoln ave s/b off ramp exit 49 * from lincoln ave s/b on ramp - 91e - 15s - to clinton keith rd e/b off ramp *,SR-138,SR-18,I-15,SR-91,lincoln ave,SR-91,I-15,clinton keith rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-032008,2023,04/20/2023,04/26/2023,GENERATOR (WCS#1328214),California,Nv Line 80,San Leandro,"nv line Nv Line 80, California",* from nv line 80 - 080w - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st e/b on ramp - 005s - 113s - 080w - 680s - 580w - 238n - 880n - to marina blvd exit (marina blvd w/b off ramp exit number 33b) *,I-80,I-5,SR-113,east st,I-5,SR-113,I-80,I-680,I-580,SR-238,I-880,marina blvd,None,None,None,None,None,None,None,None,None,None,None,None
e23-010062,2023,02/08/2023,02/14/2023,BELL B45E DUMP TRUCK,California,Newark,Sacramento,"thornton ave Newark, California",* from thornton ave w/b on ramp - 084n - 880n - to whipple rd exit (whipple rd e/b off ramp exit number 24) ** from industrial parkway w/b on ramp - 880n - 238s - 580e - 205e - 005n - to charter way exit (charter way e/b off ramp) * el dorado under 4 * fremont under 5* from pershing ave e/b on ramp - 005n - 050e - to sunrise blvd/fair oaks exit (sunrise blvd s/b off ramp exit number 18) *,SR-84,I-880,whipple rd,I-880,SR-238,I-580,I-205,I-5,charter way,I-5,US-50,sunrise blvd,None,None,None,None,None,None,None,None,None,None,None,None
e23-007667,2023,02/02/2023,02/08/2023,B300 Casa Grande Drill Rig,California,West Sacramento,Sacramento,"harbor blvd West Sacramento, California",* from harbor blvd s/b on ramp - 50w - 80w - 113n - 5n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st w/b on ramp - 5s - 80e - to watt ave s/b off ramp exit 94a * watt ave oc over 51 (bus 80/cap city frwy) * watt ave oc over 50 *,US-50,I-80,SR-113,I-5,SR-113,east st,I-5,I-80,watt ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-032618,2023,04/23/2023,04/29/2023,SATELLITE CONTAINER,California,Az State Line,El Segundo,"az line Az State Line, California",* from az line 8 - 008w - 086n - to treshill rd * from ralph rd - 086n - 010w - 015n - 210w - 605s - 105w - to nash st s/b off ramp exit 1d *,I-8,SR-86,treshill rd,SR-86,I-10,I-15,SR-210,I-605,I-105,nash st,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-025010,2023,03/30/2023,04/05/2023,MANUFACTURED BUILDING,California,Livermore,North Highlands,"vasco rd Livermore, California",* from vasco rd n/b on ramp - 580e - 205e - to eleventh st e/b off ramp * from old us 50/11th st e/b on ramp - 005n - to hood franklin rd e/b off ramp exit 504 * from elk grove blvd w/b on ramp - 005n - to pocket rd exit (meadowview rd e/b off ramp exit 512) * florin rd oc over 99 * south watt ave across 16 * watt ave oc over 50 * watt ave oc over 51(bus 80/cap city fwy) * watt ave oc over 80 *,I-580,I-205,eleventh st,I-5,hood franklin rd,I-5,pocket rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114784,2023,01/01/2023,01/07/2023,EDISON REEL TRUCK,California,Rialto,Arizona S/L & I-10,"pepper ave Rialto, California",* from pepper ave s/b on ramp - 010e - to az line 10 exit *,I-10,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-063924,2023,07/27/2023,08/02/2023,Hot Plant,California,Lakeside,Indio,"slaughter house cyn rd Lakeside, California",* from slaughter house cyn rd/griffith rd - 067s - 008e - 111n - 078w - 086n - to dillon rd to rte 10 east exit (dillon rd e/b off ramp) *,SR-67,I-8,SR-111,SR-78,SR-86,dillon rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000951,2023,01/08/2023,01/14/2023,Manufactured Home SN41947A,California,Or/Ca Line 5,"134 Neptune Ave, Hayward","or line Or/Ca Line 5, California",* from or line 5 - 5s - 505s - 80e - 50e - 5s - 205w - 580w - 680s - 262s (mission blvd) - 880n - to whipple rd exit (whipple rd e/b off ramp exit number 24) *,I-5,I-505,I-80,US-50,I-5,I-205,I-580,I-680,SR-262,I-880,whipple rd,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000952,2023,01/08/2023,01/14/2023,Manufactured Home SN41947B,California,Or/Ca Line 5,"134 Neptune Ave, Hayward","or line Or/Ca Line 5, California",* from or line 5 - 5s - 505s - 80e - 50e - 5s - 205w - 580w - 680s - 262s (mission blvd) - 880n - to whipple rd exit (whipple rd e/b off ramp exit number 24) *,I-5,I-505,I-80,US-50,I-5,I-205,I-580,I-680,SR-262,I-880,whipple rd,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-021175,2023,03/19/2023,03/25/2023,TEXOMA 800 LT  DRILL RIG   PO#21084,California,San Francisco City,Livermore,"sloat blvd San Francisco City, California",* from sloat blvd @ san francisco zoo - 035n - 001s - 280s - 680n - 580e - to vasco rd s/b off ramp *,SR-35,SR-1,I-280,I-680,I-580,vasco rd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114858,2023,01/01/2023,01/07/2023,MOBILE OFFICE,California,Az Line I-40,Ceres,"az line Az Line I-40, California",* from az line 40 - 040w - 015s - 058w - 099n - 058w - to mohawk st exit (mohawk st) ** from rosedale hwy/sidding rd - 043n - to buttonwillow/mckittrick exit (blue star memorial hwy) ** from tracy ave on ramp - 005n - 132e - to carpenter rd exit (carpenter rd) *,I-40,I-15,SR-58,SR-99,SR-58,mohawk st,SR-43,buttonwillow/mckittrick,I-5,SR-132,carpenter rd,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114921,2023,01/01/2023,01/07/2023,45T CRANE,California,Fresno,San Luis Obispo,"jensen ave Fresno, California",* from jensen ave w/b on ramp - 041s - 046w - 101s - to los osos valley rd exit (los osos valley rd e/b off ramp exit number 200) ** from farmhouse ln - 227s - to crestmont dr exit (crestmont dr) *,SR-41,SR-46,US-101,los osos valley rd,SR-227,crestmont dr,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114919,2023,01/01/2023,01/07/2023,TEREX C-1540P CONE CRUSHER,California,Concord,Rancho Cordova,"railroad ave Concord, California",* from railroad ave n/b on ramp - 004w - 680n - 080e - 050e - to sunrise blvd/fair oaks exit (sunrise blvd s/b off ramp exit number 18) *,SR-4,I-680,I-80,US-50,sunrise blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000014,2023,01/02/2023,01/08/2023,LINKBELT RTC 8090 CRANE,California,Wilmington,Long Beach,"e 223rd st Wilmington, California",* from e 223rd st e/b on ramp - 405s - to spring st exit (spring st w/b off ramp exit number 29a) *,I-405,spring st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-115161,2023,01/02/2023,01/08/2023,Center Fuselage,California,"3250 E Ave M, Palmdale, Ca 93550",Az Line 40,"ave 3250 E Ave M, Palmdale, Ca 93550, California",* from ave `m` w/b on ramp - 014n - to business 58 east exit (mojave-barstow hwy (south jct)) ** from mojave-barstow hwy(e jct) n/b on ram - 058e - 015n - 040e - to az line 40 exit *,SR-14,business 58 east,barstow hwy,barstow hwy,SR-58,I-15,I-40,az line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-002798,2023,01/15/2023,01/21/2023,LIGHT RAIL VEHICLE (ALSTOM METRO),California,Lawndale,Mare Island,"rosecrans ave Lawndale, California",* from rosecrans ave - 1n to imperial hwy * from imperial hwy n/b onramp - 105e - 605n - 10e - 57n - 210e - 15n - 395n - 58w to fairfax rd s/b offramp * from fairfax rd - 223w - 5n - 580w - 680n - 242n - 4w - 680n - 80w - 37w to mare island exit (walnut ave s/b offramp exit # 17) *,SR-1,I-105,I-605,I-10,SR-57,SR-210,I-15,US-395,SR-58,SR-223,I-5,I-580,I-680,SR-242,SR-4,I-680,I-80,SR-37,None,None,None,None,None,None
e22-114754,2023,01/01/2023,01/07/2023,2 Tractors End to End Make: CAT Model: 305CR; D1 SN: 5G502071; XKL04246,California,Az Line,"955 Marina Blvd, San Leandro, Ca, 94577","az line Az Line, California",* from az line 40 - 040w - 015s - 058w - 099n - 046w - 005n - 580w - 238n - 880n - to marina blvd exit (marina blvd e/b off ramp exit number 33a) *,I-40,I-15,SR-58,SR-99,SR-46,I-5,I-580,SR-238,I-880,marina blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114857,2023,01/01/2023,01/07/2023,MODULAR BUILDING,California,Manteca    (787 Spreckles Ave),Corcoran   (1300 Letts Ave),"yosemite ave Manteca    (787 Spreckles Ave), California",* from yosemite ave e/b on ramp - 099s - 120w - 005s - 198e - to stratford exit (avenal cutoff s/b off ramp) * from jackson ave - 041s - to kansas ave exit (kansas ave) * from kansas ave - 043s - to whitley ave exit (whitley ave) *,SR-99,SR-120,I-5,SR-198,stratford,SR-41,kansas ave,SR-43,whitley ave,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114790,2023,01/01/2023,01/07/2023,FIXTURE FOR EMPTY F-19 2ND STAGE ROCKET - non hazmat,California,I-8 & Arizona S/L,Hawthorne,"az line I-8 & Arizona S/L, California",* from az line 8 - 008w - 111n - 078w - 086n - 010w - 215n - 210w - 605s - 105w - to crenshaw blvd exit (crenshaw blvd s/b off ramp exit number 5) *,I-8,SR-111,SR-78,SR-86,I-10,I-215,SR-210,I-605,I-105,crenshaw blvd,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-029274,2023,04/11/2023,04/17/2023,CAT 637 SCRAPER,California,Carlsbad,Irwindale,"poinsettia ln Carlsbad, California",* from poinsettia ln w/b on ramp - 005n - to las pulgas rd exit (las pulgas rd e/b off ramp exit number 62) -detour via ramp- from las pulgas rd w/b on ramp - 005n - to state college blvd exit (state college blvd w/b off ramp exit number 107c) - from state college blvd w/b on ramp - 005s - 022w - 405n - 605n - to lower azusa rd exit (lower azusa rd e/b off ramp) *,I-5,las pulgas rd,detour via ramp,las pulgas rd,I-5,state college blvd,state college blvd,I-5,SR-22,I-405,I-605,lower azusa rd,None,None,None,None,None,None,None,None,None,None,None,None
e23-001739,2023,01/12/2023,01/18/2023,(1) EMPTY WATER TANK,California,Hanford,Fort Bragg,"11th ave Hanford, California",* from 11th ave n/b on ramp - 198w - 5n - 580w - 680n - 780w - 80e - 37w - 101n - 175e to east side rd(east jct) / old river rd exit (east side rd(east jct)) * from sanford ranch rd/old river rd - 222w - 101n - 020w - 1n to mill creek dr exit *,SR-198,I-5,I-580,I-680,SR-780,I-80,SR-37,US-101,SR-175,SR-222,US-101,SR-20,SR-1,None,None,None,None,None,None,None,None,None,None,None
e22-115097,2023,01/02/2023,01/08/2023,TRAILER MOUNTED GUPPY,California,Hesperia,Victorville,"3 flags rd Hesperia, California",* from 3 flags rd - 395s - to joshua st exit (joshua st) * from joshua st e/b on ramp - 15n - to rte 18  apple valley exit ('d' st w/b off ramp exit 153a) *,US-395,joshua st,I-15,SR-18,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-000824,2023,01/05/2023,01/11/2023,CAT D8 DOZER,California,Rancho Bernardo,Lakeside,"camino del norte e Rancho Bernardo, California",* from camino del norte e/b on ramp - 015s - 052e - 067n - to mapleview st exit (mapleview st/lake jennings park rd) *,I-15,SR-52,SR-67,mapleview st,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e22-114817,2023,01/01/2023,01/07/2023,Liebherr L-18 Drill (9P8),California,Los Angeles,Lodi,"paxton st Los Angeles, California",* from paxton st s/b on ramp - 210w - 005n - to templin highway exit (templin highway e/b off ramp exit number 183) - detour via ramps - from templin highway w/b on ramp - 005n - 099n - to rte 12 west/fairfield/kettleman lane exit (kettleman lane e/b off ramp exit number 264b) *,SR-210,I-5,templin highway,detour via ramps,templin highway,I-5,SR-99,SR-12,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-001576,2023,01/09/2023,01/15/2023,"UNLADEN W/DUNNAGE, RIGGING & PILOT CAR",California,Lakeside,State Line,"scripps poway pkwy Lakeside, California",* from scripps poway pkwy / rio maria rd - 067s - 052w - 015n - 395n - 006e - to nv line *,SR-67,SR-52,I-15,US-395,US-6,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
e23-001573,2023,01/09/2023,01/15/2023,"UNLADEN W/DUNNAGE, RIGGING & PILOT CAR",California,Lakeside,State Line,"scripps poway pkwy Lakeside, California",* from scripps poway pkwy / rio maria rd - 067s - 052w - 015n - 058w - 395n - 006e - to nv line *,SR-67,SR-52,I-15,SR-58,US-395,US-6,nv line,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None,None
