permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_0,route_intersection_1,route_intersection_2,route_intersection_3,route_intersection_4,route_intersection_5,route_intersection_6,route_intersection_7,route_intersection_8,route_intersection_9,route_intersection_10,route_intersection_11,route_intersection_12,route_intersection_13,route_intersection_14,route_intersection_15,route_intersection_16,route_intersection_17,route_intersection_18,route_intersection_19,route_intersection_20,route_intersection_21,route_intersection_22,route_intersection_23,route_intersection_destination
e23-013125,2023,02/15/2023,02/21/2023,75' KELLY BAR,California,Hayward,Antelope,* from clawiter rd s/b on ramp - 092e - 880n - 238s - 580e - to hopyard rd exit (dougherty rd n/b off ramp) - from hopyard rd n/b on ramp - 580w - 680n - 080e - 113n - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st w/b on ramp - 005s - 080e - to antelope rd exit (antelope rd n/b off ramp) *,"clawiter rd Hayward, California",clawiter rd and SR-92,SR-92 and I-880,I-880 and SR-238,SR-238 and I-580,I-580 and hopyard rd  (dougherty rd n/b off ramp),hopyard rd  (dougherty rd n/b off ramp) and hopyard rd n/b on ramp,hopyard rd n/b on ramp and I-580,I-580 and I-680,I-680 and I-80,I-80 and SR-113,SR-113 and I-5,I-5 and SR-113,SR-113 and east st w/b on ramp,east st w/b on ramp and I-5,I-5 and I-80,I-80 and antelope rd  (antelope rd n/b off ramp),,,,,,,,,I-80 and antelope rd Antelope
e23-021610,2023,03/20/2023,03/26/2023,UNLADEN 9 AXLE WITH 2 DECK INSERTS,California,Fontana,Ontario,* from sierra ave w/b on ramp - 015s - 060w - to vineyard ave exit (vineyard ave n/b off ramp) *,"sierra ave Fontana, California",sierra ave and I-15,I-15 and SR-60,SR-60 and vineyard ave  (vineyard ave n/b off ramp),,,,,,,,,,,,,,,,,,,,,,SR-60 and vineyard ave Ontario
e23-022752,2023,03/22/2023,03/28/2023,M95 TRACKED CONVEYOR,California,Dixon,Fresno,* from industrial way - 113n - 080w - 680s - 580e - 005s - 152e - 099s - 180w - to north floyd ave exit (north floyd ave) *,"industrial way Dixon, California",industrial way and SR-113,SR-113 and I-80,I-80 and I-680,I-680 and I-580,I-580 and I-5,I-5 and SR-152,SR-152 and SR-99,SR-99 and SR-180,SR-180 and north floyd ave  (north floyd ave),,,,,,,,,,,,,,,,SR-180 and north floyd ave Fresno
e23-036568,2023,05/05/2023,05/11/2023,5 TROWEL MACHINES (END TO END) & MISC LEGAL FREIGHT,California,Elk Grove,Ca/Nv Border,* from grant line rd w/b on ramp - 099n - 051n (bus 80/capital city frwy)  - 080e - to nv line 80 exit *,"grant line Elk Grove, California",grant line and SR-99,SR-99 and SR-51,SR-51 and I-80,I-80 and nv line 80,,,,,,,,,,,,,,,,,,,,,I-80 and nv line 80 CaNv Border
e23-017248,2023,03/02/2023,03/08/2023,150H GRADER,California,Fairfield,Saratoga,* from air base pkwy n/b on ramp - 080w - 680s - 280n - 017s - to scotts valley dr/granite creek rd exit (scotts valley dr w/b off ramp) *,"air base pkwy Fairfield, California",air base pkwy and I-80,I-80 and I-680,I-680 and I-280,I-280 and SR-17,SR-17 and scotts valley dr/granite creek rd  (scotts valley dr w/b off ramp),,,,,,,,,,,,,,,,,,,,SR-17 and scotts valley drgranite creek rd Saratoga
e23-017894,2023,03/06/2023,03/12/2023,Mobile Home 4001,California,Woodland,Lower Lake,* from east st e/b on ramp - 5n - 20w - 53s - to kugelman st exit (kugelman st/rd 141m) *,"east st Woodland, California",east st and I-5,I-5 and SR-20,SR-20 and SR-53,SR-53 and kugelman st  (kugelman st/rd 141m),,,,,,,,,,,,,,,,,,,,,SR-53 and kugelman st Lower Lake
e23-024911,2023,03/30/2023,04/05/2023,CAT 352 EXCAVATOR,California,Pleasant Grove,Tracy,* from riego rd wb on ramp - 99s -5s - 80e - to watt ave sb off ramp exit 94a * watt ave oc over 51(bus 80/cap city frwy) * from watt ave sb on ramp - 50w - 99s - to cosumnes river blvd wb off ramp * from cosumnes river blvd wb on ramp - 5s - to fremont st off ramp exit 473 * fremont st uc under 5 * cetner st uc under 4 * from south el dorado st w/b on ramp - 5s - 205w - to mountain house pkwy/international pkwy s/b off ramp exit 2 *,"riego rd Pleasant Grove, California",riego rd and SR-99,SR-99 and I-5,I-5 and I-80,I-80 and watt ave sb off ramp  94a * watt ave oc over 51(bus 80/cap city frwy) * from watt ave sb on ramp,watt ave sb off ramp  94a * watt ave oc over 51(bus 80/cap city frwy) * from watt ave sb on ramp and US-50,US-50 and SR-99,SR-99 and cosumnes river blvd wb off ramp * from cosumnes river blvd wb on ramp,cosumnes river blvd wb off ramp * from cosumnes river blvd wb on ramp and I-5,I-5 and fremont st off ramp  473 * fremont st uc under 5 * cetner st uc under 4 * from south el dorado st w/b on ramp,fremont st off ramp  473 * fremont st uc under 5 * cetner st uc under 4 * from south el dorado st w/b on ramp and I-5,I-5 and I-205,I-205 and mountain house pkwy/international pkwy s/b off ramp  2,,,,,,,,,,,,,I-205 and mountain house pkwyinternational pkwy sb
e23-077031,2023,09/08/2023,09/14/2023,CAT 988K LOADER,California,Ontario,Colton,* from mission blvd - 83s - 60e - 15n - 10e - to rancho ave s/b off ramp *,"mission blvd Ontario, California",mission blvd and SR-83,SR-83 and SR-60,SR-60 and I-15,I-15 and I-10,I-10 and rancho ave s/b off ramp,,,,,,,,,,,,,,,,,,,,I-10 and rancho ave sb
e23-040526,2023,05/18/2023,05/24/2023,CAT 325 LONG REACH EXCAVATOR,California,Santa Rosa,Middletown,* from todd rd e/b on ramp - 101n - to west rd exit (west rd e/b off ramp exit number 557) ** from east rd s/b on ramp - 020e - 029s - to hilderbrand rd exit (hilderbrand rd/rd 125) *,"todd rd Santa Rosa, California",todd rd and US-101,US-101 and west rd  (west rd e/b off ramp  number 557) ** from east rd s/b on ramp,west rd  (west rd e/b off ramp  number 557) ** from east rd s/b on ramp and SR-20,SR-20 and SR-29,SR-29 and hilderbrand rd  (hilderbrand rd/rd 125),,,,,,,,,,,,,,,,,,,,SR-29 and hilderbrand rd Middletown
e23-027484,2023,04/08/2023,04/14/2023,CHILLER,California,Richmond,San Jose,* from richmond parkway s/b on ramp - 080e - to cummings skyway exit (cummings skyway s/b off ramp) ** from cummings skyway s/b on ramp - 004e - 680s - 101s - to bernal rd exit (bernal rd w/b off ramp exit number 377a) * bernal rd uc under 85 * great oaks blvd uc under hwy 85 *,"richmond parkway Richmond, California",richmond parkway and I-80,I-80 and cummings skyway  (cummings skyway s/b off ramp) ** from cummings skyway s/b on ramp,cummings skyway  (cummings skyway s/b off ramp) ** from cummings skyway s/b on ramp and SR-4,SR-4 and I-680,I-680 and US-101,US-101 and bernal rd  (bernal rd w/b off ramp  number 377a) * bernal rd uc under 85 * great oaks blvd uc under hwy 85,,,,,,,,,,,,,,,,,,,US-101 and bernal rd great oaks blvd
e23-046132,2023,06/04/2023,06/10/2023,CBI 6800CT GRINDER,California,Bakersfield,Edwards,* copus rd oc over rte 5 * from copus rd e/b on ramp - 99n to california ave w/b off ramp exit # 25 - from california ave w/b on ramp - 99s - 58e to edwards afb exit (rosamond blvd s/b off ramp exit #186) *,"copus rd Bakersfield, California",copus rd and SR-99,SR-99 and california ave w/b on ramp,california ave w/b on ramp and SR-99,SR-99 and SR-58,,,,,,,,,,,,,,,,,,,,,SR-99 and SR-58 Edwards
e23-029432,2023,04/15/2023,04/21/2023,UNLADEN 9 AXLE COMBINATION WITH JEEP DECKED ON 12'W DECK,California,Long Beach,Los Angeles,* from paramount blvd n/b on ramp - 091w - 110n - 105w - to la cienega blvd exit (imperial hwy n/b off ramp exit number 2a) *,"paramount blvd Long Beach, California",paramount blvd and SR-91,SR-91 and SR-110,SR-110 and I-105,I-105 and la cienega blvd  (SR-99 n/b off ramp  number 2a),,,,,,,,,,,,,,,,,,,,,I-105 and la cienega blvd Los Angeles
e23-058769,2023,07/12/2023,07/18/2023,"(2) OVERSIZE TRAILER PLATFORM, STKD",California,Az Line 40,"Long Beach, Ca",* from az line 40 - 040w - 015s - 210w - 605s - 105w - 710s - 001n - to santa fe ave exit *,"az line Az Line 40, California",az line and I-40,I-40 and I-15,I-15 and SR-210,SR-210 and I-605,I-605 and I-105,I-105 and I-710,I-710 and SR-1,SR-1 and santa fe ave,,,,,,,,,,,,,,,,,"SR-1 and santa fe ave Long Beach, Ca"
e23-083743,2023,09/30/2023,10/06/2023,470 EXCAVATOR,California,Corona,Essex,* from weirick rd e/b on ramp - 015n - 040e - to essex rd exit (essex rd s/b off ramp) *,"weirick rd Corona, California",weirick rd and I-15,I-15 and I-40,I-40 and essex rd  (essex rd s/b off ramp),,,,,,,,,,,,,,,,,,,,,,I-40 and essex rd Essex
e23-010154,2023,02/06/2023,02/12/2023,KOMATSU PC650 EXCAVATOR,California,Oceanside,Chula Vista,* from el camino real s/b on ramp - 078w - 005s - 805s - 054w - to rte 5 south exit (e street(chula vista) s/b off ramp) *,"el camino real s Oceanside, California",el camino real s and SR-78,SR-78 and I-5,I-5 and I-805,I-805 and SR-54,SR-54 and I-5,,,,,,,,,,,,,,,,,,,,SR-54 and I-5 Chula Vista
e23-057281,2023,07/09/2023,07/15/2023,PETERBILT NATIONAL 367 CRANE          #45626,California,Oroville,Belden,* from pentz rd - 070e - to bucks powerhouse rd exit (bucks powerhouse rd) *,"pentz rd Oroville, California",pentz rd and SR-70,SR-70 and bucks powerhouse rd  (bucks powerhouse rd),,,,,,,,,,,,,,,,,,,,,,,SR-70 and bucks powerhouse rd Belden
e23-066565,2023,08/03/2023,08/09/2023,80 TON RT CRANE,California,Victorville,Menifee,* from bear valley rd w/b on ramp - 015s - 060e - 215s - to newport rd exit (newport rd w/b off ramp) *,"bear valley rd Victorville, California",bear valley rd and I-15,I-15 and SR-60,SR-60 and I-215,I-215 and newport rd  (newport rd w/b off ramp),,,,,,,,,,,,,,,,,,,,,I-215 and newport rd Menifee
e23-016415,2023,02/28/2023,03/06/2023,CAT 972 Loader,California,Niland,Barstow,* from dillon rd s/b on ramp - 010w - 062e - to yucca mesa rd exit (yucca mesa rd) ** from reche rd - 247n - 015s - to l st exit (l st w/b off ramp) *,"dillon rd Niland, California",dillon rd and I-10,I-10 and SR-62,SR-62 and yucca mesa rd  (yucca mesa rd) ** from reche rd,yucca mesa rd  (yucca mesa rd) ** from reche rd and SR-247,SR-247 and I-15,I-15 and l st  (l st w/b off ramp),,,,,,,,,,,,,,,,,,,I-15 and l st Barstow
e23-028639,2023,04/10/2023,04/16/2023,PC300 LO DRILL,California,Hayward,San Mateo,* from clawiter rd s/b on ramp - 092w - to mariners island blvd exit (mariners island blvd n/b off ramp exit number 14a) *,"clawiter rd Hayward, California",clawiter rd and SR-92,SR-92 and mariners island blvd  (mariners island blvd n/b off ramp  number 14a),,,,,,,,,,,,,,,,,,,,,,,SR-92 and mariners island blvd San Mateo
e23-015763,2023,02/27/2023,03/05/2023,JD 844 WHEEL LOADER,California,Lathrop,Sacramento,* from mossdale rd w/b on ramp - 005n - 004e - to el dorado st/center st exit (center st s/b off ramp) * el dorado st uc under * fremont st uc under 5* from pershing ave e/b on ramp - 005n - 050e - to watt ave exit (watt ave n/b off ramp exit number 11) * watt ave oc over 51 (bus 80/capital city frwy)* from watt ave n/b on ramp - 080w - 005n - to co rd 8 exit (co rd 8 e/b off ramp exit number 554) *,"mossdale rd Lathrop, California",mossdale rd and I-5,I-5 and SR-4,SR-4 and el dorado st/center st  (center st s/b off ramp) * el dorado st uc under * fremont st uc under 5* from pershing ave e/b on ramp,el dorado st/center st  (center st s/b off ramp) * el dorado st uc under * fremont st uc under 5* from pershing ave e/b on ramp and I-5,I-5 and US-50,US-50 and watt ave  (watt ave n/b off ramp  number 11) * watt ave oc over 51 (bus 80/capital city frwy)* from watt ave n/b on ramp,watt ave  (watt ave n/b off ramp  number 11) * watt ave oc over 51 (bus 80/capital city frwy)* from watt ave n/b on ramp and I-80,I-80 and I-5,I-5 and co rd 8  (co rd 8 e/b off ramp  number 554),,,,,,,,,,,,,,,,I-5 and co rd 8 Sacramento
e23-017869,2023,03/06/2023,03/12/2023,RUBBLEMASTER TRACK CRUSHER,California,Fontana,Nv State Line At Hwy 15,* from cherry ave s/b on ramp - 010w - 015n - to nv line 15 exit *,"cherry ave Fontana, California",cherry ave and I-10,I-10 and I-15,I-15 and nv line 15,,,,,,,,,,,,,,,,,,,,,,I-15 and nv line 15 Nv State Line At Hwy 15
e23-025645,2023,04/03/2023,04/09/2023,328 EXCAVATOR,California,Fremont,Santa Cruz,* from cushing pkwy e/b on ramp - 880s - 101s - 280n - 017s - 001n - 009n - to golf club dr exit (golf club dr) *,"cushing pkwy Fremont, California",cushing pkwy and I-880,I-880 and US-101,US-101 and I-280,I-280 and SR-17,SR-17 and SR-1,SR-1 and SR-9,SR-9 and golf club dr  (golf club dr),,,,,,,,,,,,,,,,,,SR-9 and golf club dr Santa Cruz
e23-007410,2023,01/27/2023,02/02/2023,MODULAR BUILDING,California,Hanford,Laton,* from hanford armona rd - 043n - to cairo ave exit (cairo ave) *,"hanford armona rd Hanford, California",hanford armona rd and SR-43,SR-43 and cairo ave  (cairo ave),,,,,,,,,,,,,,,,,,,,,,,SR-43 and cairo ave Laton
e23-033846,2023,04/25/2023,05/01/2023,CAT D6T DOZER W/ BLADE,California,West Sacramento,Elk Grove,* from enterprise blvd s/b on ramp - 080e - 005s - to cosumnes river blvd exit (cosumnes river blvd e/b off ramp exit number 510) *,"enterprise blvd West Sacramento, California",enterprise blvd and I-80,I-80 and I-5,I-5 and cosumnes river blvd  (cosumnes river blvd e/b off ramp  number 510),,,,,,,,,,,,,,,,,,,,,,I-5 and cosumnes river blvd Elk Grove
e23-001851,2023,01/09/2023,01/15/2023,LINK BELT RTC8090 CRANE W/ATTACHEMENTS,California,Lakeside,Wilmington,* from slaughter house cyn rd/griffith rd - 067s - 052w - 805n - 005n - to las pulgas rd e/b off ramp (exit # 62) -detour via ramps- from las pulgas rd w/b on ramp - 005n - 022w - 405n - to  wilmington ave w/b off ramp (exit #33b) *,"slaughter house cyn rd Lakeside, California",slaughter house cyn rd and SR-67,SR-67 and SR-52,SR-52 and I-805,I-805 and I-5,I-5 and las pulgas rd e/b off ramp ( # 62),las pulgas rd e/b off ramp ( # 62) and detour via ramps,detour via ramps and las pulgas rd w/b on ramp,las pulgas rd w/b on ramp and I-5,I-5 and SR-22,SR-22 and I-405,I-405 and wilmington ave w/b off ramp ( #33b),,,,,,,,,,,,,,I-405 and wilmington ave wb
e23-063947,2023,07/27/2023,08/02/2023,HITACHI 870 EXCAVATOR      HARTILLRACKLEYBP9,California,Folsom,Diamond Springs,* from e bidwell st s/b on ramp - 050e - to missouri flat rd exit (missouri flat rd s/b off ramp exit number 44a) * from missouri flat rd - 049n - to rte 49 north/placerville exit (pleasant valley rd(diamond springs)) *,"e bidwell st Folsom, California",e bidwell st and US-50,US-50 and missouri flat rd  (missouri flat rd s/b off ramp  number 44a) * from missouri flat rd,missouri flat rd  (missouri flat rd s/b off ramp  number 44a) * from missouri flat rd and SR-49,SR-49 and SR-49,,,,,,,,,,,,,,,,,,,,,SR-49 and SR-49 Diamond Springs
e23-010256,2023,02/07/2023,02/13/2023,CAT D9T SLOPEDOZER,California,Vista,Otay Mesa,* from sycamore ave s/b on ramp - 078w - to mar vista dr s/b off ramp - from mar vista dr s/b on ramp - 078e - 015s - 056w - 005s - 805s - 905e - 011e - to enrico fermi dr n/b off ramp (exit #1b) *,"sycamore ave Vista, California",sycamore ave and SR-78,SR-78 and mar vista dr s/b off ramp,mar vista dr s/b off ramp and mar vista dr s/b on ramp,mar vista dr s/b on ramp and SR-78,SR-78 and I-15,I-15 and SR-56,SR-56 and I-5,I-5 and I-805,I-805 and SR-905,SR-905 and SR-11,SR-11 and enrico fermi dr n/b off ramp ( #1b),,,,,,,,,,,,,,SR-11 and enrico fermi dr nb
e23-006027,2023,01/27/2023,02/02/2023,LIGHT RAIL VEHICLE (SAC METRO 270),California,Sacramento,Sacramento,* from south watt ave across 16 * watt ave oc over 50 * el camino ave oc over 51 *,"south watt ave Sacramento, California",,,,,,,,,,,,,,,,,,,,,,,,,
e23-024973,2023,03/30/2023,04/05/2023,MODULAR BUILDING,California,Ceres,Kerman,* from mitchell rd w/b on ramp - 099s - to liberty ave exit (sultana dr w/b off ramp) ** from sultana dr - 140e - to thornton rd exit (thornton rd) *dickenson ferry rd across 59* from mission ave e/b on ramp - 099s - 145s - to san joaquin ave exit (san joaquin ave) *,"mitchell rd Ceres, California",mitchell rd and SR-99,SR-99 and liberty ave  (sultana dr w/b off ramp) ** from sultana dr,liberty ave  (sultana dr w/b off ramp) ** from sultana dr and SR-140,SR-140 and thornton rd  (thornton rd) *dickenson ferry rd across 59* from mission ave e/b on ramp,thornton rd  (thornton rd) *dickenson ferry rd across 59* from mission ave e/b on ramp and SR-99,SR-99 and SR-145,SR-145 and san joaquin ave  (san joaquin ave),,,,,,,,,,,,,,,,,,SR-145 and san joaquin ave Kerman
e23-006970,2023,01/29/2023,02/04/2023,DCG410 Kalmar Forklift Chassis,California,Oxnard,Oakland,* from rice ave e/b on ramp - 101n - 232n - 118w - 126e - 5n - to templin highway e/b off ramp exit number 183 - detour via ramps - from templin highway w/b on ramp - 5n - 580w - 238n - 880n - to market st exit (market st e/b off ramp) *,"rice ave Oxnard, California",rice ave and US-101,US-101 and SR-232,SR-232 and SR-118,SR-118 and SR-126,SR-126 and I-5,I-5 and templin highway e/b off ramp  number 183,templin highway e/b off ramp  number 183 and detour via ramps,detour via ramps and templin highway w/b on ramp,templin highway w/b on ramp and I-5,I-5 and I-580,I-580 and SR-238,SR-238 and I-880,I-880 and market st  (market st e/b off ramp),,,,,,,,,,,,I-880 and market st Oakland
e23-009894,2023,02/07/2023,02/13/2023,Wiggins W680 Forklift,California,Oxnard,Pittsburg,* from ventura blvd/myrtle st - 232n - 118w - to wells rd * harvard blvd across rte 150 * from hallock dr/telegraph rd - 126e - 005n - to templin highway e/b off ramp exit 183 - detour via ramps - from templin highway w/b on ramp - 005n - 580w - 680n - 004e - to loveridge rd n/b off ramp exit 24 *,"ventura blvd Oxnard, California",ventura blvd and SR-232,SR-232 and SR-118,SR-118 and wells rd * harvard blvd across rte 150 * from hallock dr/telegraph rd,wells rd * harvard blvd across rte 150 * from hallock dr/telegraph rd and SR-126,SR-126 and I-5,I-5 and templin highway e/b off ramp  183,templin highway e/b off ramp  183 and detour via ramps,detour via ramps and templin highway w/b on ramp,templin highway w/b on ramp and I-5,I-5 and I-580,I-580 and I-680,I-680 and SR-4,SR-4 and loveridge rd n/b off ramp  24,,,,,,,,,,,,SR-4 and loveridge rd nb
e23-036763,2023,05/04/2023,05/10/2023,623 scraper,California,Long Beach,Irvine,* from lakewood blvd w/b on ramp - 405s - 022e - 005s - to jeffrey rd exit (walnut ave w/b off ramp) *,"lakewood blvd Long Beach, California",lakewood blvd and I-405,I-405 and SR-22,SR-22 and I-5,I-5 and jeffrey rd  (walnut ave w/b off ramp),,,,,,,,,,,,,,,,,,,,,I-5 and jeffrey rd Irvine
e23-027751,2023,04/09/2023,04/15/2023,GENERATOR ENCLOSURE,California,Az Line Hwy 62,Stanford,* from az line 62 - 062w - 095n - 040w - 015s - 058w - 099n - 058w - to mohawk st exit (mohawk st) ** from rosedale hwy/sidding rd - 043n - to buttonwillow/mckittrick exit (blue star memorial hwy) ** from tracy ave on ramp - 005n - 580w - 680s - 280n - to alpine rd exit (alpine rd e/b off ramp) *,"az line Az Line Hwy 62, California",az line Az Line Hwy and SR-62,SR-62 and US-95,US-95 and I-40,I-40 and I-15,I-15 and SR-58,SR-58 and SR-99,SR-99 and SR-58,SR-58 and mohawk st  (mohawk st) ** from rosedale hwy/sidding rd,mohawk st  (mohawk st) ** from rosedale hwy/sidding rd and SR-43,SR-43 and buttonwillow/mckittrick  (blue star memorial hwy) ** from tracy ave on ramp,buttonwillow/mckittrick  (blue star memorial hwy) ** from tracy ave on ramp and I-5,I-5 and I-580,I-580 and I-680,I-680 and I-280,I-280 and alpine rd  (alpine rd e/b off ramp),,,,,,,,,,I-280 and alpine rd Stanford
e23-044560,2023,05/28/2023,06/03/2023,CAT 637 SCRAPER,California,Palmdale,Wildomar,* from 165th st east - 138e - 18e - 15s - 91w - to lincoln ave s/b off ramp exit 49 * from lincoln ave s/b on ramp - 91e - 15s - to clinton keith rd e/b off ramp *,"165th st Palmdale, California",165th st and SR-138,SR-138 and SR-18,SR-18 and I-15,I-15 and SR-91,SR-91 and lincoln ave s/b off ramp  49 * from lincoln ave s/b on ramp,lincoln ave s/b off ramp  49 * from lincoln ave s/b on ramp and SR-91,SR-91 and I-15,I-15 and clinton keith rd e/b off ramp,,,,,,,,,,,,,,,,,I-15 and clinton keith rd eb
e23-032008,2023,04/20/2023,04/26/2023,GENERATOR (WCS#1328214),California,Nv Line 80,San Leandro,* from nv line 80 - 080w - 005n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st e/b on ramp - 005s - 113s - 080w - 680s - 580w - 238n - 880n - to marina blvd exit (marina blvd w/b off ramp exit number 33b) *,"nv line Nv Line 80, California",nv line and I-80,I-80 and I-5,I-5 and SR-113,SR-113 and east st e/b on ramp,east st e/b on ramp and I-5,I-5 and SR-113,SR-113 and I-80,I-80 and I-680,I-680 and I-580,I-580 and SR-238,SR-238 and I-880,I-880 and marina blvd  (marina blvd w/b off ramp  number 33b),,,,,,,,,,,,,I-880 and marina blvd San Leandro
e23-010062,2023,02/08/2023,02/14/2023,BELL B45E DUMP TRUCK,California,Newark,Sacramento,* from thornton ave w/b on ramp - 084n - 880n - to whipple rd exit (whipple rd e/b off ramp exit number 24) ** from industrial parkway w/b on ramp - 880n - 238s - 580e - 205e - 005n - to charter way exit (charter way e/b off ramp) * el dorado under 4 * fremont under 5* from pershing ave e/b on ramp - 005n - 050e - to sunrise blvd/fair oaks exit (sunrise blvd s/b off ramp exit number 18) *,"thornton ave Newark, California",thornton ave and SR-84,SR-84 and I-880,I-880 and whipple rd  (whipple rd e/b off ramp  number 24) ** from industrial parkway w/b on ramp,whipple rd  (whipple rd e/b off ramp  number 24) ** from industrial parkway w/b on ramp and I-880,I-880 and SR-238,SR-238 and I-580,I-580 and I-205,I-205 and I-5,I-5 and charter way  (charter way e/b off ramp) * el dorado under 4 * fremont under 5* from pershing ave e/b on ramp,charter way  (charter way e/b off ramp) * el dorado under 4 * fremont under 5* from pershing ave e/b on ramp and I-5,I-5 and US-50,US-50 and sunrise blvd/fair oaks  (sunrise blvd s/b off ramp  number 18),,,,,,,,,,,,,US-50 and sunrise blvdfair oaks Sacramento
e23-007667,2023,02/02/2023,02/08/2023,B300 Casa Grande Drill Rig,California,West Sacramento,Sacramento,* from harbor blvd s/b on ramp - 50w - 80w - 113n - 5n - to rte 113 north/yuba city exit (east st w/b off ramp exit number 538) - from east st w/b on ramp - 5s - 80e - to watt ave s/b off ramp exit 94a * watt ave oc over 51 (bus 80/cap city frwy) * watt ave oc over 50 *,"harbor blvd West Sacramento, California",harbor blvd and US-50,US-50 and I-80,I-80 and SR-113,SR-113 and I-5,I-5 and SR-113,SR-113 and east st w/b on ramp,east st w/b on ramp and I-5,I-5 and I-80,I-80 and watt ave s/b off ramp  94a * watt ave oc over 51 (bus 80/cap city frwy) * watt ave oc over 50,,,,,,,,,,,,,,,,I-80 and watt ave sb
e23-032618,2023,04/23/2023,04/29/2023,SATELLITE CONTAINER,California,Az State Line,El Segundo,* from az line 8 - 008w - 086n - to treshill rd * from ralph rd - 086n - 010w - 015n - 210w - 605s - 105w - to nash st s/b off ramp exit 1d *,"az line Az State Line, California",az line and I-8,I-8 and SR-86,SR-86 and treshill rd * from ralph rd,treshill rd * from ralph rd and SR-86,SR-86 and I-10,I-10 and I-15,I-15 and SR-210,SR-210 and I-605,I-605 and I-105,I-105 and nash st s/b off ramp  1d,,,,,,,,,,,,,,,I-105 and nash st sb
e23-025010,2023,03/30/2023,04/05/2023,MANUFACTURED BUILDING,California,Livermore,North Highlands,* from vasco rd n/b on ramp - 580e - 205e - to eleventh st e/b off ramp * from old us 50/11th st e/b on ramp - 005n - to hood franklin rd e/b off ramp exit 504 * from elk grove blvd w/b on ramp - 005n - to pocket rd exit (meadowview rd e/b off ramp exit 512) * florin rd oc over 99 * south watt ave across 16 * watt ave oc over 50 * watt ave oc over 51(bus 80/cap city fwy) * watt ave oc over 80 *,"vasco rd Livermore, California",vasco rd and I-580,I-580 and I-205,I-205 and eleventh st e/b off ramp * from old us 50/11th st e/b on ramp,eleventh st e/b off ramp * from old us 50/11th st e/b on ramp and I-5,I-5 and hood franklin rd e/b off ramp  504 * from elk grove blvd w/b on ramp,hood franklin rd e/b off ramp  504 * from elk grove blvd w/b on ramp and I-5,I-5 and pocket rd  (meadowview rd e/b off ramp  512) * florin rd oc over 99 * south watt ave across 16 * watt ave oc over 50 * watt ave oc over 51(bus 80/cap city fwy) * watt ave oc over 80,,,,,,,,,,,,,,,,,,I-5 and pocket rd south watt ave across 16 watt ave oc over 51 * watt ave oc over 80 North Highlands
e22-114784,2023,01/01/2023,01/07/2023,EDISON REEL TRUCK,California,Rialto,Arizona S/L & I-10,* from pepper ave s/b on ramp - 010e - to az line 10 exit *,"pepper ave Rialto, California",pepper ave and I-10,I-10 and az line 10,,,,,,,,,,,,,,,,,,,,,,,I-10 and az line 10 Arizona SL & I-10
e23-063924,2023,07/27/2023,08/02/2023,Hot Plant,California,Lakeside,Indio,* from slaughter house cyn rd/griffith rd - 067s - 008e - 111n - 078w - 086n - to dillon rd to rte 10 east exit (dillon rd e/b off ramp) *,"slaughter house cyn rd Lakeside, California",slaughter house cyn rd and SR-67,SR-67 and I-8,I-8 and SR-111,SR-111 and SR-78,SR-78 and SR-86,SR-86 and dillon rd to rte 10 east  (dillon rd e/b off ramp),,,,,,,,,,,,,,,,,,,SR-86 and dillon rd to rte 10 east Indio
e23-000951,2023,01/08/2023,01/14/2023,Manufactured Home SN41947A,California,Or/Ca Line 5,"134 Neptune Ave, Hayward",* from or line 5 - 5s - 505s - 80e - 50e - 5s - 205w - 580w - 680s - 262s (mission blvd) - 880n - to whipple rd exit (whipple rd e/b off ramp exit number 24) *,"or line Or/Ca Line 5, California",or line and I-5,I-5 and I-505,I-505 and I-80,I-80 and US-50,US-50 and I-5,I-5 and I-205,I-205 and I-580,I-580 and I-680,I-680 and SR-262,SR-262 and I-880,I-880 and whipple rd  (whipple rd e/b off ramp  number 24),,,,,,,,,,,,,,"I-880 and whipple rd 134 Neptune Ave, Hayward"
e23-000952,2023,01/08/2023,01/14/2023,Manufactured Home SN41947B,California,Or/Ca Line 5,"134 Neptune Ave, Hayward",* from or line 5 - 5s - 505s - 80e - 50e - 5s - 205w - 580w - 680s - 262s (mission blvd) - 880n - to whipple rd exit (whipple rd e/b off ramp exit number 24) *,"or line Or/Ca Line 5, California",or line and I-5,I-5 and I-505,I-505 and I-80,I-80 and US-50,US-50 and I-5,I-5 and I-205,I-205 and I-580,I-580 and I-680,I-680 and SR-262,SR-262 and I-880,I-880 and whipple rd  (whipple rd e/b off ramp  number 24),,,,,,,,,,,,,,"I-880 and whipple rd 134 Neptune Ave, Hayward"
e23-021175,2023,03/19/2023,03/25/2023,TEXOMA 800 LT  DRILL RIG   PO#21084,California,San Francisco City,Livermore,* from sloat blvd @ san francisco zoo - 035n - 001s - 280s - 680n - 580e - to vasco rd s/b off ramp *,"sloat blvd San Francisco City, California",sloat blvd and SR-35,SR-35 and SR-1,SR-1 and I-280,I-280 and I-680,I-680 and I-580,I-580 and vasco rd s/b off ramp,,,,,,,,,,,,,,,,,,,I-580 and vasco rd sb
