permitnumber,year,permitvalidfrom,permitvalidto,loaddescription,state,origin,destination,authorizedhighways,route_location_origin,route_intersection_0,route_intersection_1,route_intersection_2,route_intersection_3,route_intersection_4,route_intersection_5,route_intersection_6,route_intersection_7,route_intersection_8,route_intersection_9,route_intersection_10,route_intersection_11,route_intersection_12,route_intersection_13,route_intersection_14,route_intersection_15,route_intersection_16,route_intersection_17,route_intersection_18,route_intersection_19,route_intersection_20,route_intersection_21,route_intersection_22,route_intersection_23,route_intersection_destination
e24-000138,2024,01/05/2024,01/11/2024,90 TON RT CRANE  # 4501,California,Fontana,Los Angeles City,* from citrus ave s/b on ramp - 010w - 605s - 105w - 405n - to manchester blvd exit (manchester blvd w/b off ramp exit number 47) *,"citrus ave Fontana, California",citrus ave and I-10,I-10 and I-605,I-605 and I-105,I-105 and I-405,I-405 and manchester blvd  (manchester blvd w/b off ramp  number 47),,,,,,,,,,,,,,,,,,,,I-405 and manchester blvd Los Angeles City
e24-000013,2024,01/02/2024,01/08/2024,824 DOZER,California,Escondido,Rialto,* from via rancho pkwy w/b on ramp - 015n - 010e - to riverside ave exit (riverside ave s/b off ramp) *,"via rancho pkwy Escondido, California",via rancho pkwy and I-15,I-15 and I-10,I-10 and riverside ave  (riverside ave s/b off ramp),,,,,,,,,,,,,,,,,,,,,,I-10 and riverside ave Rialto
e23-109303,2024,01/01/2024,01/07/2024,WOOD SHED,California,Merced,Galt,* from 16th st w/b on ramp - 099n - to crystal way e/b off ramp exit 274a *,"16th st Merced, California",16th st and SR-99,SR-99 and crystal way e/b off ramp  274a,,,,,,,,,,,,,,,,,,,,,,,SR-99 and crystal way eb
e24-000139,2024,01/05/2024,01/11/2024,UNLADEN,California,Los Angeles,Fontana,* from imperial hwy s/b on ramp - 105e - 605n - 010e - to citrus ave exit (citrus ave n/b off ramp) *,"imperial hwy Los Angeles, California",and I-105,I-105 and I-605,I-605 and I-10,I-10 and citrus ave  (citrus ave n/b off ramp),,,,,,,,,,,,,,,,,,,,,I-10 and citrus ave Fontana
e23-109420,2024,01/01/2024,01/07/2024,(110)GROVE TMS 9000E CRANE #1394678,California,Malibu,Santa Monica,* from morning view rd - 001s - 010e - to 20th st s/b off ramp exit # 1b *,"morning view rd Malibu, California",morning view rd and SR-1,SR-1 and I-10,I-10 and SR-20,,,,,,,,,,,,,,,,,,,,,,I-10 and SR-20 Santa Monica
e23-109418,2024,01/01/2024,01/07/2024,(110) GROVE TMS 9000E CRANE #1394678,California,Santa Monica,Malibu,* from 20th st s/b on ramp - morn10w - 1n to morning view rd exit  *,"20th st Santa Monica, California",20th st and I-10,I-10 and SR-1,,,,,,,,,,,,,,,,,,,,,,,I-10 and SR-1 Malibu
e24-000169,2024,01/02/2024,01/08/2024,Recycle Equipment - End to End,California,San Diego,Az Line 8,* from britannia blvd n/b on ramp - 905w - 805n - 054e - 125n - 008e - to az line 8 exit *,"britannia blvd San Diego, California",britannia blvd and SR-905,SR-905 and I-805,I-805 and SR-54,SR-54 and SR-125,SR-125 and I-8,I-8 and az line 8,,,,,,,,,,,,,,,,,,,I-8 and az line 8 Az Line 8
e23-109308,2024,01/01/2024,01/07/2024,CNC MACHINE,California,Signal Hill,Arizona Line,* from spring st e/b on ramp - 405s - 605n - 210e - 015n - 040e - to az line 40 exit *,"spring st Signal Hill, California",spring st and I-405,I-405 and I-605,I-605 and SR-210,SR-210 and I-15,I-15 and I-40,I-40 and az line 40,,,,,,,,,,,,,,,,,,,I-40 and az line 40 Arizona Line
e23-109365,2024,01/01/2024,01/07/2024,1 Rock Truck Model: CAT,California,Az Line  10,"31426 Gonzaga Rd, Gustine, Ca, 95322",* from az line 10 -10w - to corn springs rd n/b off ramp x201 - detour via ramps - from corn springs rd s/b on  ramp -10w -215n -210w -134w -2e -210w -5n to templin highway e/b off ramp exit # 183 - detour via ramps - from templin highway w/b on ramp -5n -33s - to gonzaga rd exit *,"az line Az Line  10, California",az line and I-10,I-10 and corn springs rd n/b off ramp x201,corn springs rd n/b off ramp x201 and detour via ramps,detour via ramps and corn springs rd s/b on  ramp,corn springs rd s/b on  ramp and I-10,I-10 and I-215,I-215 and SR-210,SR-210 and SR-134,SR-134 and SR-2,SR-2 and SR-210,SR-210 and I-5,I-5 and detour via ramps,detour via ramps and templin highway w/b on ramp,templin highway w/b on ramp and I-5,I-5 and SR-33,SR-33 and gonzaga rd,,,,,,,,,"SR-33 and gonzaga rd 31426 Gonzaga Rd, Gustine, Ca, 95322"
e23-109369,2024,01/01/2024,01/07/2024,1 Unladen w/Jeep Stacked,California,"31426 Gonzaga Rd, Gustine, Ca, 95322",Nv Line,* from gonzaga rd - 033n - 005s - 046e - 099s - 058e - 015n - to nv line 15 exit *,"gonzaga rd 31426 Gonzaga Rd, Gustine, Ca, 95322, California",gonzaga rd and SR-33,SR-33 and I-5,I-5 and SR-46,SR-46 and SR-99,SR-99 and SR-58,SR-58 and I-15,I-15 and nv line 15,,,,,,,,,,,,,,,,,,I-15 and nv line 15 Nv Line
