dataperiods,modeoftravel,zoneid,zonename,linezonelength(miles),zoneispass-through,zonedirection(degrees),zoneisbi-direction,daytype,daypart,averagedailysegmenttraffic(stlvolume),avgsegmentspeed(mph),avgsegmenttraveltime(sec),freeflowspeed(mph),freeflowfactor,vehiclemilesoftravel(stlvolume),vehiclehoursofdelay(stlvolume),5thspeedpercentile,10thspeedpercentile,15thspeedpercentile,20thspeedpercentile,25thspeedpercentile,30thspeedpercentile,35thspeedpercentile,40thspeedpercentile,45thspeedpercentile,50thspeedpercentile,55thspeedpercentile,60thspeedpercentile,65thspeedpercentile,70thspeedpercentile,75thspeedpercentile,80thspeedpercentile,85thspeedpercentile,90thspeedpercentile,95thspeedpercentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1283862,0.977,yes,19,no,0: All Days (M-Su),0: All Day (12am-12am),118563,58,61,72.033,0.806,115858.0,387.33,27,34,40,46,50,53,55,58,60,61,63,65,66,68,69,71,73,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1283862,0.977,yes,19,no,1: Weekday (M-Th),0: All Day (12am-12am),116457,55,64,72.033,0.765,113800.0,485.32,24,30,35,40,45,48,51,54,56,58,60,62,64,66,67,69,71,74,77
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1283862,0.977,yes,19,no,2: Weekend (Sa-Su),0: All Day (12am-12am),116012,64,55,72.033,0.893,113365.0,188.02,41,50,54,57,59,61,62,63,65,66,67,68,70,71,72,74,75,77,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1283924,0.179,yes,177,no,0: All Days (M-Su),0: All Day (12am-12am),122593,67,10,73.753,0.905,21953.0,31.25,50,54,56,59,60,62,64,65,66,68,69,70,71,73,74,75,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1283924,0.179,yes,177,no,1: Weekday (M-Th),0: All Day (12am-12am),122782,66,10,73.753,0.893,21986.9,35.72,49,53,55,57,59,61,63,64,65,67,68,69,71,72,73,75,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1283924,0.179,yes,177,no,2: Weekend (Sa-Su),0: All Day (12am-12am),115093,69,9,73.753,0.934,20610.0,19.71,54,57,60,61,63,64,66,67,68,69,71,72,73,74,75,77,78,80,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1289733,0.196,yes,37,no,0: All Days (M-Su),0: All Day (12am-12am),43814,60,12,69.361,0.863,8568.03,19.67,34,45,49,52,54,56,58,60,61,62,64,65,66,68,69,70,72,74,76
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1289733,0.196,yes,37,no,1: Weekday (M-Th),0: All Day (12am-12am),44718,59,12,69.361,0.846,8744.86,22.89,32,44,48,51,53,55,57,58,60,61,63,64,65,67,68,69,71,73,76
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1289733,0.196,yes,37,no,2: Weekend (Sa-Su),0: All Day (12am-12am),38504,63,11,69.361,0.914,7529.58,10.16,44,51,54,57,59,60,62,63,64,65,67,68,69,70,71,72,74,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 1292255,0.775,yes,195,no,0: All Days (M-Su),0: All Day (12am-12am),103356,55,51,74.608,0.734,80107.5,389.37,14,20,25,31,36,43,51,56,60,62,65,67,69,70,72,74,75,78,80
