dataperiods,modeoftravel,zoneid,zonename,linezonelength(miles),zoneispass-through,zonedirection(degrees),zoneisbi-direction,daytype,daypart,averagedailysegmenttraffic(stlvolume),avgsegmentspeed(mph),avgsegmenttraveltime(sec),freeflowspeed(mph),freeflowfactor,vehiclemilesoftravel(stlvolume),vehiclehoursofdelay(stlvolume),5thspeedpercentile,10thspeedpercentile,15thspeedpercentile,20thspeedpercentile,25thspeedpercentile,30thspeedpercentile,35thspeedpercentile,40thspeedpercentile,45thspeedpercentile,50thspeedpercentile,55thspeedpercentile,60thspeedpercentile,65thspeedpercentile,70thspeedpercentile,75thspeedpercentile,80thspeedpercentile,85thspeedpercentile,90thspeedpercentile,95thspeedpercentile
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 15851885,0.144,yes,177,no,0: All Days (M-Su),0: All Day (12am-12am),126058,65,8,72.582,0.895,18176.5,29.31,46,50,53,55,57,59,61,63,65,66,68,69,70,72,73,75,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 15851885,0.144,yes,177,no,1: Weekday (M-Th),0: All Day (12am-12am),126744,64,8,72.582,0.885,18275.4,32.67,45,49,52,54,57,58,60,62,64,65,67,69,70,71,73,74,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 15851885,0.144,yes,177,no,2: Weekend (Sa-Su),0: All Day (12am-12am),116729,67,8,72.582,0.922,16831.3,19.53,49,53,56,58,60,62,63,65,66,68,69,71,72,73,75,76,78,80,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16168054,0.165,yes,4,no,0: All Days (M-Su),0: All Day (12am-12am),64428,53,11,71.106,0.743,10612.9,51.53,10,14,19,28,39,47,52,55,58,60,62,64,66,68,69,71,73,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16168054,0.165,yes,4,no,1: Weekday (M-Th),0: All Day (12am-12am),63361,48,12,71.106,0.674,10437.2,70.84,9,11,14,19,25,34,42,48,52,55,58,60,63,65,67,69,71,74,77
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16168054,0.165,yes,4,no,2: Weekend (Sa-Su),0: All Day (12am-12am),63228,63,9,71.106,0.881,10415.3,19.85,20,45,53,56,58,60,62,63,65,66,67,69,70,71,73,74,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16200942,0.469,yes,349,no,0: All Days (M-Su),0: All Day (12am-12am),83511,62,27,72.242,0.858,39171.3,89.66,41,47,50,53,55,57,59,61,62,64,65,66,68,69,70,72,74,76,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16200942,0.469,yes,349,no,1: Weekday (M-Th),0: All Day (12am-12am),85899,61,28,72.242,0.848,40291.3,99.66,39,46,49,52,54,56,58,60,61,63,64,66,67,69,70,71,73,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16200942,0.469,yes,349,no,2: Weekend (Sa-Su),0: All Day (12am-12am),73489,64,26,72.242,0.888,34470.5,60.46,46,51,54,56,58,60,61,63,64,65,67,68,69,70,72,73,75,77,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16404808,0.19,yes,335,no,0: All Days (M-Su),0: All Day (12am-12am),92548,66,10,74.448,0.889,17586.7,29.44,40,51,55,58,61,63,64,66,67,69,70,71,72,74,75,76,78,79,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16404808,0.19,yes,335,no,1: Weekday (M-Th),0: All Day (12am-12am),95682,65,11,74.448,0.869,18182.2,36.78,35,46,53,56,59,61,63,65,66,68,69,70,72,73,74,76,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16404808,0.19,yes,335,no,2: Weekend (Sa-Su),0: All Day (12am-12am),80295,70,10,74.448,0.935,15258.2,14.16,54,57,60,62,64,66,67,68,69,71,72,73,74,75,76,77,79,80,83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16496201,0.445,yes,53,no,0: All Days (M-Su),0: All Day (12am-12am),92299,59,27,71.905,0.826,41068.6,120.69,31,39,45,49,52,55,57,59,60,62,64,65,66,68,69,71,73,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16496201,0.445,yes,53,no,1: Weekday (M-Th),0: All Day (12am-12am),93105,57,28,71.905,0.79,41427.0,152.72,29,36,41,46,49,51,53,55,57,59,61,62,64,66,67,69,71,73,77
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16496201,0.445,yes,53,no,2: Weekend (Sa-Su),0: All Day (12am-12am),85034,65,25,71.905,0.909,37835.6,52.63,46,54,57,59,60,62,63,64,66,67,68,69,70,71,72,74,75,77,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16953534,0.093,yes,24,no,0: All Days (M-Su),0: All Day (12am-12am),119601,55,6,68.876,0.793,11161.6,42.27,26,35,40,44,47,49,51,53,54,56,58,59,61,63,65,67,70,72,76
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16953534,0.093,yes,24,no,1: Weekday (M-Th),0: All Day (12am-12am),117906,52,7,68.876,0.75,11003.5,53.34,22,30,36,40,43,46,48,49,51,53,55,56,58,60,62,64,67,70,74
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 16953534,0.093,yes,24,no,2: Weekend (Sa-Su),0: All Day (12am-12am),116614,61,6,68.876,0.885,10882.9,20.59,42,48,50,52,54,55,57,58,60,61,63,64,66,67,69,71,73,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17001458,0.27,yes,156,no,0: All Days (M-Su),0: All Day (12am-12am),94329,69,14,75.373,0.921,25465.7,28.98,55,59,61,63,65,66,67,68,69,70,71,72,73,74,75,76,78,79,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17001458,0.27,yes,156,no,1: Weekday (M-Th),0: All Day (12am-12am),96686,69,14,75.373,0.911,26102.1,33.76,54,58,60,62,64,65,66,67,69,70,71,72,73,74,75,76,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17001458,0.27,yes,156,no,2: Weekend (Sa-Su),0: All Day (12am-12am),82945,71,14,75.373,0.943,22392.4,17.92,58,61,63,65,66,68,69,70,71,72,73,73,74,75,76,78,79,81,83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17042705,0.167,yes,192,no,0: All Days (M-Su),0: All Day (12am-12am),117913,57,11,72.735,0.778,19682.7,77.0,20,28,35,42,47,51,54,56,59,61,63,65,67,68,70,72,73,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17042705,0.167,yes,192,no,1: Weekday (M-Th),0: All Day (12am-12am),116277,53,11,72.735,0.733,19409.6,97.09,19,25,31,36,41,46,49,52,55,57,59,61,63,65,67,69,71,74,77
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17042705,0.167,yes,192,no,2: Weekend (Sa-Su),0: All Day (12am-12am),115367,64,9,72.735,0.882,19257.7,35.48,33,47,53,56,59,61,63,64,66,67,68,69,71,72,73,74,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17065456,0.667,yes,197,no,0: All Days (M-Su),0: All Day (12am-12am),71327,69,35,73.078,0.938,47585.5,42.92,55,59,61,63,64,65,67,68,68,69,70,71,72,73,74,75,77,78,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17065456,0.667,yes,197,no,1: Weekday (M-Th),0: All Day (12am-12am),73170,68,35,73.078,0.927,48814.6,52.83,54,57,60,62,63,65,66,67,68,69,70,71,72,73,74,75,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17065456,0.667,yes,197,no,2: Weekend (Sa-Su),0: All Day (12am-12am),61421,70,34,73.078,0.963,40976.3,21.49,59,61,63,65,66,67,68,69,70,71,71,72,73,74,75,76,78,79,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17134947,0.602,yes,46,no,0: All Days (M-Su),0: All Day (12am-12am),78386,70,31,73.569,0.949,47224.4,34.81,56,59,61,63,65,66,67,68,69,70,71,72,73,74,75,77,78,80,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17134947,0.602,yes,46,no,1: Weekday (M-Th),0: All Day (12am-12am),78136,69,31,73.569,0.937,47073.8,43.2,55,58,60,62,64,65,66,67,69,70,71,72,73,74,75,76,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17134947,0.602,yes,46,no,2: Weekend (Sa-Su),0: All Day (12am-12am),73870,72,30,73.569,0.975,44503.7,15.26,59,62,64,66,67,68,69,70,71,72,73,74,75,76,77,78,79,81,84
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17325939,0.128,yes,175,no,0: All Days (M-Su),0: All Day (12am-12am),131334,66,7,72.064,0.909,16820.2,23.37,48,51,54,56,58,60,61,63,65,66,68,69,71,72,74,75,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17325939,0.128,yes,175,no,1: Weekday (M-Th),0: All Day (12am-12am),131910,65,7,72.064,0.9,16893.9,26.03,47,51,53,55,57,59,61,62,64,66,67,69,70,72,73,75,76,78,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17325939,0.128,yes,175,no,2: Weekend (Sa-Su),0: All Day (12am-12am),121858,67,7,72.064,0.933,15606.6,15.56,51,54,56,58,60,62,63,65,66,68,69,71,72,73,75,76,78,80,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17326752,1.159,yes,0,no,0: All Days (M-Su),0: All Day (12am-12am),95800,68,62,74.699,0.906,111019.0,154.11,49,55,58,60,62,64,65,67,68,69,70,72,73,74,75,76,78,80,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17326752,1.159,yes,0,no,1: Weekday (M-Th),0: All Day (12am-12am),98914,66,63,74.699,0.889,114628.0,192.1,45,52,56,58,61,62,64,65,67,68,69,71,72,73,75,76,77,79,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17326752,1.159,yes,0,no,2: Weekend (Sa-Su),0: All Day (12am-12am),83448,70,59,74.699,0.943,96705.0,78.44,56,59,62,64,65,66,68,69,70,71,72,73,74,75,76,78,79,81,83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17555043,0.173,yes,227,no,0: All Days (M-Su),0: All Day (12am-12am),104188,61,10,70.924,0.867,18034.3,39.09,30,43,49,52,55,57,59,61,63,64,66,67,69,70,72,73,75,77,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17555043,0.173,yes,227,no,1: Weekday (M-Th),0: All Day (12am-12am),102366,60,10,70.924,0.84,17719.1,47.7,27,40,46,50,52,55,57,59,61,62,64,66,67,69,70,72,73,76,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17555043,0.173,yes,227,no,2: Weekend (Sa-Su),0: All Day (12am-12am),103053,66,9,70.924,0.932,17837.9,18.26,48,53,56,59,60,62,64,65,66,68,69,70,71,72,74,75,77,78,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17825964,0.559,yes,19,no,0: All Days (M-Su),0: All Day (12am-12am),92430,68,29,73.018,0.936,51673.2,48.01,53,56,59,61,63,64,66,67,68,69,71,72,73,74,75,76,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17825964,0.559,yes,19,no,1: Weekday (M-Th),0: All Day (12am-12am),92931,67,30,73.018,0.923,51953.4,59.46,52,55,57,60,61,63,65,66,67,69,70,71,72,73,74,75,77,78,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17825964,0.559,yes,19,no,2: Weekend (Sa-Su),0: All Day (12am-12am),85267,71,28,73.018,0.968,47668.8,21.65,57,60,62,64,66,67,68,69,70,71,72,73,74,75,76,78,79,81,83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17968581,0.162,yes,37,no,0: All Days (M-Su),0: All Day (12am-12am),7488,53,11,62.546,0.85,1216.5,3.45,32,41,45,47,49,50,51,52,54,55,56,57,58,59,60,62,63,65,68
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17968581,0.162,yes,37,no,1: Weekday (M-Th),0: All Day (12am-12am),8220,53,11,62.546,0.846,1335.45,3.87,33,41,45,47,49,50,51,52,53,54,55,56,58,59,60,61,63,65,68
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 17968581,0.162,yes,37,no,2: Weekend (Sa-Su),0: All Day (12am-12am),5119,55,11,62.546,0.872,831.56,1.95,34,42,46,48,50,51,53,54,55,56,57,58,59,61,62,63,65,67,69
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18088687,0.218,yes,51,no,0: All Days (M-Su),0: All Day (12am-12am),73534,65,12,70.222,0.927,16042.3,17.89,46,53,57,59,61,63,64,65,66,67,68,69,70,71,72,74,75,77,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18088687,0.218,yes,51,no,1: Weekday (M-Th),0: All Day (12am-12am),73662,64,12,70.222,0.918,16070.3,20.4,46,52,56,58,60,62,63,64,66,67,68,69,70,71,72,73,74,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18088687,0.218,yes,51,no,2: Weekend (Sa-Su),0: All Day (12am-12am),68280,67,12,70.222,0.954,14896.1,10.3,51,56,59,62,63,65,66,67,68,69,70,71,72,73,74,75,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18088688,0.934,yes,23,no,0: All Days (M-Su),0: All Day (12am-12am),70434,71,47,74.423,0.952,65765.5,44.29,57,61,63,65,66,68,69,70,71,72,73,73,74,75,76,78,79,81,83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18088688,0.934,yes,23,no,1: Weekday (M-Th),0: All Day (12am-12am),69610,70,48,74.423,0.944,64996.3,51.91,57,60,62,64,65,67,68,69,70,71,72,73,74,75,76,77,78,80,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18088688,0.934,yes,23,no,2: Weekend (Sa-Su),0: All Day (12am-12am),67748,72,46,74.423,0.973,63257.4,23.67,60,63,65,67,68,69,70,71,72,73,74,75,76,77,78,79,80,82,84
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18665945,0.124,yes,47,no,0: All Days (M-Su),0: All Day (12am-12am),100899,60,7,70.983,0.839,12465.3,33.81,21,34,45,50,53,56,58,60,62,63,65,67,68,70,71,73,74,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18665945,0.124,yes,47,no,1: Weekday (M-Th),0: All Day (12am-12am),100508,58,8,70.983,0.812,12417.0,40.45,19,30,42,47,51,53,56,58,60,62,63,65,67,68,70,71,73,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18665945,0.124,yes,47,no,2: Weekend (Sa-Su),0: All Day (12am-12am),95429,65,7,70.983,0.911,11789.5,16.2,35,51,55,57,59,61,63,64,66,67,69,70,71,72,74,75,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18695412,0.068,yes,197,no,0: All Days (M-Su),0: All Day (12am-12am),102172,62,4,71.388,0.863,6932.42,15.36,39,46,50,53,55,57,59,60,62,64,65,66,68,69,71,72,74,76,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18695412,0.068,yes,197,no,1: Weekday (M-Th),0: All Day (12am-12am),102900,60,4,71.388,0.847,6981.82,17.72,37,45,48,51,53,55,57,59,61,62,64,65,67,68,70,71,73,75,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18695412,0.068,yes,197,no,2: Weekend (Sa-Su),0: All Day (12am-12am),94419,64,4,71.388,0.898,6406.34,10.19,42,50,53,56,58,60,62,63,65,66,67,69,70,71,72,74,75,77,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18790813,0.177,yes,19,no,0: All Days (M-Su),0: All Day (12am-12am),122246,49,13,70.862,0.692,21698.5,136.32,13,16,20,24,30,36,42,47,51,54,57,60,62,64,66,69,71,74,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18790813,0.177,yes,19,no,1: Weekday (M-Th),0: All Day (12am-12am),118066,44,14,70.862,0.627,20956.3,175.72,12,15,18,20,24,28,33,38,43,47,51,54,57,60,63,65,69,72,76
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18790813,0.177,yes,19,no,2: Weekend (Sa-Su),0: All Day (12am-12am),125029,58,11,70.862,0.824,22192.3,67.07,17,25,38,48,52,55,58,60,61,63,65,66,68,69,71,73,75,77,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18987883,0.18,yes,2,no,0: All Days (M-Su),0: All Day (12am-12am),89906,65,10,73.257,0.89,16169.4,27.2,40,51,55,58,60,62,63,65,66,68,69,70,71,73,74,76,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18987883,0.18,yes,2,no,1: Weekday (M-Th),0: All Day (12am-12am),90001,63,10,73.257,0.858,16186.5,36.52,28,46,52,55,57,59,61,63,64,66,67,69,70,72,73,74,76,78,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 18987883,0.18,yes,2,no,2: Weekend (Sa-Su),0: All Day (12am-12am),84523,70,9,73.257,0.953,15201.4,10.26,55,59,61,63,64,66,67,68,69,70,72,73,74,75,76,77,79,80,83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19085288,0.299,yes,199,no,0: All Days (M-Su),0: All Day (12am-12am),119294,59,18,74.174,0.792,35726.9,126.55,20,27,34,42,49,54,57,60,62,64,66,68,70,71,73,74,76,78,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19085288,0.299,yes,199,no,1: Weekday (M-Th),0: All Day (12am-12am),117090,56,19,74.174,0.749,35066.8,158.54,18,24,30,35,43,48,53,56,58,61,63,65,67,69,71,72,74,77,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19085288,0.299,yes,199,no,2: Weekend (Sa-Su),0: All Day (12am-12am),118151,66,16,74.174,0.893,35384.4,57.28,32,47,55,59,62,64,66,67,69,70,71,72,73,74,76,77,78,80,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19171162,0.203,yes,17,no,0: All Days (M-Su),0: All Day (12am-12am),91571,66,11,71.07,0.925,18591.3,21.16,51,54,56,58,59,61,62,64,65,66,68,69,70,71,73,74,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19171162,0.203,yes,17,no,1: Weekday (M-Th),0: All Day (12am-12am),91627,65,11,71.07,0.916,18602.8,24.06,50,53,55,57,59,60,61,63,64,66,67,68,69,71,72,73,75,77,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19171162,0.203,yes,17,no,2: Weekend (Sa-Su),0: All Day (12am-12am),85405,67,11,71.07,0.948,17339.5,13.28,52,56,58,60,62,63,65,66,67,68,70,71,72,73,74,76,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19247825,0.625,yes,200,no,0: All Days (M-Su),0: All Day (12am-12am),98794,64,35,73.665,0.867,61717.7,128.73,35,47,52,55,58,60,62,64,65,67,68,69,70,72,73,74,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19247825,0.625,yes,200,no,1: Weekday (M-Th),0: All Day (12am-12am),100475,62,36,73.665,0.848,62768.1,152.48,34,44,50,53,56,58,60,62,64,65,67,68,69,71,72,74,75,77,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19247825,0.625,yes,200,no,2: Weekend (Sa-Su),0: All Day (12am-12am),88950,66,34,73.665,0.903,55568.3,81.34,39,54,57,60,62,64,65,67,68,69,70,71,72,74,75,76,78,79,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19247826,0.5,yes,223,no,0: All Days (M-Su),0: All Day (12am-12am),89490,68,26,76.225,0.893,44706.3,70.45,39,57,60,62,64,66,67,68,69,70,71,73,74,75,76,77,78,80,83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19247826,0.5,yes,223,no,1: Weekday (M-Th),0: All Day (12am-12am),90389,67,27,76.225,0.875,45155.3,84.96,33,54,58,60,63,64,66,67,68,70,71,72,73,74,75,76,78,80,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19247826,0.5,yes,223,no,2: Weekend (Sa-Su),0: All Day (12am-12am),81996,70,26,76.225,0.924,40962.4,44.2,57,61,63,65,67,68,69,70,71,72,73,74,75,76,77,78,80,81,84
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19421554,0.427,yes,225,no,0: All Days (M-Su),0: All Day (12am-12am),111515,61,25,75.0,0.818,47657.1,141.25,21,32,42,50,55,58,61,63,65,66,68,69,71,72,74,75,77,79,81
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19421554,0.427,yes,225,no,1: Weekday (M-Th),0: All Day (12am-12am),110288,58,26,75.0,0.78,47133.0,177.72,19,28,37,44,50,54,57,59,61,63,65,67,69,70,72,73,75,77,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19421554,0.427,yes,225,no,2: Weekend (Sa-Su),0: All Day (12am-12am),108791,68,23,75.0,0.908,46493.3,62.44,40,56,60,62,64,66,67,68,70,71,72,73,74,75,76,77,79,80,83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19685730,0.278,yes,168,no,0: All Days (M-Su),0: All Day (12am-12am),91433,70,14,75.744,0.922,25402.3,28.51,55,59,61,63,65,66,67,68,70,71,72,73,74,75,76,77,78,80,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19685730,0.278,yes,168,no,1: Weekday (M-Th),0: All Day (12am-12am),93428,69,14,75.744,0.915,25956.4,31.88,55,58,61,63,64,66,67,68,69,70,71,72,73,74,75,76,78,80,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19685730,0.278,yes,168,no,2: Weekend (Sa-Su),0: All Day (12am-12am),81424,71,14,75.744,0.938,22621.4,19.67,57,60,63,64,66,67,69,70,71,72,73,74,75,76,77,78,79,81,83
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19811124,0.377,yes,233,no,0: All Days (M-Su),0: All Day (12am-12am),116713,63,22,74.478,0.843,44018.4,110.27,29,43,51,55,57,59,61,63,65,66,67,69,70,71,73,74,76,78,80
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19811124,0.377,yes,233,no,1: Weekday (M-Th),0: All Day (12am-12am),116178,61,22,74.478,0.815,43816.8,133.79,26,39,47,52,55,57,59,61,62,64,65,67,68,70,71,73,74,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19811124,0.377,yes,233,no,2: Weekend (Sa-Su),0: All Day (12am-12am),111684,68,20,74.478,0.913,42121.8,54.07,49,57,60,62,63,65,66,67,68,70,71,72,73,74,75,76,78,79,82
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19894523,0.7,yes,53,no,0: All Days (M-Su),0: All Day (12am-12am),119227,60,42,72.343,0.833,83449.2,231.99,34,41,46,49,52,54,57,59,61,62,64,66,67,69,70,72,74,76,79
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19894523,0.7,yes,53,no,1: Weekday (M-Th),0: All Day (12am-12am),118896,58,44,72.343,0.799,83217.1,289.05,33,39,43,46,49,51,53,55,57,59,61,63,65,66,68,70,72,74,78
"Jan 01, 2022 - Dec 31, 2022",All Vehicles - StL All Vehicles Volume,,San Gabriel River Freeway / 19894523,0.7,yes,53,no,2: Weekend (Sa-Su),0: All Day (12am-12am),112329,66,38,72.343,0.912,78621.2,104.94,46,52,56,58,60,62,63,65,66,67,69,70,71,72,74,75,76,78,81
