location,objectids,n_objectids,n_found_in_tc,missing_objectids,ahead_zones,behind_zones,traditional_ahead_mean,traditional_behind_mean,traditional_aadt,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,tce_percent,daytype,daytype_expected,daytype_used,daypart_used,modeoftravel_used,stl_ahead_rows,stl_behind_rows,missing_ahead_zones,missing_behind_zones
"IRWINDALE, LOWER AZUSA ROAD/LOS ANGELES STREET [13117]",13117,1,1,,San Gabriel River Freeway / 60501,San Gabriel River Freeway / 62770,,,163000.0,84873.0,87986.0,172859.0,6.048466257668712,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"IRWINDALE, LOWER AZUSA ROAD/LOS ANGELES STREET [13118]",13118,1,1,,San Gabriel River Freeway / 17825964,San Gabriel River Freeway / 19247825,,,176000.0,92430.0,98794.0,191224.0,8.65,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"BALDWIN PARK, JCT. RTE. 10 [13113]",13113,1,1,,San Gabriel River Freeway / 19171162,San Gabriel River Freeway / 18695412,,,182000.0,91571.0,102172.0,193743.0,6.452197802197802,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"BALDWIN PARK, JCT. RTE. 10 [13114]",13114,1,1,,San Gabriel River Freeway / 23240119,San Gabriel River Freeway / 62623,,,220000.0,120294.0,133406.0,253700.0,15.318181818181818,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"INDUSTRY, VALLEY BOULEVARD [13111]",13111,1,1,,San Gabriel River Freeway / 686634,San Gabriel River Freeway / 62623,,,220000.0,109233.0,133406.0,242639.0,10.290454545454546,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"INDUSTRY, VALLEY BOULEVARD [13112]",13112,1,1,,San Gabriel River Freeway / 703991,San Gabriel River Freeway / 705638,,,212000.0,115756.0,119592.0,235348.0,11.013207547169811,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"INDUSTRY, JCT. RTE. 60 [13109]",13109,1,1,,San Gabriel River Freeway / 18665945,San Gabriel River Freeway / 705638,,,212000.0,100899.0,119592.0,220491.0,4.005188679245283,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"INDUSTRY, JCT. RTE. 60 [13110]",13110,1,1,,San Gabriel River Freeway / 13434006,San Gabriel River Freeway / 17555043,,,234000.0,118884.0,104188.0,223072.0,-4.67008547008547,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"PICO RIVERA, ROSE HILLS ROAD [13105]",13105,1,1,,San Gabriel River Freeway / 19894523,San Gabriel River Freeway / 20053622,,,240000.0,119227.0,116172.0,235399.0,-1.9170833333333333,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"PICO RIVERA, ROSE HILLS ROAD [13106]",13106,1,1,,San Gabriel River Freeway / 703999,San Gabriel River Freeway / 673791,,,233000.0,124595.0,123383.0,247978.0,6.4283261802575105,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"WHITTIER, JCT. RTE. 72 [13101]",13101,1,1,,San Gabriel River Freeway / 23806759,San Gabriel River Freeway / 19085288,,,230000.0,122799.0,119294.0,242093.0,5.257826086956522,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"WHITTIER, JCT. RTE. 72 [13102]",13102,1,1,,San Gabriel River Freeway / 689516,San Gabriel River Freeway / 1283676,,,221000.0,123809.0,123025.0,246834.0,11.689592760180995,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"NORWALK, IMPERIAL HIGHWAY [13089]",13089,1,1,,San Gabriel River Freeway / 1292558,San Gabriel River Freeway / 43294,,,276000.0,94590.0,130542.0,225132.0,-18.430434782608696,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"NORWALK, IMPERIAL HIGHWAY [13090]",13090,1,1,,San Gabriel River Freeway / 36182,San Gabriel River Freeway / 699066,,,276000.0,82160.0,87962.0,170122.0,-38.36159420289855,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"NORWALK, ROSECRANS AVENUE [13085]",13085,1,1,,San Gabriel River Freeway / 18987883,San Gabriel River Freeway / 657856,,,280000.0,89906.0,88932.0,178838.0,-36.129285714285714,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"NORWALK, ROSECRANS AVENUE [13086]",13086,1,1,,San Gabriel River Freeway / 13303859,San Gabriel River Freeway / 23409847,,,280000.0,108969.0,127719.0,236688.0,-15.468571428571428,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"NORWALK, ALONDRA BOULEVARD [13084]",13084,1,1,,San Gabriel River Freeway / 13815791,San Gabriel River Freeway / 35978,,,278000.0,114298.0,129471.0,243769.0,-12.313309352517985,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"NORWALK, ALONDRA BOULEVARD [13083]",13083,1,1,,San Gabriel River Freeway / 15650683,San Gabriel River Freeway / 15851885,,,280000.0,115837.0,126058.0,241895.0,-13.60892857142857,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"CERRITOS, JCT. RTE. 91 [13081]",13081,1,1,,San Gabriel River Freeway / 15650683,San Gabriel River Freeway / 17325939,,,278000.0,115837.0,131334.0,247171.0,-11.089568345323741,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
"CERRITOS, JCT. RTE. 91 [13082]",13082,1,1,,San Gabriel River Freeway / 45330,San Gabriel River Freeway / 45717,,,228000.0,106426.0,108825.0,215251.0,-5.591666666666667,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,,
