location,objectids,n_objectids,n_found_in_tc,ahead_zones,behind_zones,traditional_ahead_mean,traditional_behind_mean,traditional_aadt,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,tce_percent,daytype,daytype_expected,daytype_used,daypart_used,modeoftravel_used,stl_ahead_rows,stl_behind_rows,listed_ahead_segments,listed_behind_segments,present_ahead_segments,present_behind_segments,missing_ahead_zones,missing_behind_zones
EATON AVENUE,7874|7873,2,2,CA 99 / 185116|CA 99 / 185119,CA 99 / 185087|CA 99 / 185088,21500.0,31500.0,26500.0,18658.0,26596.0,22627.0,-14.615094339622642,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
ELK GROVE BOULEVARD,7764|7763,2,2,South Sacramento Freeway / 1302576|South Sacramento Freeway / 188510,South Sacramento Freeway / 188084|South Sacramento Freeway / 1305508,112000.0,83000.0,97500.0,110264.0,74951.0,92607.5,-5.017948717948718,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
ELKHORN BOULEVARD,7792|7791,2,2,Golden State Highway / 190363|CA 99 / 190364,Golden State Highway / 1700995|CA 99 / 190201,72000.0,72000.0,72000.0,25489.0,34148.0,29818.5,-58.58541666666667,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,2,2,1,1,CA 99 / 190364,CA 99 / 190201
ELVERTA ROAD,7794|7793,2,2,Golden State Highway / 62778|CA 99 / 10478428,Golden State Highway / 190363|CA 99 / 190364,47000.0,72000.0,59500.0,26968.0,25489.0,26228.5,-55.918487394957985,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,2,2,1,1,CA 99 / 10478428,CA 99 / 190364
ENCINAL ROAD/LIVE OAK BOULEVARD,7831,1,1,Live Oak Boulevard / 69780,CA 99 / 690970,18500.0,18300.0,18400.0,20874.0,18867.0,19870.5,7.991847826086956,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
FEATHER RIVER BRIDGE,7806|7809,2,2,CA 99 / 62242|CA 99 / 72259,CA 99 / 15956877|CA 99 / 23862508,17650.0,17400.0,17525.0,21414.0,20694.0,21054.0,20.13694721825963,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
FLORIN ROAD,7780|7779,2,2,South Sacramento Freeway / 193022|South Sacramento Freeway / 73027,South Sacramento Freeway / 189279|South Sacramento Freeway / 189284,141000.0,176000.0,158500.0,175531.0,159827.0,167679.0,5.791167192429022,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
FRANKLIN ROAD,7819,1,1,CA 99 / 1303764,CA 99 / 1302697,35500.0,34500.0,35000.0,34314.0,33729.0,34021.5,-2.795714285714286,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
"GALT, C STREET",7744|7743,2,2,South Sacramento Freeway / 21487462|South Sacramento Freeway / 22215115,South Sacramento Freeway / 21487460|South Sacramento Freeway / 22215117,78000.0,76000.0,77000.0,78866.0,75601.0,77233.5,0.30324675324675326,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
GRANT LINE ROAD,7762|7761,2,2,South Sacramento Freeway / 188084|South Sacramento Freeway / 1305508,South Sacramento Freeway / 22309324|South Sacramento Freeway / 188730,83000.0,85000.0,84000.0,74951.0,79497.0,77224.0,-8.066666666666666,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"GRIDLEY, SPRUCE STREET",7845,1,1,CA 99 / 720583,CA 99 / 713069,21100.0,22300.0,21700.0,15217.0,18515.0,16866.0,-22.276497695852534,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
"GRIDLEY, WILSON STREET",7843,1,1,CA 99 / 16880739,CA 99 / 693872,19900.0,19600.0,19750.0,19124.0,16306.0,17715.0,-10.30379746835443,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
JCT. RTE 149,7856|7855,2,2,CA 99 / 70538|CA 99 / 185577,CA 99 / 17021934|CA 99 / 16363414,25500.0,11100.0,18300.0,28500.0,12860.0,20680.0,13.005464480874316,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
JCT. RTE. 104 EAST,7752|7751,2,2,South Sacramento Freeway / 9947988|South Sacramento Freeway / 10980777,South Sacramento Freeway / 9947991|South Sacramento Freeway / 10980774,78000.0,76000.0,77000.0,79745.0,77744.0,78744.5,2.2655844155844154,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
JCT. RTE. 113,7810|7809,2,2,CA 99 / 19988633|CA 99 / 70681,CA 99 / 1305890|CA 99 / 20383725,16800.0,16300.0,16550.0,23470.0,18707.0,21088.5,27.42296072507553,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
JCT. RTE. 162 EAST,7851,1,1,CA 99 / 1302938,CA 99;CA 162 / 22187531,12300.0,12100.0,12200.0,12367.0,13679.0,13023.0,6.745901639344262,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
JCT. RTE. 162 WEST,7849,1,1,CA 99;CA 162 / 22187531,CA 99 / 70189,12100.0,11800.0,11950.0,13679.0,13778.0,13728.5,14.882845188284518,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
JCT. RTE. 70 NORTH,7802|7801,2,2,CA 99 / 10474764|CA 99 / 15283380,CA 99 / 190748|CA 99 / 190751,17600.0,36000.0,26800.0,21025.0,0.0,10512.5,-60.774253731343286,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,0,2,2,2,0,,CA 99 / 190748|CA 99 / 190751
KEEFER ROAD,7877,1,1,CA 99 / 185159,CA 99 / 185106,15700.0,15300.0,15500.0,13051.0,13616.0,13333.5,-13.977419354838709,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
LAGUNA BOULEVARD/ BOND ROAD,7766|7765,2,2,South Sacramento Freeway / 188302|South Sacramento Freeway / 188301,South Sacramento Freeway / 1302576|South Sacramento Freeway / 188510,134000.0,112000.0,123000.0,128418.0,110264.0,119341.0,-2.9747967479674795,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"LIVE OAK, PENNINGTON ROAD",7834|7833,2,2,Live Oak Boulevard / 185052|Live Oak Boulevard / 185055,Live Oak Boulevard / 4270255|Live Oak Boulevard / 185044,19700.0,17300.0,18500.0,15412.0,18948.0,17180.0,-7.135135135135135,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
NEAL HIGHWAY,7860|7859,2,2,CA 99 / 185596|CA 99 / 185597,CA 99 / 185590|CA 99 / 185591,24000.0,24000.0,24000.0,31457.0,32119.0,31788.0,32.45,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
NELSON SHIPPEE ROAD,7853,1,1,CA 99 / 712588,CA 99 / 1302938,11100.0,13400.0,12250.0,12613.0,12367.0,12490.0,1.9591836734693877,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
PENTZ ROAD,7858|7857,2,2,CA 99 / 185590|CA 99 / 185591,CA 99 / 70538|CA 99 / 185577,21100.0,19400.0,20250.0,32119.0,28500.0,30309.5,49.67654320987654,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
RIEGO ROAD,7800|7799,2,2,Golden State Highway / 14677099|CA 99 / 15435840,Golden State Highway / 17457767|CA 99 / 10478428,47000.0,47000.0,47000.0,22610.0,25967.0,24288.5,-48.32234042553191,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,2,2,1,1,CA 99 / 15435840,CA 99 / 10478428
"SACRAMENTO, 12TH AVENUE",7788|7787,2,2,South Sacramento Freeway / 193828|South Sacramento Freeway / 193825,South Sacramento Freeway / 192822|South Sacramento Freeway / 192818,190000.0,180000.0,185000.0,203873.0,186932.0,195402.5,5.622972972972973,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"SACRAMENTO, FRUITRIDGE ROAD",7786|7785,2,2,South Sacramento Freeway / 192822|South Sacramento Freeway / 192818,South Sacramento Freeway / 20029922|South Sacramento Freeway / 5306321,180000.0,182000.0,181000.0,186932.0,181948.0,184440.0,1.9005524861878453,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"SACRAMENTO, MACK ROAD",7778|7777,2,2,South Sacramento Freeway / 189279|South Sacramento Freeway / 189284,South Sacramento Freeway / 11496158|South Sacramento Freeway / 5251250,176000.0,176000.0,176000.0,159827.0,136709.0,148268.0,-15.756818181818181,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
SHELDON ROAD,7768|7767,2,2,South Sacramento Freeway / 189188|South Sacramento Freeway / 188302,South Sacramento Freeway / 189132|South Sacramento Freeway / 188301,122000.0,134000.0,128000.0,128179.0,132623.0,130401.0,1.87578125,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
WALNUT STREET CONNECTION,7750|7749,2,2,South Sacramento Freeway / 9947991|South Sacramento Freeway / 10980774,South Sacramento Freeway / 9947994|South Sacramento Freeway / 22215110,76000.0,77000.0,76500.0,77744.0,77677.0,77710.5,1.5823529411764705,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"YUBA CITY, BRIDGE STREET",7821,1,1,CA 99 / 683549,CA 99 / 1303764,35000.0,35500.0,35250.0,32031.0,34314.0,33172.5,-5.8936170212765955,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
"YUBA CITY, JCT. RTE. 20",7826|7825,2,2,CA 99 / 694163|CA 99 / 185054,CA 99 / 71210|CA 99 / 70537,22200.0,32500.0,27350.0,24255.0,31142.0,27698.5,1.2742230347349177,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
"YUBA CITY, LINCOLN ROAD",7817,1,1,CA 99 / 693786,CA 99 / 69539,22200.0,21800.0,22000.0,31175.0,28597.0,29886.0,35.845454545454544,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,1,1,1,1,1,1,,
"YUBA CITY, QUEENS AVENUE",7828|7827,2,2,CA 99 / 19182490|CA 99 / 19885831,CA 99 / 694163|CA 99 / 185054,22100.0,22200.0,22150.0,19058.0,24255.0,21656.5,-2.2279909706546275,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,2,2,2,2,2,2,,
