location,traditional_ahead_mean,traditional_behind_mean,traditional_aadt,non_trad_ahead_mean,non_trad_behind_mean,non_trad_aadt,stl_ahead_rows,stl_behind_rows,listed_ahead_segments,listed_behind_segments,present_ahead_segments,present_behind_segments,ahead_zones,behind_zones,missing_ahead_zones,missing_behind_zones,daytype,daytype_expected,daytype_used,daypart_used,modeoftravel_used,objectids,n_objectids,n_found_in_tc,tce_percent
ENCINAL ROAD/LIVE OAK BOULEVARD,18500.0,18300.0,18400.0,,,19870.5,1,1,1,1,1,1,Live Oak Boulevard / 69780,CA 99 / 690970,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7831,1,1,7.991847826086956
FEATHER RIVER BRIDGE,18500.0,18500.0,18500.0,,,21054.0,2,2,2,2,2,2,CA 99 / 72259|CA 99 / 62242,CA 99 / 23862508|CA 99 / 15956877,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7805,1,1,13.805405405405406
FLORIN ROAD,141000.0,176000.0,158500.0,,,167679.0,2,2,2,2,2,2,South Sacramento Freeway / 73027|South Sacramento Freeway / 193022,South Sacramento Freeway / 189284|South Sacramento Freeway / 189279,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7779,1,1,5.791167192429022
FRANKLIN ROAD,35500.0,34500.0,35000.0,,,34021.5,1,1,1,1,1,1,CA 99 / 1303764,CA 99 / 1302697,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7819,1,1,-2.795714285714286
"GALT, C STREET",78000.0,76000.0,77000.0,,,77233.5,2,2,2,2,2,2,South Sacramento Freeway / 22215115|South Sacramento Freeway / 21487462,South Sacramento Freeway / 22215117|South Sacramento Freeway / 21487460,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7743,1,1,0.30324675324675326
GRANT LINE ROAD,83000.0,85000.0,84000.0,,,77224.0,2,2,2,2,2,2,South Sacramento Freeway / 1305508|South Sacramento Freeway / 188084,South Sacramento Freeway / 188730|South Sacramento Freeway / 22309324,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7761,1,1,-8.066666666666666
"GRIDLEY, SPRUCE STREET",21100.0,22300.0,21700.0,,,16866.0,1,1,1,1,1,1,CA 99 / 720583,CA 99 / 713069,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7845,1,1,-22.276497695852534
"GRIDLEY, WILSON STREET",19900.0,19600.0,19750.0,,,17715.0,1,1,1,1,1,1,CA 99 / 16880739,CA 99 / 693872,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7843,1,1,-10.30379746835443
JCT. RTE 149,25500.0,11100.0,18300.0,,,20680.0,2,2,2,2,2,2,CA 99 / 185577|CA 99 / 70538,CA 99 / 16363414|CA 99 / 17021934,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7855,1,1,13.005464480874316
JCT. RTE. 104 EAST,78000.0,76000.0,77000.0,,,78744.5,2,2,2,2,2,2,South Sacramento Freeway / 10980777|South Sacramento Freeway / 9947988,South Sacramento Freeway / 10980774|South Sacramento Freeway / 9947991,,,0: All Days (M-Su),0: All Days (M-Su),0: All Days (M-Su),0: All Day (12am-12am),,7751,1,1,2.2655844155844154
