,ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix.1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
27,26.0,LA,60.0,SoCst-5,,28.0,,29.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
28,27.0,LA,60.0,SoCst-5,,29.0,,30.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
30,28.0,LA,91.0,SoCst-5,R,7.0,R,8.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
31,29.0,LA,91.0,SoCst-5,R,8.0,R,9.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
32,30.0,LA,91.0,SoCst-5,R,14.0,R,15.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
33,31.0,LA,91.0,SoCst-5,R,17.0,R,18.0,,FY23/Q3,,,1.0,,,,1,,,,25.0,,X,,,,,X,,,,50.0,38.0
34,32.0,LA,91.0,SoCst-5,R,19.0,R,20.0,,FY23/Q3,,,1.0,,,,,1.0,,,0.0,,X,,,,,X,,,,50.0,25.0
36,33.0,LA,110.0,SoCst-5,,6.0,,7.0,,FY23/Q3,,1,,,1,,,1.0,,1,25.0,,X,,,X,,,X,,X,25.0,25.0
37,34.0,LA,110.0,SoCst-5,,7.0,,8.0,,FY23/Q3,,1,,,,,,1.0,,,25.0,,X,,,,,X,,,X,50.0,38.0
38,35.0,LA,110.0,SoCst-5,,8.0,,9.0,,FY23/Q3,1,,,,,,,1.0,,,50.0,,X,,,,,X,,,,50.0,50.0
39,36.0,LA,110.0,SoCst-5,,9.0,,10.0,,FY23/Q3,1,,,,,,,1.0,,,50.0,,,X,,X,,X,,,,25.0,38.0
40,37.0,LA,110.0,SoCst-5,,10.0,,11.0,,FY23/Q3,,1,,,,,,1.0,,,25.0,X,,,,,,X,,,,75.0,50.0
41,38.0,LA,110.0,SoCst-5,,11.0,,12.0,,FY23/Q3,,1,,,,,,1.0,,,25.0,,X,,,,,X,,,,50.0,38.0
42,39.0,LA,110.0,SoCst-5,,12.0,,13.0,,FY23/Q3,,1,,,,,,1.0,,,25.0,,X,,,,,X,,,X,50.0,38.0
43,40.0,LA,110.0,SoCst-5,,13.0,,14.0,,FY23/Q3,1,,,,,,,1.0,,1,50.0,,X,,,X,,x,,,X,50.0,50.0
45,41.0,LA,605.0,SoCst-5,R,5.0,,6.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
46,42.0,LA,605.0,SoCst-5,,6.0,,7.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
47,43.0,LA,605.0,SoCst-5,,7.0,,8.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,,X,,,X,75.0,63.0
48,44.0,LA,605.0,SoCst-5,,8.0,,9.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
49,45.0,LA,605.0,SoCst-5,,9.0,,10.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
50,46.0,LA,605.0,SoCst-5,,10.0,R,11.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
52,47.0,VEN,101.0,SoCst-5,R,23.0,,24.0,,FY23/Q3,�,,1.0,,,,1,,,,50.0,,X,,,,,X,,,,50.0,50.0
53,48.0,VEN,101.0,SoCst-5,,24.0,,25.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,,X,,,,50.0,50.0
54,49.0,VEN,101.0,SoCst-5,,25.0,,26.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
56,50.0,LA,1.0,SoCst-4,,35.0,,36.0,,FY23/Q3,,1,,,1,,1,,,,50.0,,X,,,X,,X,,,,50.0,50.0
57,51.0,LA,1.0,SoCst-4,,36.0,,37.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
58,52.0,LA,1.0,SoCst-4,,37.0,,38.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
59,53.0,LA,1.0,SoCst-4,,38.0,,39.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
60,54.0,LA,1.0,SoCst-4,,39.0,R,40.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
61,55.0,LA,1.0,SoCst-4,,40.0,,41.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
62,56.0,LA,1.0,SoCst-4,,41.0,,42.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
63,57.0,LA,1.0,SoCst-4,,42.0,,43.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
64,58.0,LA,1.0,SoCst-4,,43.0,,44.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
65,59.0,LA,1.0,SoCst-4,,44.0,,45.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
66,60.0,LA,1.0,SoCst-4,,45.0,,46.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
67,61.0,LA,1.0,SoCst-4,,46.0,,47.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
68,62.0,LA,1.0,SoCst-4,,47.0,,48.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
69,63.0,LA,1.0,SoCst-4,,48.0,,49.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
70,64.0,LA,1.0,SoCst-4,,49.0,,50.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
71,65.0,LA,1.0,SoCst-4,,50.0,,51.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
72,66.0,LA,1.0,SoCst-4,,51.0,,52.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
73,67.0,LA,1.0,SoCst-4,,52.0,,53.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
74,68.0,LA,1.0,SoCst-4,,53.0,,54.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
75,69.0,LA,1.0,SoCst-4,,54.0,,55.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
77,70.0,LA,5.0,InVal-5,,8.0,,9.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
78,71.0,LA,5.0,InVal-5,,9.0,,10.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,X,75.0,75.0
79,72.0,LA,5.0,InVal-5,,10.0,,11.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
80,73.0,LA,5.0,InVal-5,,11.0,,12.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,X,,,,,75.0,63.0
81,74.0,LA,5.0,InVal-5,,12.0,,13.0,,FY23/Q3,,,1.0,,,,1,,,,25.0,X,,,,,,X,,,X,75.0,50.0
82,75.0,LA,5.0,InVal-5,,13.0,,14.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
83,76.0,LA,5.0,InVal-5,,14.0,,15.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,X,X,,,,,75.0,63.0
84,78.0,LA,5.0,InVal-5,,16.0,,17.0,,FY23/Q3,1,,,,,,1,,,,75.0,,X,,,X,,X,,,X,50.0,63.0
85,79.0,LA,5.0,InVal-5,,18.0,,19.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,X,75.0,75.0
86,80.0,LA,5.0,InVal-5,,19.0,,20.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,,X,,,,50.0,75.0
87,81.0,LA,5.0,InVal-5,,20.0,,21.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,X,75.0,75.0
88,82.0,LA,5.0,InVal-5,,21.0,,22.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,X,75.0,75.0
89,83.0,LA,5.0,InVal-5,,22.0,,23.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
90,84.0,LA,5.0,InVal-5,,23.0,,24.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,X,X,,,,,75.0,75.0
91,85.0,LA,5.0,InVal-5,,24.0,,25.0,,FY23/Q3,1,,,,,,1,,,,75.0,,X,,,,X,,,,,75.0,75.0
92,86.0,LA,5.0,InVal-5,,25.0,,26.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,,X,,,,,75.0,75.0
93,87.0,LA,5.0,InVal-5,,26.0,,27.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,X,,,,,75.0,63.0
94,88.0,LA,5.0,InVal-5,,27.0,,28.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
95,89.0,LA,5.0,InVal-5,,28.0,,29.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
96,90.0,LA,5.0,InVal-5,,29.0,,30.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
97,91.0,LA,5.0,InVal-5,,30.0,,31.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
98,92.0,LA,5.0,InVal-5,,31.0,,32.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
99,93.0,LA,5.0,InVal-5,,32.0,,33.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
100,94.0,LA,5.0,InVal-5,,33.0,,34.0,,FY23/Q3,,1,,,UNSHELTERED,,1,,,UNSHELTERED,50.0,,,X,,X,X,,,,,50.0,50.0
101,95.0,LA,5.0,InVal-5,,34.0,,35.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,X,50.0,75.0
102,96.0,LA,5.0,InVal-5,,35.0,,36.0,,FY23/Q3,,1,,,UNSHELTERED,,1,,,UNSHELTERED,50.0,,,X,,X,,X,,,X,25.0,38.0
103,97.0,LA,5.0,InVal-5,,36.0,,37.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,,X,,,,50.0,75.0
104,98.0,LA,5.0,InVal-5,,37.0,,38.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
105,99.0,LA,5.0,InVal-5,,38.0,,39.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
106,100.0,LA,5.0,InVal-5,,39.0,,40.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
107,101.0,LA,5.0,InVal-5,,40.0,,41.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
108,102.0,LA,5.0,InVal-5,,41.0,,42.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,X,,X,,,,50.0,63.0
109,103.0,LA,5.0,InVal-5,,42.0,,43.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
110,104.0,LA,5.0,InVal-5,,43.0,R,44.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
111,105.0,LA,5.0,InVal-5,R,44.0,R,45.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
112,106.0,LA,5.0,InVal-5,R,45.0,R,46.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
114,108.0,LA,10.0,InVal-5,R,7.0,,8.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
115,109.0,LA,10.0,InVal-5,R,8.0,,9.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
116,110.0,LA,10.0,InVal-5,,9.0,,10.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
117,111.0,LA,10.0,InVal-5,,10.0,,11.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
118,112.0,LA,10.0,InVal-5,,11.0,,12.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,X,,X,,,X,50.0,63.0
119,113.0,LA,10.0,InVal-5,,12.0,,13.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,,X,,,,50.0,75.0
120,114.0,LA,10.0,InVal-5,,13.0,,14.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
121,115.0,LA,10.0,InVal-5,,14.0,,15.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
122,116.0,LA,10.0,InVal-5,,15.0,,16.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
123,117.0,LA,10.0,InVal-5,,16.0,,17.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
124,118.0,LA,10.0,InVal-5,,17.0,,18.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
125,119.0,LA,10.0,InVal-5,,21.0,,22.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
126,120.0,LA,10.0,InVal-5,,22.0,,23.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
127,121.0,LA,10.0,InVal-5,,23.0,,24.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
128,122.0,LA,10.0,InVal-5,,24.0,,25.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
129,123.0,LA,10.0,InVal-5,,25.0,,26.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
130,124.0,LA,10.0,InVal-5,,26.0,,27.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
131,125.0,LA,10.0,InVal-5,,27.0,,28.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
132,126.0,LA,10.0,InVal-5,,28.0,,29.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
133,127.0,LA,10.0,InVal-5,,29.0,,30.0,,FY23/Q3,,,1.0,,,,1,,,,25.0,,X,,,,X,,,,,75.0,50.0
135,128.0,LA,27.0,InVal-3,,0.0,,1.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
136,129.0,LA,27.0,InVal-3,,1.0,,2.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
137,130.0,LA,27.0,InVal-3,,2.0,,3.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
138,131.0,LA,27.0,InVal-3,,3.0,,4.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
139,132.0,LA,27.0,InVal-3,,4.0,,5.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
140,133.0,LA,27.0,InVal-3,,5.0,,6.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
141,134.0,LA,27.0,InVal-3,,6.0,,7.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
142,135.0,LA,27.0,InVal-3,,7.0,,8.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
143,136.0,LA,27.0,InVal-3,,8.0,,9.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
144,137.0,LA,27.0,InVal-3,,9.0,,10.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
145,138.0,LA,27.0,InVal-3,,10.0,,11.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
146,139.0,LA,27.0,InVal-3,,11.0,,12.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
147,140.0,LA,27.0,InVal-3,,12.0,,13.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
148,141.0,LA,27.0,InVal-3,,13.0,,14.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
149,142.0,LA,27.0,InVal-3,,14.0,,15.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
150,143.0,LA,27.0,InVal-3,,15.0,,16.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
151,144.0,LA,27.0,InVal-3,,16.0,,17.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
152,145.0,LA,27.0,InVal-3,,17.0,,18.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
153,146.0,LA,27.0,InVal-3,,18.0,,19.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
154,147.0,LA,27.0,InVal-3,,19.0,,20.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
156,148.0,LA,60.0,SoCst-5,,0.0,,1.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,X,,,X,,X,25.0,38.0
157,149.0,LA,60.0,SoCst-5,,1.0,,2.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,,X,,,X,50.0,75.0
158,150.0,LA,60.0,SoCst-5,,2.0,,3.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,X,,,,,75.0,88.0
159,151.0,LA,60.0,SoCst-5,,3.0,,4.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
160,152.0,LA,60.0,SoCst-5,,4.0,,5.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
161,153.0,LA,60.0,SoCst-5,,5.0,,6.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
162,154.0,LA,60.0,SoCst-5,,6.0,,7.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
163,155.0,LA,60.0,SoCst-5,,7.0,,8.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
164,156.0,LA,60.0,SoCst-5,,8.0,,9.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
165,157.0,LA,60.0,SoCst-5,,9.0,,10.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
166,158.0,LA,60.0,SoCst-5,,10.0,,11.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
168,159.0,LA,101.0,InVal-5,,0.0,,1.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,,X,,,,50.0,50.0
169,160.0,LA,101.0,InVal-5,,1.0,,2.0,,FY23/Q3,,1,,,1,,1,,,,50.0,X,,,,,,X,,,X,75.0,63.0
170,161.0,LA,101.0,InVal-5,,2.0,,3.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,,X,,,,75.0,75.0
171,162.0,LA,101.0,InVal-5,,3.0,,4.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
172,163.0,LA,101.0,InVal-5,,4.0,,5.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,X,,X,,,,50.0,75.0
173,164.0,LA,101.0,InVal-5,,5.0,,6.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
174,165.0,LA,101.0,InVal-5,,6.0,,7.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
175,166.0,LA,101.0,InVal-5,,7.0,,8.0,,FY23/Q3,1,,,,,,1,,,,75.0,,X,,,,X,,,,,75.0,75.0
176,167.0,LA,101.0,InVal-5,,8.0,,9.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
177,168.0,LA,101.0,InVal-5,,9.0,,10.0,,FY23/Q3,1,,,,,,1,,,1,75.0,,X,,,,,X,,,X,50.0,63.0
178,169.0,LA,101.0,InVal-5,,10.0,,11.0,,FY23/Q3,,1,,,,,,1.0,,,25.0,,X,,,,,X,,,,50.0,38.0
179,170.0,LA,101.0,InVal-5,,11.0,,12.0,,FY23/Q3,1,,,,,,1,,,,75.0,,X,,,,,,X,,X,25.0,50.0
180,171.0,LA,101.0,InVal-5,,12.0,,13.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
181,172.0,LA,101.0,InVal-5,,13.0,,14.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
182,173.0,LA,101.0,InVal-5,,14.0,,15.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,,X,,,,,75.0,75.0
183,174.0,LA,101.0,InVal-5,,15.0,,16.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
184,175.0,LA,101.0,InVal-5,,16.0,,17.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
185,179.0,LA,101.0,InVal-5,,21.0,,22.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
186,180.0,LA,101.0,InVal-5,,22.0,,23.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
