ID,DIST,CO,RTE,PFX,BEGPM,PFX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
34,2,SHA,5,R,44,R,45,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
35,2,SHA,5,R,45,R,46,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
36,2,SHA,5,R,46,R,47,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
37,2,SHA,5,R,47,R,48,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
38,2,SHA,5,R,48,R,49,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
39,2,SHA,5,R,49,R,50,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
40,2,SHA,5,R,50,R,51,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
41,2,SHA,5,R,51,R,52,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
42,2,SHA,5,R,52,R,53,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
43,2,SHA,5,R,53,R,54,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
44,2,SHA,5,R,55,R,56,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
45,2,SHA,5,R,56,,57,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
46,2,SHA,5,,57,,58,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
47,2,SHA,5,,58,,59,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
48,2,SHA,5,,59,,60,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
49,2,SHA,5,,60,,61,1,,2,District 2 - Field Region,District 2 - Field Region,LoMt-3,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
