,ID,DIST,CO,RTE,PFX,BEGPM,PREFIX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
79,93.0,10.0,SJ,5.0,,39.0,,40.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,,,X,,,50.0,50.0
80,94.0,10.0,SJ,5.0,,40.0,,41.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,1.0,,,1.0,,,25.0,X,,,,,,,X,,X,50.0,38.0
81,95.0,10.0,SJ,5.0,,41.0,,42.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,X,,,,,75.0,63.0
82,96.0,10.0,SJ,5.0,,42.0,,43.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1.0,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
83,97.0,10.0,SJ,5.0,,43.0,,44.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
84,98.0,10.0,SJ,5.0,,44.0,,45.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
85,99.0,10.0,SJ,5.0,,45.0,,46.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1.0,,,,,,1,,,,75.0,,X,,,,X,,,,,75.0,75.0
86,100.0,10.0,SJ,5.0,,46.0,,47.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,,1.0,,,,1,,,,25.0,,X,,,,X,,,,,75.0,50.0
87,101.0,10.0,SJ,5.0,,47.0,,48.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,X,,,,,75.0,63.0
88,102.0,10.0,SJ,5.0,,48.0,,49.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,,1.0,,,,,1.0,,,0.0,,,X,,,,X,,,,25.0,13.0
90,103.0,10.0,SJ,99.0,,0.0,,1.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,,X,,,,,75.0,75.0
91,104.0,10.0,SJ,99.0,,1.0,,2.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
92,105.0,10.0,SJ,99.0,,2.0,,3.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
93,106.0,10.0,SJ,99.0,,3.0,,4.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
94,107.0,10.0,SJ,99.0,,4.0,,5.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
95,108.0,10.0,SJ,99.0,,5.0,,6.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
96,109.0,10.0,SJ,99.0,,6.0,,7.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,,1,,,1.0,75.0,X,,,,,,X,,,,75.0,75.0
97,110.0,10.0,SJ,99.0,,7.0,,8.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
98,111.0,10.0,SJ,99.0,,8.0,,9.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,,,X,,,,50.0,63.0
99,112.0,10.0,SJ,99.0,,9.0,,10.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
100,113.0,10.0,SJ,99.0,,10.0,,11.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
101,114.0,10.0,SJ,99.0,,11.0,,12.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
102,115.0,10.0,SJ,99.0,,12.0,,13.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
103,116.0,10.0,SJ,99.0,,13.0,,14.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,,X,,,,50.0,50.0
104,117.0,10.0,SJ,99.0,,14.0,,15.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
105,118.0,10.0,SJ,99.0,,15.0,,16.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
106,119.0,10.0,SJ,99.0,,16.0,,17.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,,X,,,,75.0,88.0
107,120.0,10.0,SJ,99.0,,17.0,,18.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
108,121.0,10.0,SJ,99.0,,18.0,,19.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
109,122.0,10.0,SJ,99.0,,19.0,,20.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,1.0,50.0,,X,,,,,X,,,,50.0,50.0
110,123.0,10.0,SJ,99.0,,20.0,,21.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
111,124.0,10.0,SJ,99.0,,21.0,,22.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
112,125.0,10.0,SJ,99.0,,22.0,,23.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,1.0,50.0,X,,,,,,X,,,,75.0,63.0
113,126.0,10.0,SJ,99.0,,23.0,,24.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1.0,,,,,75.0,,X,,,,,X,,,,50.0,63.0
114,127.0,10.0,SJ,99.0,,24.0,,25.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,,1,,,1.0,75.0,X,,,,,X,,,,,100.0,88.0
115,128.0,10.0,SJ,99.0,,25.0,,26.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
116,129.0,10.0,SJ,99.0,,26.0,,27.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
117,130.0,10.0,SJ,99.0,,27.0,,28.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,X,,,,,,,X,,,50.0,75.0
118,131.0,10.0,SJ,99.0,,28.0,,29.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1.0,,,,,1.0,,,,,100.0,,X,,,,,,X,,,25.0,63.0
