ID,DIST,CO,RTE,PF1,BEGPM,PF1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
1,8,RIV,10,R,0,R,1,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
2,8,RIV,10,R,1,R,2,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
3,8,RIV,10,R,2,R,3,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
4,8,RIV,10,R,3,R,4,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,,,x,,,x,,,,,50,,X,,,,X,,,,,75,63
5,8,RIV,10,R,4,R,5,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
6,8,RIV,10,R,5,R,6,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25,,X,,,,,X,,,,50,38
7,8,RIV,10,R,6,,7,1,,8,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
16,8,RIV,10,,29,,30,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,,x,,,x,,,,,50,,,X,,,X,,,,,50,50
17,8,RIV,10,,30,,31,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,,x,,,,75,X,,,,,,X,,,,75,75
18,8,RIV,10,,31,,32,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
19,8,RIV,10,,32,,33,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
20,8,RIV,10,,33,,34,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,,x,,,,75,X,,,,,,X,,,,75,75
21,8,RIV,10,,34,,35,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
22,8,RIV,10,,35,,36,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
23,8,RIV,10,,36,,37,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
24,8,RIV,10,,37,,38,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
25,8,RIV,10,,38,,39,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
26,8,RIV,10,,39,,40,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
27,8,RIV,10,,40,,41,1,,8,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
