HQ Id,District/LOS,CO,RTE,Prefi1,BPM,Prefi1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments", District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
63,11,SD,5,,62,,63,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
64,11,SD,5,,63,,64,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
65,11,SD,5,,64,,65,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
66,11,SD,5,,65,,66,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
67,11,SD,5,,66,,67,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
68,11,SD,5,,67,,68,SoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
69,11,SD,5,,68,,69,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
70,11,SD,5,,69,,70,SoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
71,11,SD,5,,70,,71,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
72,11,SD,5,,71,,72,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
73,11,SD,5,,72,R,73,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
74,11,SD,8,,0,,1,SoCst-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
75,11,SD,8,,1,,2,SoCst-4,FY23/Q3,,,x,,,,x,,,,25,,X,,,,,X,,,,50,38
76,11,SD,8,,2,,3,SoCst-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
77,11,SD,8,,3,,4,SoCst-4,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
78,11,SD,8,,4,,5,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
79,11,SD,8,,5,,6,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
80,11,SD,8,,6,,7,SoCst-4,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
81,11,SD,8,,7,,8,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
82,11,SD,8,,8,,9,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
83,11,SD,8,,9,,10,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
84,11,SD,8,,10,,11,SoCst-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,X,X,,,,,75,75
85,11,SD,8,,11,,12,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
89,11,SD,8,,15,,16,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
90,11,SD,8,,16,,17,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
91,11,SD,8,,17,,18,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
92,11,SD,8,,18,,19,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
93,11,SD,15,,2,R,3,SoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,,X,,,,75,75
94,11,SD,15,M,4,M,5,SoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,X,,X,,,X,50,50
95,11,SD,15,R,8,R,9,SoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
96,11,SD,15,R,9,R,10,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
97,11,SD,15,R,10,R,11,SoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
99,11,SD,52,,0,,1,SoCst-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
100,11,SD,52,,1,,2,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
101,11,SD,52,,2,,3,SoCst-4,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
103,11,SD,52,,4,,5,SoCst-4,FY23/Q3,,,x,,,,x,,,,25,,,X,,,,X,,,,25,25
104,11,SD,52,,5,,6,SoCst-4,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
105,11,SD,52,,6,,7,SoCst-4,FY23/Q3,,,x,,,,x,,,,25,,X,,,,,X,,,,50,38
106,11,SD,52,,7,,8,SoCst-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
107,11,SD,52,,8,,9,SoCst-4,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,,50,50
108,11,SD,52,,9,,10,SoCst-4,FY23/Q3,,x,,,,,x,,,,50,X,,,,,,X,,,,75,63
109,11,SD,52,,10,,11,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
110,11,SD,52,,11,,12,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
111,11,SD,52,,12,,13,SoCst-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
112,11,SD,52,,13,,14,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
113,11,SD,52,,14,,15,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
114,11,SD,52,,15,,16,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
115,11,SD,52,,16,,17,SoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
116,11,SD,78,,0,,1,SoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
122,11,SD,78,,6,,7,SoCst-3,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
123,11,SD,78,,7,,8,SoCst-3,FY23/Q3,x,,,,,,,x,,,50,,X,,,,,X,,,,50,50
124,11,SD,78,,8,,9,SoCst-3,FY23/Q3,,,x,,,,,x,,,0,,X,,,,,X,,,,50,25
125,11,SD,78,,9,,10,SoCst-3,FY23/Q3,,x,,,,,,x,,,25,,X,,,,,X,,,,50,38
126,11,SD,78,,10,,11,SoCst-3,FY23/Q3,,,x,,,,,x,,,0,,X,,,,,,X,,,25,13
127,11,SD,78,,11,,12,SoCst-3,FY23/Q3,,x,,,,,,x,,,25,,X,,,,,,X,,,25,25
128,11,SD,78,,12,,13,SoCst-3,FY23/Q3,,x,,,,,,x,,,25,,X,,,,,,X,,,25,25
132,11,SD,78,,16,,17,SoCst-3,FY23/Q3,,,x,,,,,x,,,0,,,X,,X,,,X,,X,0,0
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
133,11,SD,94,,1,,2,SoCst-3,FY23/Q3,x,,,,,x,,,,,100,,X,,,X,X,,,,,75,88
134,11,SD,94,,2,,3,SoCst-3,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,X,,,X,50,50
135,11,SD,94,,3,,4,SoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,X,75,88
136,11,SD,94,,4,,5,SoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
137,11,SD,94,,5,,6,SoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
138,11,SD,94,,6,,7,SoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
139,11,SD,94,,7,,8,SoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
