,ID,DIST,CO,RTE,PF1,BEGPM,PF1.1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
27,36.0,8.0,RIV,10.0,,49.0,,50.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
28,37.0,8.0,RIV,10.0,,51.0,,52.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
29,38.0,8.0,RIV,10.0,R,52.0,R,53.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
30,39.0,8.0,RIV,10.0,R,53.0,R,54.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
31,40.0,8.0,RIV,10.0,R,54.0,R,55.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
32,41.0,8.0,RIV,10.0,R,55.0,R,56.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
33,42.0,8.0,RIV,10.0,R,56.0,R,57.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
34,43.0,8.0,RIV,10.0,R,57.0,R,58.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
35,44.0,8.0,RIV,10.0,R,58.0,R,59.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
36,45.0,8.0,RIV,10.0,R,59.0,R,60.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,Des-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
38,46.0,8.0,RIV,15.0,,3.0,,4.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
39,47.0,8.0,RIV,15.0,,4.0,,5.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
40,48.0,8.0,RIV,15.0,,5.0,,6.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
41,49.0,8.0,RIV,15.0,,6.0,,7.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
42,50.0,8.0,RIV,15.0,,7.0,,8.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
43,51.0,8.0,RIV,15.0,,8.0,,9.0,1.0,,8.0,District 8 - South Region,District 8 - South Region,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
