ID,DIST,CO,RTE,PF1,BEGPM,Prefi1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
44,9,KER,58,R,120,R,121,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
45,9,KER,58,R,121,R,122,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
46,9,KER,58,R,122,R,123,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
47,9,KER,58,R,123,R,124,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
48,9,KER,58,R,124,R,125,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
49,9,KER,58,R,125,R,126,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
50,9,KER,58,R,126,R,127,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
51,9,KER,58,R,127,R,128,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
52,9,KER,58,R,128,R,129,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
53,9,KER,58,R,129,R,130,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
54,9,KER,58,R,130,R,131,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
55,9,KER,58,R,131,R,132,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
56,9,KER,58,R,132,R,133,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
57,9,KER,58,R,133,R,134,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
58,9,KER,58,R,134,R,135,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
59,9,KER,58,R,135,R,136,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
60,9,KER,58,R,136,R,137,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
61,9,KER,58,R,137,R,138,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
62,9,KER,58,R,138,R,139,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
63,9,KER,58,R,139,R,140,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
64,9,KER,58,R,140,R,141,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,Des-3,FY23/Q3,X,,,,,X,,,,,100
65,9,KER,58,R,141,R,142,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
,,,,,,,,,,,,,,,,,,,,,,,,,
66,9,KER,202,R,2,R,,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
67,9,KER,202,R,3,R,4,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
68,9,KER,202,R,4,R,5,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,,X,,,,X,,,,,75
69,9,KER,202,R,5,R,6,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
70,9,KER,202,R,6,R,7,,,,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
71,9,KER,202,R,7,R,8,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,,X,,,,75
72,9,KER,202,R,8,R,9,1,,9,District 9 - Bishop Region,District 9 - Bishop Region,HiMt-3,FY23/Q3,X,,,,,X,,,,,100
,,7,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,, ,,,,,,,,69,3,0,0,0,70,2,0,0,0,98
,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,, ,,,,,Encampments,,Need 1,0,,Encampments,,Need 1,0,
,,,,,,,,,,,,,,,,,,Need 2,0,,,,Need 2,0,
