HQ Id,District/LOS,County,ROUTE,Prefi1,BPM,Prefi1,EPM,Zone,Q2 Date Evaluated,Pass,Need 1,Need 2,Score,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,Pass,Need 1,Need 2,District LOS Score,Pass,Need 1,Need 2,RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments", RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments", District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments", District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments", RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments", RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments", District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Q1 FY2024-Date Evaluated ,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score,FY24Q3 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,FY24Q3 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score,FY24Q4 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,FY24Q4 Date Evaluated,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","NB/EB
Comments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments","SB/WB
Comments", LOS Score,Average LOS score
1,11,SD,5,,0,,1,SoCst-5,5/18/2021,,,1,0,Beg FY22,,1,,50,,,1,0,25,FY22/Q1,,,1,0,,,1,0,0,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,,x,,,,x,,,,,75,X,,,,,,X,,,X,75,75,FY22/Q4,x,,,,,x,,,,,100,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q1,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q2,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q3,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q4,, ,,x,,,,,x,,50,,X,,,X,,X,,,,50,50,10/12/2023,,,,x,,,,,,x,,,#DIV/0!,10/4/2023,X,,,,,,X,,,,,,100,#DIV/0!,1/9/2024,,,,x,,,,,,x,,,#DIV/0!,1/9/2024,,,,X,,,,,,X,,,#DIV/0!,#DIV/0!,4/18/2024,,,,x,,,,,,x,,,#DIV/0!,4/8/2024,X,,,,,,X,,,,,,100,#DIV/0!,6/12/2024,,,,x,,,,,,x,,,#DIV/0!,6/11/2024,,,,X,,Const,,,,x,,,#DIV/0!,#DIV/0!
2,11,SD,5,,1,,2,SoCst-5,5/18/2021,,,1,0,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,,1,0,,1,,50,25,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY22/Q4,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q1,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q2,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q3,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q4,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,10/12/2023,,,,x,,,,,,x,,,#DIV/0!,10/4/2023,,,,x,,,,,,X,,,#DIV/0!,#DIV/0!,1/9/2024,,,,x,,,,,,x,,,#DIV/0!,1/9/2024,,,,X,,,,,,X,,,#DIV/0!,#DIV/0!,4/18/2024,,,,x,,,,,,x,,,#DIV/0!,4/8/2024,,X,,,X,RS,X,,,,,,75,#DIV/0!,6/12/2024,,,x,,x,rs,x,,,,,,50,6/11/2024,,X,,,X,RS,X,,,,,,75,63
3,11,SD,5,,2,,3,SoCst-5,5/18/2021,,,1,0,Beg FY22,1,,,100,1,,,100,100,FY22/Q1,,1,,50,,,1,0,25,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,,,,X,,,,,x,,#DIV/0!,,X,,,X,X,,,,,75,#DIV/0!,FY22/Q4,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q1,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q2,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q3,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q4,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,10/12/2023,,,,x,,,,,,x,,,#DIV/0!,10/4/2023,,,,x,,,,,,X,,,#DIV/0!,#DIV/0!,1/9/2024,,,,x,,,,,,x,,,#DIV/0!,1/9/2024,,,,X,,,,,,X,,,#DIV/0!,#DIV/0!,4/18/2024,,,x,,,ls,,x,,,,ls,25,4/8/2024,X,,,,,,X,,,,,,100,63,6/12/2024,,x,,,,,x,,,,,,75,6/11/2024,X,,,,,,X,,,,,,100,88
4,11,SD,5,,3,,4,SoCst-5,5/18/2021,,,1,0,Beg FY22,,,1,0,1,,,100,50,FY22/Q1,,1,,50,,,1,0,25,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY22/Q4,x,,,,,x,,,,,100,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q1,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q2,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q3,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q4,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,10/12/2023,x,,,,,,x,,,,,,100,10/4/2023,X,,,,,,X,,,,,,100,100,1/9/2024,,x,,,,ls,,x,,,,ls,50,1/9/2024,,X,,,,CM,,X,,,,CM,50,50,4/18/2024,,x,,,,ls,,x,,,,ls,50,4/8/2024,X,,,,,,X,,,,,,100,75,6/12/2024,x,,,,,,x,,,,,,100,6/11/2024,X,,,,,,X,,,,,,100,100
5,11,SD,5,,4,,5,SoCst-5,5/18/2021,,1,,50,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,X,75,88,FY22/Q4,x,,,,,x,,,,,100,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q1,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q2,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q3,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,FY23/Q4,,,,x,,,,,x,,#DIV/0!,,,,X,,,,,X,,#DIV/0!,#DIV/0!,10/12/2023,x,,,,,,x,,,,,,100,10/4/2023,X,,,,,,X,,,,,,100,100,1/9/2024,x,,,,,,x,,,,,,100,1/9/2024,X,,,,,,X,,,,,,100,100,4/18/2024,,x,,,,ls,x,,,,,,75,4/8/2024,X,,,,,,,X,,,X,RS,75,75,6/12/2024,x,,,,,,,x,,,x,,75,6/11/2024,X,,,,,,,X,,,X,RS,75,75
6,11,SD,5,,5,,6,SoCst-5,5/18/2021,,,1,0,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY22/Q4,,x,,,,x,,,,,75,,X,,,X,X,,,,,75,75,FY23/Q1,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q3,,x,,,x,,x,,,x,50,,X,,,X,,X,,,X,50,50,FY23/Q4,x,,,,,x,,,,,100,,X,,,X,X,,,,,75,88,10/12/2023,x,,,,,,x,,,,,,100,10/4/2023,X,,,,,,,X,,,X,RS,75,88,1/9/2024,x,,,,,,x,,,,,,100,1/9/2024,X,,,,,,X,,,,,,100,100,4/18/2024,,x,,,,ls,x,,,,,,75,4/8/2024,X,,,,,,X,,,,,,100,88,6/12/2024,,x,,,x,,,x,,,x,,50,6/11/2024,,,X,,XX,RS,,X,,,,,25,38
7,11,SD,5,,6,,7,SoCst-5,5/18/2021,,,1,0,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,1,,,100,,1,,50,75,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,X,75,88,FY22/Q4,,x,,,,x,,,,,75,,X,,,X,X,,,,,75,75,FY23/Q1,x,,,,,x,,,,,100,,X,,,X,,X,,,X,50,75,FY23/Q2,x,,,,,x,,,,,100,,X,,,X,X,,,,,75,88,FY23/Q3,,x,,,,x,,,,,75,,X,,,X,X,,,,,75,75,FY23/Q4,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,10/12/2023,x,,,,,,x,,,,,,100,10/4/2023,,,X,,X,RS,X,,,,,,50,75,1/9/2024,,x,,,,ls,,x,,,,ls,50,1/9/2024,,X,,,,CM,,X,,,,CM,50,50,4/18/2024,x,,,,,,,x,,,,rs ,75,4/8/2024,X,,,,,,,,X,,X,RS,50,63,6/12/2024,,x,,,x,rs,,x,,,x,,50,6/11/2024,,,X,,X,RS,,X,,,X,RS,25,38
8,11,SD,5,,7,,8,SoCst-5,5/18/2021,,,1,0,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,,1,0,1,,,100,50,FY22/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,X,75,88,FY22/Q4,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88,FY23/Q1,,x,,,,,x,,,,50,X,,,,,,X,,,X,75,63,FY23/Q2,,,x,,,x,,,,,50,,X,,,X,X,,,,,75,63,FY23/Q3,x,,,,,x,,,,,100,,X,,,X,X,,,,,75,88,FY23/Q4,,x,,,,x,,,,,75,,,X,,X,X,,,,,50,63,10/12/2023,x,,,,,,x,,,,,,100,10/4/2023,X,,,,,,X,,,,,,100,100,1/9/2024,,x,,,,ls,x,,,,,,75,1/9/2024,,X,,,X,RS CM,X,,,,,,75,75,4/18/2024,,x,,,x, ,x,,,,,,75,4/8/2024,,,X,,X,RS,,,X,,X,RS,0,38,6/12/2024,,x,,,x,rs,,x,,,rs,,50,6/11/2024,,X,,,X,RS,,X,,,X,RS,50,50
9,11,SD,5,,8,,9,SoCst-5,5/18/2021,,,1,0,Beg FY22,,,1,0,,,1,0,0,FY22/Q1,,1,,50,,1,,50,50,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,,X,,,X,,X,,,X,50,75,FY22/Q4,x,,,,,x,,,,,100,,X,,,,,X,,,X,50,75,FY23/Q1,,x,,,,,x,,,,50,,X,,,X,X,,,,,75,63,FY23/Q2,,x,,,,x,,,,,75,,X,,,X,,X,,,X,50,63,FY23/Q3,,x,,,,x,,,,,75,,X,,,X,,X,,,X,50,63,FY23/Q4,x,,,,,x,,,,,100,,X,,,,,X,,,X,50,75,10/12/2023,x,,,,,,x,,,,,,100,10/4/2023,,X,,,X,RS,,X,,,X,RS,50,75,1/9/2024,x,,,,,,x,,,,,,100,1/9/2024,X,,,,,,,X,,,X,RS,75,88,4/18/2024,x,,,,,,,x,,,,ls,75,4/8/2024,,,X,,X,RS,,X,,,X,RS,25,50,6/12/2024,,x,,, ,rs,,x,,,rs,,50,6/11/2024,,X,,,X,RS,,X,,,X,RS,50,50
10,11,SD,5,,9,,10,SoCst-5,5/18/2021,,,1,0,Beg FY22,,,1,0,,1,,50,25,FY22/Q1,1,,,100,1,,,100,100,FY22/Q2,,,1,0,,1,,50,25,FY22/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY22/Q4,x,,,,,,x,,,,75,X,,,,,,X,,,,75,75,FY23/Q1,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,FY23/Q2,,,x,,,x,,,,,50,,,X,,,X,,,,,50,50,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88,FY23/Q4,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100,10/12/2023,x,,,,,,x,,,,,,100,10/4/2023,X,,,,,,,X,,,,CM,75,88,1/9/2024,,x,,,,ls,x,,,,,,75,1/9/2024,,X,,,,CM,X,,,,,,75,75,4/18/2024,,x,,,,ls,,x,,,,ls,50,4/8/2024,X,,,,,,,X,,,X,RS,75,63,6/12/2024,,x,,,,rs,x,,,,,,75,6/11/2024,X,,,,,,X,,,,,,100,88
