ID,DIST,CO,RTE,PF1,BEGPM,PF1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
34,12,ORA,5,,8,,9,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,,X,,,,50,,X,,,,X,,,,,75,63
35,12,ORA,5,,9,,10,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
36,12,ORA,5,,10,,11,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
37,12,ORA,5,,11,,12,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
45,12,ORA,5,,19,,20,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,,X,,,,50,X,,,,,X,,,,,100,75
46,12,ORA,5,,20,,21,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75,,X,,,,X,,,,,75,75
47,12,ORA,5,,21,,22,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
48,12,ORA,5,,22,,23,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
49,12,ORA,5, ,23,,24,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
50,12,ORA,5, ,24,,25,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
51,12,ORA,5, ,25,,26,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
52,12,ORA,5, ,26,,27,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
53,12,ORA,5, ,27,,28,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
54,12,ORA,5, ,28,,29,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
55,12,ORA,5,,30,,31,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,,X,,,,X,,,,,75,88
56,12,ORA,5,,31,,32,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
57,12,ORA,5,,32,,33,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
58,12,ORA,5,,33,,34,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
59,12,ORA,5,,34,,35,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
60,12,ORA,5,,35,,36,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,,X,,,X,X,,,,,75,88
61,12,ORA,5,,36,,37,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
62,12,ORA,5,,37,,38,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,,X,,,X,75,88
63,12,ORA,5,,38,,39,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
64,12,ORA,5,,39,,40,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,X,X,,,,,75,X,,,,,X,,,,,100,88
65,12,ORA,5,,40,,41,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,X,X,,,,,75,,X,,,X,X,,,,,75,75
66,12,ORA,5,,41,,42,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,X,75,X,,,,,,X,,,X,75,75
67,12,ORA,5,,42,,43,1,L,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,,X,,,X,75,88
68,12,ORA,5,,43,,44,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
69,12,ORA,22,R,2,R,3,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
70,12,ORA,22,R,3,R,4,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75,,X,,,,X,,,,,75,75
71,12,ORA,22,R,4,R,5,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75,X,,,,,X,,,,,100,88
72,12,ORA,22,R,5,R,6,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
73,12,ORA,22,R,6,R,7,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
74,12,ORA,22,R,7,R,8,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88
75,12,ORA,22,R,8,R,9,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,X,75,X,,,,,,X,,,X,75,75
76,12,ORA,22,R,9,R,10,1,,12,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75,X,,,,,X,,,,,100,88
