,ID,DIST,CO,RTE,Prefix,BPM,Prefix.1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
29,25.0,4.0,ALA,580.0,,15.0,,16.0,InVal-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
30,26.0,4.0,ALA,580.0,,17.0,,18.0,InVal-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
31,27.0,4.0,ALA,580.0,,18.0,,19.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
32,28.0,4.0,ALA,580.0,,19.0,,20.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
33,29.0,4.0,ALA,580.0,R,25.0,,26.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,,50.0,50.0
34,30.0,4.0,ALA,580.0,,27.0,,28.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
35,31.0,4.0,ALA,580.0,,28.0,,29.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,X,,,,,50.0,50.0
36,32.0,4.0,ALA,580.0,R,29.0,,30.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,X,,,,,,X,,,,75.0,50.0
37,33.0,4.0,ALA,580.0, ,30.0,M,31.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,,,X,,,,50.0,63.0
38,35.0,4.0,ALA,580.0,,33.0,,34.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,X,,,,,50.0,63.0
39,36.0,4.0,ALA,580.0,,34.0,,35.0,NoCst-5,FY23/Q3,,,x,,,x,,,,,50.0,X,,,,,X,,,,,100.0,75.0
40,37.0,4.0,ALA,580.0, ,35.0,,36.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
41,38.0,4.0,ALA,580.0,R,36.0,,37.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,x,,,,,X,,,,,100.0,100.0
42,39.0,4.0,ALA,580.0,R,40.0,,41.0,NoCst-5,FY23/Q3,,,x,,x,x,,,,,50.0,,,X,,X,X,,,,,50.0,50.0
43,40.0,4.0,ALA,580.0,,41.0,,42.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,,75.0,75.0
44,41.0,4.0,ALA,580.0,,42.0,,43.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,,X,,,,X,,,,25.0,50.0
45,42.0,4.0,ALA,580.0,,43.0,,44.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
46,43.0,4.0,ALA,580.0,,44.0,,45.0,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25.0,,X,,,X,,X,,,,50.0,38.0
48,44.0,4.0,ALA,680.0,M,0.0,,1.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,,,X,,X,25.0,63.0
49,45.0,4.0,ALA,680.0,,1.0,,2.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,,X,,,,X,,,,25.0,63.0
50,46.0,4.0,ALA,680.0,,2.0,,3.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
51,47.0,4.0,ALA,680.0,,3.0,,4.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
52,48.0,4.0,ALA,680.0,M,4.0,M,5.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,X,,,,,75.0,88.0
53,56.0,4.0,ALA,680.0,R,19.0,,20.0,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,,X,,,,,75.0,75.0
55,57.0,4.0,ALA,880.0, ,3.0,,4.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,,,X,,,50.0,63.0
56,58.0,4.0,ALA,880.0,,4.0,,5.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,X,,,,,75.0,63.0
57,59.0,4.0,ALA,880.0,,5.0,,6.0,NoCst-5,FY23/Q3,,,x,,,,,x,,x,0.0,,X,,,,,,X,,X,25.0,13.0
58,60.0,4.0,ALA,880.0,,6.0,,7.0,NoCst-5,FY23/Q3,,,x,,,,,x,,x,0.0,X,,,,,,,X,,X,50.0,25.0
59,61.0,4.0,ALA,880.0,,7.0,,8.0,NoCst-5,FY23/Q3,,,x,,x,x,,,,,50.0,,,X,,,X,,,,,50.0,50.0
60,62.0,4.0,ALA,880.0,,13.0,,14.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
61,63.0,4.0,ALA,880.0,,14.0,,15.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,,,X,,,,50.0,63.0
62,64.0,4.0,ALA,880.0,,15.0,,16.0,NoCst-5,FY23/Q3,,x,,,,,,x,,x,25.0,,,X,,,,,X,,,0.0,13.0
63,65.0,4.0,ALA,880.0,,16.0,,17.0,NoCst-5,FY23/Q3,,,x,,,,,x,,,0.0,,,X,,,,,X,,,0.0,0.0
64,66.0,4.0,ALA,880.0,,17.0,,18.0,NoCst-5,FY23/Q3,,,x,,,,,x,,,0.0,,,X,,,,X,,,,25.0,13.0
65,67.0,4.0,ALA,880.0,,23.0,,24.0,NoCst-5,FY23/Q3,,,X,,,,x,,,,25.0,,,X,,,,,X,,,0.0,13.0
66,68.0,4.0,ALA,880.0,,24.0,,25.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,,X,,,,X,,,,25.0,25.0
67,69.0,4.0,ALA,880.0,,25.0,,26.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,,X,,X,,X,,,,25.0,25.0
68,70.0,4.0,ALA,880.0,,26.0,,27.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,,X,,,0.0,25.0
69,71.0,4.0,ALA,880.0,,27.0,,28.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,X,,,,25.0,25.0
70,72.0,4.0,ALA,880.0,,30.0,,31.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,X,,,,X,,,,,75.0,50.0
72,73.0,4.0,ALA,980.0,,1.0,,2.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,X,,X,,,,25.0,38.0
74,74.0,4.0,CC,4.0,,0.0,,1.0,NoCst-4,FY23/Q3,,,x,,,,,x,,,0.0,,,x,,,,,X,,,0.0,0.0
75,75.0,4.0,CC,4.0,,1.0,,2.0,NoCst-4,FY23/Q3,,,x,,,x,,,,,50.0,,,x,,,,X,,,,25.0,38.0
76,76.0,4.0,CC,4.0,,2.0,,3.0,NoCst-4,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,X,,,,25.0,25.0
77,77.0,4.0,CC,4.0,,3.0,,4.0,NoCst-4,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,X,,,,25.0,25.0
78,78.0,4.0,CC,4.0,R,4.0,R,5.0,NoCst-4,FY23/Q3,,x,,,,,,x,,,25.0,,,X,,,,,X,,,0.0,13.0
79,79.0,4.0,CC,4.0,R,9.0,,10.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,X,,,,,75.0,88.0
80,80.0,4.0,CC,4.0,,10.0,,11.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,,X,,,,50.0,75.0
81,81.0,4.0,CC,4.0,,11.0,,12.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
82,82.0,4.0,CC,4.0,,12.0,,13.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,X,50.0,50.0
83,83.0,4.0,CC,4.0,,13.0,,14.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,X,X,,,,,50.0,50.0
84,84.0,4.0,CC,4.0,,14.0,,15.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,,X,,,0.0,25.0
85,85.0,4.0,CC,4.0,,15.0,R,16.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,,,X,,,X,,,,,50.0,75.0
86,86.0,4.0,CC,4.0,R,19.0,,20.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
87,87.0,4.0,CC,4.0,,20.0,,21.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
88,88.0,4.0,CC,4.0,,22.0,,23.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
89,89.0,4.0,CC,4.0,,23.0,,24.0,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
90,90.0,4.0,CC,4.0,,24.0,,25.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
92,91.0,4.0,CC,24.0,R,0.0,,1.0,InVal-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
93,92.0,4.0,CC,24.0,,1.0,,2.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
94,93.0,4.0,CC,24.0,,2.0,,3.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
95,94.0,4.0,CC,24.0,,3.0,,4.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
96,95.0,4.0,CC,24.0,,4.0,,5.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
97,96.0,4.0,CC,24.0,,5.0,,6.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
98,97.0,4.0,CC,24.0,,6.0,,7.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
99,98.0,4.0,CC,24.0,,7.0,R,8.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
101,99.0,4.0,CC,80.0,,0.0,,1.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,X,,X,,,X,50.0,63.0
102,100.0,4.0,CC,80.0,,1.0,,2.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
103,101.0,4.0,CC,80.0,,2.0,,3.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,,X,,,,,X,,,0.0,38.0
104,102.0,4.0,CC,80.0,,3.0,,4.0,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25.0,,,X,,X,,,X,,X,0.0,13.0
105,103.0,4.0,CC,80.0,,4.0,,5.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,X,,,X,,,25.0,50.0
106,104.0,4.0,CC,80.0,,5.0,,6.0,NoCst-5,FY23/Q3,x,,,,,,,x,,,50.0,,,X,,X,,X,,,,25.0,38.0
107,105.0,4.0,CC,80.0,,6.0,,7.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,,,X,,,50.0,50.0
108,106.0,4.0,CC,80.0,,7.0,,8.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,,,X,,,25.0,50.0
110,107.0,4.0,CC,242.0,R,1.0,,2.0,InVal-5,FY23/Q3,,,x,,x,,,x,,x,0.0,,,X,,X,,,X,,X,0.0,0.0
111,108.0,4.0,CC,242.0,R,2.0,R,3.0,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
113,109.0,4.0,CC,580.0,,0.0,,1.0,NoCst-4,FY23/Q3,,x,,,x,,x,,,,50.0,,X,,,,X,,,,,75.0,63.0
114,110.0,4.0,CC,580.0,,1.0,,2.0,NoCst-4,FY23/Q3,x,,,,,,,x,,,50.0,X,,,,,,X,,,X,75.0,63.0
115,111.0,4.0,CC,580.0,,3.0,R,4.0,NoCst-4,FY23/Q3,,,x,,x,,,x,,x,0.0,X,,,,,,,X,,X,50.0,25.0
117,112.0,4.0,CC,680.0,R,0.0,,1.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
118,113.0,4.0,CC,680.0,,1.0,,2.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
119,114.0,4.0,CC,680.0,,3.0,,4.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
120,115.0,4.0,CC,680.0,,4.0,,5.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,X,,,,,75.0,88.0
121,116.0,4.0,CC,680.0,,5.0,R,6.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
122,117.0,4.0,CC,680.0,,13.0,,14.0,InVal-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
123,118.0,4.0,CC,680.0,,14.0,,15.0,InVal-5,FY23/Q3,,,x,,,x,,,,,50.0,,X,,,,,X,,,,50.0,50.0
124,119.0,4.0,CC,680.0,,15.0,,16.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
125,120.0,4.0,CC,680.0,,16.0,,17.0,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,,,X,,,,50.0,63.0
126,121.0,4.0,CC,680.0,R,18.0,,19.0,InVal-5,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,,50.0,50.0
127,122.0,4.0,CC,680.0,,19.0,,20.0,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,,,X,,X,,X,,,X,25.0,50.0
128,123.0,4.0,CC,680.0,,20.0,,21.0,InVal-5,FY23/Q3,,,x,,,x,,,,,50.0,,,X,,X,,,X,,,0.0,25.0
129,124.0,4.0,CC,680.0,,21.0,,22.0,InVal-5,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,,X,,,0.0,13.0
131,125.0,4.0,MRN,101.0,,0.0,,1.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
132,126.0,4.0,MRN,101.0,,1.0,,2.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
133,127.0,4.0,MRN,101.0,,2.0,,3.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
134,128.0,4.0,MRN,101.0,,5.0,,6.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
135,129.0,4.0,MRN,101.0,,6.0,,7.0,LoMt-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
136,130.0,4.0,MRN,101.0,,7.0,,8.0,LoMt-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
137,131.0,4.0,MRN,101.0,,9.0,,10.0,LoMt-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
138,132.0,4.0,MRN,101.0,,10.0,,11.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
139,133.0,4.0,MRN,101.0,,11.0,,12.0,LoMt-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
140,134.0,4.0,MRN,101.0,,12.0,,13.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
141,135.0,4.0,MRN,101.0,,13.0,,14.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,X,X,,,,,75.0,88.0
142,136.0,4.0,MRN,101.0,,17.0,,18.0,LoMt-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
143,137.0,4.0,MRN,101.0,,18.0,,19.0,LoMt-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
145,140.0,4.0,MRN,580.0,,3.0,,4.0,LoMt-4,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
147,141.0,4.0,SCL,17.0,,0.0,,1.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
148,142.0,4.0,SCL,17.0,,1.0,,2.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
149,143.0,4.0,SCL,17.0,,2.0,,3.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
150,144.0,4.0,SCL,17.0,,3.0,,4.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
151,145.0,4.0,SCL,17.0,,4.0,,5.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
152,146.0,4.0,SCL,17.0,,6.0,,7.0,NoCst-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
153,147.0,4.0,SCL,17.0,,7.0,,8.0,NoCst-4,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
154,148.0,4.0,SCL,17.0,,8.0,,9.0,NoCst-4,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,,50.0,50.0
155,149.0,4.0,SCL,17.0,,9.0,,10.0,NoCst-4,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,,,X,,,0.0,38.0
156,150.0,4.0,SCL,17.0,,10.0,,11.0,NoCst-4,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,X,,X,,,,25.0,50.0
157,151.0,4.0,SCL,17.0,,11.0,,12.0,NoCst-4,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,,,X,,,50.0,63.0
158,152.0,4.0,SCL,17.0,,12.0,,13.0,NoCst-4,FY23/Q3,,,x,,,,x,,,,25.0,X,,,,,X,,,,,100.0,63.0
160,153.0,4.0,SCL,85.0,,2.0,,3.0,NoCst-5,FY23/Q3,,,x,,,x,,,,,50.0,,X,,,,X,,,,,75.0,63.0
161,154.0,4.0,SCL,85.0,,3.0,,4.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
162,155.0,4.0,SCL,85.0,,4.0,,5.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
163,156.0,4.0,SCL,85.0,,6.0,,7.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
164,157.0,4.0,SCL,85.0,,7.0,,8.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
165,158.0,4.0,SCL,85.0,,8.0,,9.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
166,159.0,4.0,SCL,85.0,,9.0,,10.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,,X,,,X,75.0,75.0
167,160.0,4.0,SCL,85.0,R,11.0,,12.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
168,161.0,4.0,SCL,85.0,,12.0,,13.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
169,162.0,4.0,SCL,85.0,,13.0,,14.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
170,163.0,4.0,SCL,85.0,,14.0, ,15.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
171,164.0,4.0,SCL,85.0, ,15.0,R,16.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
172,165.0,4.0,SCL,85.0,R,17.0,,18.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
173,166.0,4.0,SCL,85.0,,18.0,,19.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
174,167.0,4.0,SCL,85.0,,19.0,,20.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
175,168.0,4.0,SCL,85.0,,20.0,,21.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
176,169.0,4.0,SCL,85.0,,21.0,,22.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
177,170.0,4.0,SCL,85.0, ,22.0,R,23.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
179,171.0,4.0,SCL,87.0,,1.0,,2.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,,,X,,,0.0,38.0
180,172.0,4.0,SCL,87.0,,2.0,,3.0,NoCst-5,FY23/Q3,,,x,,,x,,,,,50.0,,,X,,,,,X,,,0.0,25.0
181,173.0,4.0,SCL,87.0,,3.0,,4.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,,X,,,X,,,,,50.0,63.0
182,174.0,4.0,SCL,87.0,,4.0,,5.0,NoCst-5,FY23/Q3,,,x,,,x,,,,,50.0,,,X,,,,,X,,X,0.0,25.0
183,175.0,4.0,SCL,87.0,,5.0,,6.0,NoCst-5,FY23/Q3,,,x,,,,,x,,x,0.0,,,X,,X,,X,,,X,25.0,13.0
184,176.0,4.0,SCL,87.0,,6.0,,7.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,,X,,,0.0,13.0
185,177.0,4.0,SCL,87.0,,7.0,,8.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,,X,,,0.0,25.0
187,178.0,4.0,SCL,101.0,R,17.0,,18.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,,,X,,,,,X,,,0.0,50.0
188,179.0,4.0,SCL,101.0,,18.0,,19.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,,X,,,50.0,75.0
189,180.0,4.0,SCL,101.0,,19.0,,20.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,,X,,,50.0,75.0
190,181.0,4.0,SCL,101.0,,20.0,,21.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,,X,,,,50.0,75.0
