co_rte,los_2022_q1,los_2022_q2,los_2022_q3,los_2022_q4,los_2023_q1,los_2023_q2,los_2023_q3,los_2023_q4,los_2024_q1,los_2024_q2,los_2024_q3,los_2024_q4
MON-101.0,0.0,37.5,95.83333333333333,56.666666666666664,6.333333333333333,62.833333333333336,60.666666666666664,56.666666666666664,56.5,50.0,83.66666666666667,35.5
MON-68.0,98.52941176470588,100.0,81.88235294117646,100.0,95.70588235294117,100.0,100.0,100.0,97.82352941176471,100.0,100.0,99.29411764705883
SB-101.0,25.0,40.78947368421053,90.89473684210526,75.84210526315789,82.57894736842105,87.63157894736842,92.94736842105263,90.26315789473684,79.73684210526316,83.15789473684211,94.89473684210526,97.42105263157895
SB-135.0,41.666666666666664,66.66666666666667,100.0,100.0,87.66666666666667,96.0,96.0,91.66666666666667,67.0,83.33333333333333,100.0,91.66666666666667
SB-154.0,70.0,72.5,100.0,100.0,98.8,100.0,100.0,100.0,98.8,100.0,100.0,100.0
SB-246.0,67.6470588235294,79.41176470588235,97.82352941176471,100.0,98.58823529411765,99.29411764705883,100.0,100.0,97.11764705882354,100.0,100.0,100.0
SBT-156.0,95.0,100.0,92.6,100.0,95.0,100.0,100.0,100.0,97.6,100.0,100.0,100.0
SCR-1.0,66.66666666666667,54.166666666666664,100.0,89.66666666666667,83.5,85.5,85.5,89.66666666666667,75.0,83.33333333333333,89.66666666666667,62.666666666666664
SCR-129.0,96.42857142857143,96.42857142857143,93.14285714285714,89.28571428571429,96.57142857142857,98.28571428571429,100.0,100.0,100.0,100.0,100.0,100.0
SCR-17.0,75.0,62.5,94.0,93.75,90.75,100.0,97.0,97.0,100.0,94.0,97.0,97.0
SCR-9.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
SLO-101.0,38.41463414634146,53.65853658536585,93.0,87.34146341463415,89.48780487804878,84.02439024390245,88.92682926829268,84.09756097560975,78.8780487804878,71.34146341463415,91.29268292682927,95.82926829268293
SLO-41.0,91.66666666666667,91.66666666666667,86.44444444444444,100.0,98.66666666666667,100.0,97.22222222222223,97.33333333333333,94.55555555555556,94.55555555555556,98.66666666666667,100.0
