SegID,ORDER,DIST,CO,RTE,PREFIX,BEGPM,PREFIX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
39,,1,HUM,101,,94,R,95,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
40,,1,HUM,101,,95,R,96,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
41,,1,HUM,101,,96,R,97,1,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
42,,1,MEN,101,,18, ,19,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
43,,1,MEN,101,,19,,20,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
44,,1,MEN,101,,20,,21,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
45,,1,MEN,101,,21,,22,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
46,,1,MEN,101,,22,,23,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
47,,1,MEN,101,,23,,24,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
48,,1,MEN,101,,24,,25,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
49,,1,MEN,101,,25,,26,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
50,,1,MEN,101,,26,,27,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
51,,1,MEN,101,,27,,28,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
52,,1,MEN,101,,28,,29,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
53,,1,MEN,101,,29,,30,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
54,,1,MEN,101,,30,,31,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
55,,1,MEN,101,,31,,32,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
56,,1,MEN,101,,32,,33,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
57,,1,MEN,101,,33,,34,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,,X,,,,X,,,,,75,88
58,,1,MEN,101,,34,R,35,1,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,, ,,,,,,,,,,,,57,1,0,0,1,58,0,0,0,0,100,50,8,0,0,3,58,0,0,0,0,97,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,Encampments,,Need 1 ,1,,,Need 1 ,0,,,,Encampments,,Need 1 ,3,,Encampments,,Need 1 ,0,,
,,,,,,,,,,,,,,,,,,,Need 2,0,,,Need 2,0,,,,,,Need 2,0,,,,Need 2,0,,
