ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
211,LA,110,SoCst-5, ,14, ,15,,FY23/Q3,,1,,,1,,1,,,,50,X,,,,,,X,,,,75,63
212,LA,110,SoCst-5,,15,,16,,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,X,50,63
213,LA,110,SoCst-5,,16,,17,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
214,LA,110,SoCst-5,,17,,18,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
215,LA,110,SoCst-5,,18,,19,,FY23/Q3,,1,,,,,1,,,1,50,X,,,,,X,,,,,100,75
216,LA,110,SoCst-5,,19,,20,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
217,LA,110,SoCst-5,,20,,21,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
218,LA,110,SoCst-5,,21,,22,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
219,LA,110,SoCst-5,,22,,23,,FY23/Q3,1,,,,,1,,,,,100,,,X,,X,X,,,,,50,75
220,LA,110,SoCst-5,,23,,24,,FY23/Q3,1,,,,,,1,,,1,75,,,X,,X,X,,,,,50,63
221,LA,110,SoCst-5,,24,,25,,FY23/Q3,,1,,,,,,1,,1,25,,,X,,X,,X,,,X,25,25
222,LA,110,SoCst-5,,25,,26,,FY23/Q3,,1,,,,,1,,,,50,,,X,,X,,X,,,X,25,38
223,LA,110,SoCst-5,,26,,27,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
224,LA,110,SoCst-5,,27,,28,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
225,LA,110,SoCst-5,,28,,29,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
226,LA,110,SoCst-5,,29,,30,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
227,LA,110,SoCst-5,,30,,31,,FY23/Q3,1,,,,,,1,,,1,75,X,,,,,X,,,,,100,88
228,LA,110,SoCst-5,,31,,32,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
229,LA,118,InVal-5,R,0,,1,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
230,LA,118,InVal-5,,1,,2,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
231,LA,118,InVal-5,,2,,3,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
232,LA,118,InVal-5,,3,,4,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,X,75,75
233,LA,118,InVal-5,,4,,5,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
234,LA,118,InVal-5,,5,,6,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
235,LA,118,InVal-5,,6,,7,,FY23/Q3,1,,,,,1,,,,,100,,X,,,X,X,,,,,75,88
236,LA,118,InVal-5,,7,,8,,FY23/Q3,1,,,,,1,,,,,100,,X,,,X,X,,,,,75,88
237,LA,118,InVal-5,,8,,9,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
238,LA,118,InVal-5,,9,,10,,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63
239,LA,118,InVal-5,,10,,11,,FY23/Q3,,,1,,,,1,,,,25,,X,,,,,X,,,,50,38
240,LA,118,InVal-5,,11,,12,,FY23/Q3,,1,,,1,,1,,,,50,,X,,,X,,X,,,X,50,50
241,LA,118,InVal-5,,12,,13,,FY23/Q3,,1,,,,,,1,,,25,,X,,,X,,X,,,,50,38
242,LA,118,InVal-5,,13,R,14,,FY23/Q3,,1,,, 1,1,,,,,75,,X,,,X,,X,,,X,50,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
243,LA,134,InVal-5,,0,,1,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,X,,,,,75,88
244,LA,134,InVal-5,,1,,2,,FY23/Q3,1,,,,,,,1,,,50,X,,,,,,X,,,,75,63
245,LA,134,InVal-5,,2,,3,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
246,LA,134,InVal-5,,3,,4,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
247,LA,134,InVal-5,,4,,5,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
248,LA,134,InVal-5,,5,,6,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
249,LA,134,InVal-5,,6,,7,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
250,LA,134,InVal-5,,7,,8,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
251,LA,134,InVal-5,,8,,9,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
252,LA,134,InVal-5,,9,,10,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
253,LA,134,InVal-5,,10,,11,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
254,LA,134,InVal-5,,11,,12,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
256,LA,164,InVal-4,,2,,3,,FY23/Q3,1,,,,,,1,,,1,75,X,,,,,X,,,,,100,88
257,LA,164,InVal-4,,3,,4,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
258,LA,170,InVal-5,,14,,15,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
259,LA,170,InVal-5,R,15,,16,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
260,LA,170,InVal-5,,16,,17,,FY23/Q3,1,,,,,1,,,,,100,,X,,,X,,X,,,,50,75
261,LA,170,InVal-5,,17,,18,,FY23/Q3,,1,,,,1,,,,,75,,x,,,X,,X,,,,50,63
262,LA,170,InVal-5,,18,,19,,FY23/Q3,,,1,,UNSHELT,1,,,,,50,,X,,,X,,X,,,X,50,50
263,LA,170,InVal-5,,19,R,20,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
274,LA,210,InVal-5,,10,,11,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
275,LA,210,InVal-5,,11,,12,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
276,LA,210,InVal-5,,12,,13,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
277,LA,210,InVal-5,,13,,14,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
278,LA,210,InVal-5,,14,,15,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
279,LA,210,InVal-5,,15,,16,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
280,LA,210,InVal-5,,16,,17,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
281,LA,210,InVal-5,,17,,18,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
282,LA,210,InVal-5,,18,,19,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
283,LA,210,InVal-5,,19,,20,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
284,LA,210,InVal-5,,20,,21,,FY23/Q3,1,,,,,1,,,,,100,x,,,,,X,,,,,100,100
285,LA,210,InVal-5,,21,,22,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
286,LA,210,InVal-5,,22,,23,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
287,LA,210,InVal-5,,23,,24,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
288,LA,210,InVal-5,,24,,25,,FY23/Q3,1,,,,,1,,,,,100,,X,,,X,X,,,,,75,88
289,LA,210,InVal-5,,25,,26,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
290,LA,210,InVal-5,,26,,27,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
291,LA,210,InVal-5,,27,,28,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
292,LA,210,InVal-5,,28,,29,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
293,LA,210,InVal-5,,29,R,30,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
294,LA,210,InVal-5,R,30,R,31,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
295,LA,210,InVal-5,,31,,32,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
296,LA,210,InVal-5,,32,,33,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
297,LA,210,InVal-5,,33,,34,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,X,75,88
298,LA,210,InVal-5,,34,,35,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
299,LA,210,InVal-5,,35,R,36,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
300,LA,405,SoCst-5,,5,,6,,FY23/Q3,1,,,,,1,,,,,100,,X,,,X,X,,,,,75,88
301,LA,405,SoCst-5,,6,,7,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
302,LA,405,SoCst-5,,7,,8,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
304,LA,405,SoCst-5,,22,,23,,FY23/Q3,,1,,,UNSHELTERED,,1,,,UNSHELTERED,50,,X,,,X,,X,,,X,50,50
305,LA,405,SoCst-5,,23,,24,,FY23/Q3,,1,,,UNSHELTERED,,1,,,UNSHELTERED,50,,X,,,X,,X,,,X,50,50
306,LA,405,SoCst-5,,24,,25,,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63
307,LA,405,SoCst-5,,25,,26,,FY23/Q3,,,1,,,,1,,,,25,X,,,,,,X,,,,75,50
308,LA,405,SoCst-5,,26,,27,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,,X,,,,75,75
309,LA,405,SoCst-5,,27,,28,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
310,LA,405,SoCst-5,,28,,29,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
311,LA,405,SoCst-5,,29,,30,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
312,LA,405,SoCst-5,,30,,31,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
313,LA,405,SoCst-5,,31,,32,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
314,LA,405,SoCst-5,,32,,33,,FY23/Q3,,1,,,,,1,,,UNSHELTERED,50,X,,,,,X,,,,,100,75
315,LA,405,SoCst-5,,33,,34,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
316,LA,405,SoCst-5,,34,,35,,FY23/Q3,,,1,,,1,,,,,50,X,,,,,X,,,,,100,75
317,LA,405,SoCst-5,,35,,36,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
318,LA,405,SoCst-5,,36,,37,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
319,LA,405,SoCst-5,,37,,38,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
320,LA,405,SoCst-5,,38,,39,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
321,LA,405,SoCst-5,,39,,40,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
322,LA,405,SoCst-5,,40,,41,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
323,LA,405,SoCst-5,,41,,42,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
324,LA,405,SoCst-5,,42,,43,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
325,LA,405,SoCst-5,,43,,44,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
326,LA,405,SoCst-5,,44,,45,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
327,LA,405,SoCst-5,,45,,46,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
328,LA,405,SoCst-5,,46,,47,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
329,LA,405,SoCst-5,,47,,48,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,X,75,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
330,LA,710,SoCst-5,,6,,7,,FY23/Q3,1,,,,,1,,,,,100,,x,,,X,X,,,,,75,88
331,LA,710,SoCst-5,,7,,8,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
332,LA,710,SoCst-5,,8,,9,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
333,LA,710,SoCst-5,,9,,10,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
334,LA,710,SoCst-5,,10,,11,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
335,LA,710,SoCst-5,,11,,12,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
336,LA,710,SoCst-5,,12,,13,,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,X,75,63
337,LA,710,SoCst-5,,13,,14,,FY23/Q3,,1,,,,,1,,,,50,,X,,,,X,,,,,75,63
338,LA,710,SoCst-5,,14,,15,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
339,LA,710,SoCst-5,,15,,16,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
340,LA,710,SoCst-5,,16,,17,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
341,LA,710,SoCst-5,,18,,19,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
342,LA,710,SoCst-5,,19,,20,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
343,LA,710,SoCst-5,,20,,21,,FY23/Q3,,1,,,,,1,,,,50,,X,,,X,,X,,,,50,50
344,LA,710,SoCst-5,,24,,25,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,,X,,,50,75
345,LA,710,SoCst-5,,25,,26,,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
346,VEN,1,SoCst-3,,10,,11,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
347,VEN,1,SoCst-3,,11,,12,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
348,VEN,1,SoCst-3,,12,,13,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
349,VEN,1,SoCst-3,,13,,14,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
350,VEN,33,SoCst-3,,0,,1,,FY23/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75
351,VEN,33,SoCst-3,,1,,2,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
352,VEN,33,SoCst-3,,2,,3,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
353,VEN,33,SoCst-3,,3,,4,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
354,VEN,33,SoCst-3,,4,,5,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
355,VEN,33,SoCst-3,,5,,6,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
356,VEN,33,SoCst-3,,6,,7,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
358,VEN,33,SoCst-3,,8,,9,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
359,VEN,33,SoCst-3,,9,,10,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
362,VEN,101,SoCst-5,,14,,15,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
363,VEN,101,SoCst-5,,15,,16,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
364,VEN,101,SoCst-5,,16,,17,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
365,VEN,101,SoCst-5,,17,,18,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
366,VEN,101,SoCst-5,,18,,19,,FY23/Q3,1,,,,,,,1,,,50,X,,,,,,X,,,,75,63
367,VEN,101,SoCst-5,,19,,20,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
368,VEN,101,SoCst-5,,30,,31,,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,X,75,75
369,VEN,101,SoCst-5,,31,,32,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
370,VEN,118,SoCst-4,,2,,3,,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
371,VEN,118,SoCst-4,,3,,4,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
372,VEN,118,SoCst-4,,4,,5,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
373,VEN,118,SoCst-4,,5,,6,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
374,VEN,118,SoCst-4,,6,,7,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
375,VEN,118,SoCst-4,,7,,8,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
376,VEN,118,SoCst-4,,8,,9,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
377,VEN,118,SoCst-4,,9,,10,,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,254,86,12,23,12,230,104,17,23,13,82,257,87,7,23,39,237,109,5,23,35,84,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Encampments,,Need 1,10,,Encampments,,Need 1,10,,,Encampments ,,Need 1,32,,Encampments ,,Need 1,31,,
,,,,,,,,,,,,,Need 2,2,,,,Need 2,3,,,,,Need 2,7,,,,Need 2,4,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Encampments ,,Need 1,#REF!,,Encampments ,,Need 1,#REF!,,,,,,,,,,,,,
,,,,,,,,,,,,,Need 2,#REF!,,,,Need 2,#REF!,,,,,,,,,,,,,
