co_rte,los_2022_q1,los_2022_q2,los_2022_q3,los_2022_q4,los_2023_q1,los_2023_q2,los_2023_q3,los_2023_q4,los_2024_q1,los_2024_q2,los_2024_q3,los_2024_q4
ORA-1.0,83.33333333333333,91.66666666666667,100.0,100.0,100.0,100.0,100.0,95.86666666666666,100.0,100.0,100.0,100.0
ORA-133.0,90.0,85.0,92.5,100.0,100.0,100.0,100.0,100.0,92.6,100.0,100.0,100.0
ORA-22.0,11.11111111111111,27.77777777777778,62.888888888888886,61.111111111111114,84.77777777777777,93.22222222222223,89.11111111111111,68.22222222222223,59.888888888888886,69.55555555555556,71.0,61.111111111111114
ORA-241.0,95.83333333333333,97.91666666666667,100.0,92.70833333333333,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ORA-39.0,93.18181818181819,84.0909090909091,96.63636363636364,97.72727272727273,95.45454545454545,93.18181818181819,95.45454545454545,95.45454545454545,95.45454545454545,96.63636363636364,92.0909090909091,93.18181818181819
ORA-405.0,71.42857142857143,64.28571428571429,96.42857142857143,100.0,100.0,100.0,100.0,100.0,91.14285714285714,85.71428571428571,92.85714285714286,92.85714285714286
ORA-5.0,43.54838709677419,52.41935483870968,77.2258064516129,87.5,90.7741935483871,84.70967741935483,90.93548387096774,73.58064516129032,78.3225806451613,68.58064516129032,65.83870967741936,68.2258064516129
ORA-55.0,46.875,37.5,73.5,84.375,90.75,93.75,98.5,89.125,93.875,92.25,73.625,68.75
ORA-57.0,3.125,9.375,62.625,59.375,86.0,92.25,81.375,62.625,75.125,32.875,45.375,75.0
ORA-73.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ORA-74.0,70.45454545454545,59.09090909090909,100.0,100.0,100.0,100.0,100.0,97.81818181818181,97.72727272727273,90.9090909090909,96.63636363636364,93.18181818181819
ORA-90.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
ORA-91.0,3.5714285714285716,0.0,43.142857142857146,35.714285714285715,78.71428571428571,82.28571428571429,86.0,37.57142857142857,62.714285714285715,85.71428571428571,50.142857142857146,42.857142857142854
