co_rte,los_2022_q1,los_2022_q2,los_2022_q3,los_2022_q4,los_2023_q1,los_2023_q2,los_2023_q3,los_2023_q4,los_2024_q1,los_2024_q2,los_2024_q3,los_2024_q4
COL-5.0,53.6764705882353,94.8529411764706,98.20588235294117,99.6470588235294,97.52941176470588,98.94117647058823,99.29411764705883,98.23529411764706,94.6470588235294,96.79411764705883,94.23529411764706,77.94117647058823
GLE-5.0,73.21428571428571,71.42857142857143,99.57142857142857,99.14285714285714,99.14285714285714,100.0,100.0,99.57142857142857,97.85714285714286,100.0,96.57142857142857,99.57142857142857
PLA-49.0,75.0,100.0,100.0,100.0,96.0,100.0,100.0,98.0,100.0,100.0,100.0,97.0
PLA-80.0,47.22222222222222,52.77777777777778,91.11111111111111,75.27777777777777,91.16666666666667,98.66666666666667,93.22222222222223,81.5,70.33333333333333,82.05555555555556,91.16666666666667,85.66666666666667
SAC-5.0,18.75,31.25,76.5,49.166666666666664,62.666666666666664,29.333333333333332,54.5,74.25,54.416666666666664,71.08333333333333,63.833333333333336,91.83333333333333
SAC-50.0,42.857142857142854,58.92857142857143,83.14285714285714,65.42857142857143,88.71428571428571,93.0,83.28571428571429,74.28571428571429,80.42857142857143,85.78571428571429,77.92857142857143,79.71428571428571
SAC-51.0,41.666666666666664,50.0,71.0,12.666666666666666,66.66666666666667,96.0,46.333333333333336,25.333333333333332,33.333333333333336,79.66666666666667,79.66666666666667,75.0
SAC-80.0,52.27272727272727,47.72727272727273,79.9090909090909,65.0909090909091,76.36363636363636,79.72727272727273,72.81818181818181,64.9090909090909,62.63636363636363,83.27272727272727,84.36363636363636,71.81818181818181
SAC-99.0,48.611111111111114,30.555555555555557,65.66666666666667,30.88888888888889,58.666666666666664,57.94444444444444,43.888888888888886,46.833333333333336,37.72222222222222,71.66666666666667,77.27777777777777,82.35714285714286
YOL-5.0,5.0,46.25,78.5,55.9,34.0,18.9,37.8,55.9,45.9,53.45,34.55,17.5
YOL-80.0,33.333333333333336,58.333333333333336,87.66666666666667,75.0,100.0,83.66666666666667,92.0,83.66666666666667,71.0,67.0,71.0,96.0
