ID,DIST,CO,RTE,PF1,BEGPM,PF1,ENDPM,Length,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
32,3,COL,5,R,31,R,32,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
33,3,COL,5,R,32,R,33,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
34,3,COL,5,R,33,R,34,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
35,3,GLE,5,R,0,R,1,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
36,3,GLE,5,R,1,R,2,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
37,3,GLE,5,R,2,R,3,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
38,3,GLE,5,R,3,R,4,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
39,3,GLE,5,R,4,R,5,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
40,3,GLE,5,R,5,R,6,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
41,3,GLE,5,R,6,R,7,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
42,3,GLE,5,R,7,R,8,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
43,3,GLE,5,R,8,R,9,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
44,3,GLE,5,R,9,R,10,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
45,3,GLE,5,R,10,R,11,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
46,3,GLE,5,R,11,R,12,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
47,3,GLE,5,R,12,R,13,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
48,3,GLE,5,R,13,R,14,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
49,3,GLE,5,R,14,R,15,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
50,3,GLE,5,R,15,R,16,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
51,3,GLE,5,R,16,R,17,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
52,3,GLE,5,R,17,R,18,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
53,3,GLE,5,R,18,R,19,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
54,3,GLE,5,R,19,R,20,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
55,3,GLE,5,R,20,R,21,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
56,3,GLE,5,R,21,R,22,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
57,3,GLE,5,R,22,R,23,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
58,3,GLE,5,R,23,R,24,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
59,3,GLE,5,R,24,R,25,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
60,3,GLE,5,R,25,R,26,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
61,3,GLE,5,R,26,R,27,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
62,3,GLE,5,R,27,R,28,1,3,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
63,3,SAC,5,,1,,2,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,,X,,,25,63
64,3,SAC,5,,2,,3,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,,X,,,50,63
65,3,SAC,5,,3,,4,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,,,X,,,25,50
66,3,SAC,5,,4,,5,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,,X,,,25,63
67,3,SAC,5,,5,,6,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,,X,,,,X,,,,25,50
68,3,SAC,5,,6,,7,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,,,X,,,25,50
69,3,SAC,5,,7,,8,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,X,,,,,,X,,,25,38
70,3,SAC,5,,8,,9,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,,,1,,,25,X,,,,,,,X,,,50,38
71,3,SAC,5,,9,,10,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
72,3,SAC,5,,10,,11,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63
73,3,SAC,5,,11,,12,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
74,3,SAC,5,,12,,13,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
75,3,SAC,5,,13,,14,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
76,3,SAC,5,,14,,15,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
77,3,SAC,5,,15,,16,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,X,X,,,,,75,75
78,3,SAC,5,,16,,17,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
79,3,SAC,5,,17,,18,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
80,3,SAC,5,,18,,19,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
81,3,SAC,5,,19,,20,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,X,,,,X,,,,,75,63
82,3,SAC,5,,20,,21,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
83,3,SAC,5,,21,,22,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
84,3,SAC,5,,22,,23,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
85,3,SAC,5,,23,,24,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
86,3,SAC,5,,24,,25,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
87,3,SAC,5,,25,,26,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50,,X,,,,X,,,,,75,63
88,3,SAC,5,,26,,27,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,,1,,,,1,,,,25,,,X,,,,X,,,,25,25
89,3,SAC,5,,27,,28,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,,1,,,50,X,,,,,,,X,,,50,50
90,3,SAC,5,,28,,29,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,,1,,,,1,,,,25,,,X,,,X,,,,,50,38
91,3,SAC,5,,29,,30,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,,1,,,,,1,,,0,,,X,,,,,X,,,0,0
92,3,SAC,5,,30,,31,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,,1,,,1,,,,,50,,X,,,,X,,,,,75,63
93,3,SAC,5,,31,,32,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
94,3,SAC,5,,32,,33,1,3,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
