ID,DIST,CO,RTE,Prefix,BPM,Prefix,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
203,4,SCL,237,,2,,3,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25,,,X,,,,X,,,,25,25
204,4,SCL,237,,3,,4,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,,X,,,,,X,,,0,25
205,4,SCL,237,,4,,5,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
206,4,SCL,237,,5,,6,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,,,X,,,,,X,,,0,38
207,4,SCL,237,,6,,7,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,,X,,,,,X,,,0,25
208,4,SCL,237,,7,,8,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,,X,,,,,X,,,0,25
209,4,SCL,237,,8,,9,NoCst-5,FY23/Q3,,,x,,,,x,,,,25,,,X,,,,,X,,X,0,13
210,4,SCL,237,,9,,10,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,,,X,,,25,50
211,4,SCL,237,,10,,11,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
212,4,SCL,280,R,0,,1,NoCst-5,FY23/Q3,,,x,,,,x,,,,25,,X,,,,,X,,,,50,38
213,4,SCL,280,,1,,2,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25,,X,,,X,,X,,,,50,38
214,4,SCL,280,,2,,3,NoCst-5,FY23/Q3,,,x,,,,,x,,,0,,,X,,,,X,,,X,25,13
215,4,SCL,280,,3,,4,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,,X,,,,X,,,X,25,38
216,4,SCL,280,,4,,5,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,,X,,X,,,X,,X,0,38
217,4,SCL,280,,5,,6,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,,,X,,,,,X,,,0,50
218,4,SCL,280,,6,,7,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,X,,,,,75,63
219,4,SCL,280,,7,,8,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,,X,,X,50,75
220,4,SCL,280,,8,,9,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
221,4,SCL,280,,9,,10,NoCst-5,FY23/Q3,x,,,,,,,x,,x,50,X,,,,,,X,,,,75,63
222,4,SCL,280,,12,,13,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,,X,,,50,75
223,4,SCL,280,,14,,15,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
224,4,SCL,280,,15,,16,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
225,4,SCL,680,M,0,,1,NoCst-5,FY23/Q3,,x,,,,,,x,,,25,,X,,,X,,,X,,,25,25
226,4,SCL,680,,1,,2,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,,X,,,,X,,,,25,50
227,4,SCL,680,,2,,3,NoCst-5,FY23/Q3,,,x,,,,x,,,,25,,X,,,,,,X,,,25,25
228,4,SCL,680,,3,,4,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,,X,,,,75,75
229,4,SCL,680,,4,,5,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,,,X,,,50,63
230,4,SCL,680,,5,,6,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,,,X,,,25,38
231,4,SCL,680,,6,,7,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,,,X,,,,,X,,,0,50
232,4,SCL,680,,7,,8,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,,X,,,,,75,88
233,4,SCL,680,,8,,9,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,,,X,,,25,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
234,4,SCL,880,,0,,1,NoCst-5,FY23/Q3,,,x,,x,,,x,,,0,,,X,,X,,X,,,,25,13
235,4,SCL,880,,1,,2,NoCst-5,FY23/Q3,,x,,,,,,x,,,25,,,X,,,,,X,,,0,13
236,4,SCL,880,,2,,3,NoCst-5,FY23/Q3,,,x,,,,,x,,,0,,,X,,,,,X,,,0,0
237,4,SCL,880,,3,,4,NoCst-5,FY23/Q3,,,x,,,,,x,,,0,,,X,,,,,X,,,0,0
238,4,SCL,880,,4,,5,NoCst-5,FY23/Q3,,,x,,,,,x,,,0,,,X,,,,X,,,,25,13
239,4,SCL,880,,5,,6,NoCst-5,FY23/Q3,,,x,,,,,x,,,0,,,X,,,,X,,,,25,13
240,4,SCL,880,,6,,7,NoCst-5,FY23/Q3,,,x,,,,,x,,,0,X,,,,,,,X,,,50,25
241,4,SCL,880,,7,,8,NoCst-5,FY23/Q3,,,x,,,,x,,,,25,,X,,,,,X,,,,50,38
242,4,SCL,880,,8,,9,NoCst-5,FY23/Q3,,,x,,,,,x,,,0,,,X,,,,,X,,,0,0
243,4,SCL,880,,9,,10,NoCst-5,FY23/Q3,,x,,,,,,x,,,25,,X,,,,X,,,,,75,50
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
244,4,SM,1,,42,,43,NoCst-3,FY23/Q3,x,,,,,x,,,,,100,x,,,,,X,,,,,100,100
245,4,SM,1,,43,,44,NoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
246,4,SM,1, ,44,,45,NoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
247,4,SM,1,,45,,46,NoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
248,4,SM,1,,46,R,47,NoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
249,4,SM,35,,26,,27,NoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
250,4,SM,35,,27,,28,NoCst-3,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
251,4,SM,92,,9,,10,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,x,,,,,100,100
252,4,SM,92,,10,R,11,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,x,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
253,4,SM,101,,0,,1,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
254,4,SM,101,,1,,2,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
255,4,SM,101,,2,,3,NoCst-5,FY23/Q3,,x,,,,,x,,,,50,,X,,,,X,,,,,75,63
256,4,SM,101,,3,,4,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
257,4,SM,101,,4,,5,NoCst-5,FY23/Q3,,x,,,,x,,,,,75,,,X,,,X,,,,,50,63
258,4,SM,101,,7,,8,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
259,4,SM,101,,8,,9,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
260,4,SM,101,,9,,10,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
261,4,SM,101,,10,,11,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,,X,,,,,75,88
262,4,SM,101,,11,,12,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
263,4,SM,101,,12,,13,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
264,4,SM,101,,17,,18,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
265,4,SM,101,,18,,19,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,,X,,,,,75,88
266,4,SM,101,,20,,21,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,,X,,,,,X,,,,50,75
267,4,SM,101,,21,,22,NoCst-5,FY23/Q3,x,,,,,,,x,,x,50,,,X,,,,,X,,X,0,25
268,4,SM,101,,22,,23,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,,X,,,,75,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
269,4,SM,280,R,13,R,14,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
270,4,SM,280,,18,,19,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
271,4,SM,280,,19,,20,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
272,4,SM,280,,20,R,21,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
273,4,SM,280,R,22,,23,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
274,4,SM,280,,23,,24,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
275,4,SM,280,,24,R,25,NoCst-5,FY23/Q3,x,,,,,,,x,,x,50,,X,,,X,X,,,,,75,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
276,4,SOL,37, R,10,,11,InVal-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
278,4,SOL,80,,2,,3,NoCst-5,FY23/Q3,,x,,,,,,x,,,25,,X,,,,,,X,,,25,25
279,4,SOL,80,,3,,4,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25,,X,,,,,X,,,,50,38
280,4,SOL,80,,4,,5,NoCst-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
281,4,SOL,80,,9,,10,NoCst-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
283,4,SOL,80,,14,,15,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
284,4,SOL,80,,15,,16,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
285,4,SOL,80,,16,,17,InVal-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
288,4,SOL,680,R,1,,2,InVal-4,FY23/Q3,,x,,,,x,,,,,75,,X,,,,X,,,,,75,75
289,4,SOL,680,,2,,3,InVal-4,FY23/Q3,,x,,,,,x,,,,50,,X,,,,X,,,,,75,63
290,4,SOL,680,,4,,5,InVal-4,FY23/Q3,,x,,,,,x,,,,50,,x,,,,,X,,,,50,50
291,4,SOL,680,,5,,6,InVal-4,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
292,4,SOL,680,,6,,7,InVal-4,FY23/Q3,,x,,,,,x,,,,50,,X,,,,X,,,,,75,63
293,4,SOL,680,,7,,8,InVal-4,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
294,4,SOL,680,,8,,9,InVal-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,,X,,,,75,88
295,4,SOL,680,,10,,11,InVal-4,FY23/Q3,,x,,,,,x,,,,50,X,,,,,X,,,,,100,75
296,4,SOL,680,,11,,12,InVal-4,FY23/Q3,x,,,,,,x,,,,75,X,,,,,,x,,,,75,75
297,4,SOL,680,,12,,13,InVal-4,FY23/Q3,,x,,,,,x,,,,50,X,,,,,,X,,,,75,63
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
298,4,SOL,780,,2,,3,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
299,4,SOL,780,,3,,4,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
300,4,SOL,780,,4,,5,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
301,4,SOL,780,,5,,6,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
302,4,SOL,780,,6,,7,NoCst-4,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
303,4,SON,101,,2,,3,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
304,4,SON,101,,3,,4,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
305,4,SON,101,,4,,5,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
306,4,SON,101,,5,,6,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
307,4,SON,101,,6,,7,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
308,4,SON,101,,7,,8,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
309,4,SON,101,,10,,11,LoMt-5,FY23/Q3,,x,,,,x,,,,,75,X,,,,,X,,,,,100,88
310,4,SON,101,,16,,17,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
311,4,SON,101,,17,,18,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
312,4,SON,101,,18,,19,LoMt-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
313,4,SON,101,,21,,22,LoMt-5,FY23/Q3,x,,,,,x,,,,,100,X,,,,,X,,,,,100,100
314,4,SON,101,,22,,23,LoMt-5,FY23/Q3,x,,,,,,x,,,,75,X,,,,,X,,,,,100,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,153,98,48,15,14,166,98,35,15,11,70,167,57,75,15,22,163,74,62,15,21,66,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,Encampments,,Need 1,1,,Encampments,,Need 1,0,,,Encampments,,Need 1,8,,Encampments,,Need 1,10,,
,,,,,,,,,,,,,Need 2,13,,,,Need 2,11,,,,,Need 2,14,,,,Need 2,11,,
