ID,DIST,CO,RTE,PFX,BEGPM,PFX,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
59,6,FRE,99,,24,,25,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75
60,6,FRE,99,,25,,26,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75
61,6,FRE,99,,26,,27,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,x,,,,,50
62,6,FRE,99,,27,,28,1,,6,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50
,,,,,,,,,,,,,,,,,,,,,,,,
66,6,FRE,180,,40,,41,1,,6,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100
67,6,FRE,180,,41,,42,1,,6,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100
68,6,FRE,180,,42,,43,1,,6,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100
69,6,FRE,180,,43,,44,1,,6,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100
70,6,FRE,180,,44,,45,1,,6,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100
71,6,FRE,180,,53,,54,1,,6,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100
72,6,FRE,180,R,54,R,55,1,,6,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100
73,6,FRE,180,R,55,R,56,1,,6,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100
74,6,FRE,180,R,56,R,57,1,,6,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,x,,,,75
75,6,FRE,180,R,57,R,58,1,,6,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,x,,,,75
76,6,FRE,180,R,58,R,59,1,,6,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,x,,,,75
77,6,FRE,180,R,59,R,60,1,,6,District 6 - North Region,InVal-3,FY23/Q3,,x,,,,x,,,,,75
