ID,DIST,CO,RTE,PFX,BEGPM,PREFIX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
155,10,SJ,580,,1,,2,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
156,10,SJ,580,,2,,3,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
157,10,SJ,580,,3,,4,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
158,10,SJ,580,,4,,5,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
159,10,SJ,580,,5,,6,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
160,10,SJ,580,,6,,7,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63
161,10,SJ,580,,7,,8,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63
162,10,SJ,580,,8,,9,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,,X,,,25,50
163,10,SJ,580,,9,,10,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,,X,,,25,50
164,10,SJ,580,,10,,11,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,,X,,,25,50
165,10,SJ,580,,11,,12,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,,X,,,25,50
166,10,SJ,580,,12,,13,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50,,X,,,,,,X,,,25,38
167,10,SJ,580,,13,,14,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
168,10,SJ,580,,14,,15,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50,,,X,,,,,X,,,0,25
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
169,10,STA,5,,0,,1,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
170,10,STA,5,,1,,2,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75
171,10,STA,5,,2,,3,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
172,10,STA,5,,3,,4,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,,1,,,50,,X,,,,,X,,,,50,50
173,10,STA,5,,4,,5,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
174,10,STA,5,,5,,6,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,,1,,,25,X,,,,,,X,,,,75,50
175,10,STA,5,,6,,7,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,,1,,,25,X,,,,,,X,,,,75,50
176,10,STA,5,,7,,8,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,,1,,,25,X,,,,,,X,,,,75,50
177,10,STA,5,,8,,9,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
178,10,STA,5,,9,,10,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63
179,10,STA,5,,10,,11,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75
180,10,STA,5,,11,,12,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75
181,10,STA,5,,12,,13,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
182,10,STA,5,,13,,14,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,,X,,,X,,,,,50,63
183,10,STA,5,,14,,15,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,,X,,,,X,,,,,75,63
184,10,STA,5,,15,,16,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,,,X,,,,X,,,,25,38
185,10,STA,5,,16,,17,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
186,10,STA,5,,17,,18,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,,1,,,,75,X,,,,,,X,,,,75,75
187,10,STA,5,,18,,19,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
188,10,STA,5,,19,,20,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
189,10,STA,5,,20,,21,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63
190,10,STA,5,,21,,22,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63
191,10,STA,5,,22,,23,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
192,10,STA,5,,23,,24,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
193,10,STA,5,,24,,25,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,,X,,,,75,63
194,10,STA,5,,25,,26,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,,1,,,,50,X,,,,,X,,,,,100,75
195,10,STA,5,,26,,27,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
196,10,STA,5,,27,,28,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-4,FY23/Q3,,1,,,,1,,,,,75,X,,,,,X,,,,,100,88
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
198,10,STA,99,R,0,R,1,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
199,10,STA,99,R,1,R,2,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
200,10,STA,99,R,2,R,3,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,,X,,,25,63
201,10,STA,99,R,3,R,4,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,X,,,,,X,,,,,100,88
202,10,STA,99,R,4,R,5,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
203,10,STA,99,R,5,R,6,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
204,10,STA,99,R,6,R,7,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,,X,,,,,X,,,,50,63
205,10,STA,99,R,7,R,8,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,X,,,,,,X,,,,75,75
206,10,STA,99,R,8,R,9,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
207,10,STA,99,R,9,R,10,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
208,10,STA,99,R,10,R,11,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
209,10,STA,99,R,11,R,12,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
210,10,STA,99,R,12,R,13,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,,1,,,1,,,,,50,,X,,,,X,,,,,75,63
211,10,STA,99,R,13,R,14,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,X,,,,,75,75
212,10,STA,99,R,14,R,15,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
213,10,STA,99,R,15,R,16,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,,1,,,,75,,X,,,,,X,,,,50,63
214,10,STA,99,R,16,R,17,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
217,10,STA,99,R,19,R,20,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
218,10,STA,99,R,20,R,21,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,X,,,,,,X,,,,75,88
219,10,STA,99,R,21,R,22,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
220,10,STA,99,R,22,R,23,1,,10,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,1,,,,,75,,,X,,,X,,,,,50,63
,,23,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,102,96,8,13,10,112,81,12,14,12,74,97,82,22,18,2,100,69,32,18,3,68,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,Unsheltered,,Need 1,8,,Unsheltered,,Need 1,10,,,Unsheltered,,Need 1,1,,Unsheltered,,Need 1,1,,
,,,,,,,,,,,,,,,,,,Need 2,2,,,,Need 2,2,,,,,Need 2,1,,,,Need 2,2,,
