ID,DIST,CO,RTE,PFX,BEGPM,PREFIX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",RA LOS Score,Average LOS score
47,10,SJ,4,,21,,22,,,,District 10 Maintenance Region,District 10 Maintenance Region,InVal-3,FY23/Q3,,1,,,,1,,,,,75,,X,,,,X,,,,,75,75
48,10,SJ,4,,22,R,23,,,,District 10 Maintenance Region,District 10 Maintenance Region,InVal-3,FY23/Q3,,1,,,,1,,,,,75,,,X,,,,X,,,,25,50
49,10,SJ,4,R,23,R,24,,,,District 10 Maintenance Region,District 10 Maintenance Region,InVal-3,FY23/Q3,1,,,,,,1,,,,75,,X,,,,,,X,,,25,50
50,10,SJ,4,R,24,,25,,,,District 10 Maintenance Region,District 10 Maintenance Region,InVal-3,FY23/Q3,1,,,,,1,,,,,100,,X,,,,,X,,,,50,75
51,10,SJ,4,,25,,26,,,,District 10 Maintenance Region,District 10 Maintenance Region,InVal-3,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
52,10,SJ,4,,26,,27,,,,District 10 Maintenance Region,District 10 Maintenance Region,InVal-3,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
53,10,SJ,4,,27,,28,,,,District 10 Maintenance Region,District 10 Maintenance Region,InVal-3,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
54,10,SJ,4,,28,,29,,,,District 10 Maintenance Region,District 10 Maintenance Region,InVal-3,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
55,10,SJ,4,,29,,30,,,,District 10 Maintenance Region,District 10 Maintenance Region,InVal-3,FY23/Q3,1,,,,,1,,,,,100,X,,,,,X,,,,,100,100
,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,,
