los_2022_q1,los_2022_q2,los_2022_q3,los_2022_q4,los_2023_q1,los_2023_q2,los_2023_q3,los_2023_q4,los_2024_q1,los_2024_q2,los_2024_q3,los_2024_q4
25.0,62.5,69.0,67.55555555555556,60.55555555555556,71.61111111111111,87.5,90.06666666666666,71.83333333333333,63.888888888888886,91.0,97.27777777777777
13.333333333333334,63.333333333333336,61.0,40.2,41.93333333333333,70.2,69.23076923076923,82.11111111111111,50.09090909090909,27.083333333333332,90.38461538461539,92.83333333333333
75.0,94.44444444444444,98.5,98.5,96.42857142857143,100.0,100.0,100.0,100.0,89.28571428571429,100.0,100.0
40.0,75.0,98.8,91.5,94.0,100.0,100.0,100.0,93.8,95.0,100.0,100.0
16.93548387096774,53.225806451612904,80.57894736842105,42.42857142857143,24.55,63.625,43.47826086956522,83.4,25.2,42.130434782608695,72.91304347826087,76.65217391304348
28.571428571428573,71.42857142857143,94.78571428571429,93.85714285714286,80.64285714285714,91.14285714285714,94.64285714285714,98.9090909090909,80.5,89.28571428571429,94.71428571428571,65.61538461538461
0.0,48.214285714285715,82.6923076923077,64.6923076923077,82.92307692307692,85.6923076923077,100.0,94.38461538461539,28.857142857142858,87.53846153846153,90.1,59.36363636363637
3.4482758620689653,37.93103448275862,65.35714285714286,84.55,75.9,75.1,80.26315789473684,85.15,85.19047619047619,84.82608695652173,86.25925925925925,75.24137931034483
60.0,97.5,97.0,92.6,100.0,96.3,95.0,100.0,97.33333333333333,100.0,100.0,100.0
64.0,98.0,99.52,96.08,92.08,100.0,100.0,98.0,100.0,98.52,100.0,100.0
27.77777777777778,42.592592592592595,76.18518518518519,67.4074074074074,53.03703703703704,70.11111111111111,90.38461538461539,93.88461538461539,45.2,45.458333333333336,88.13636363636364,90.04
32.5,75.0,70.1,80.3,56.6,55.1,82.5,86.4,76.6,85.0,80.0,95.0
30.555555555555557,75.0,96.0,92.0,83.5,98.0,100.0,100.0,100.0,97.0,100.0,
