los_2022_q1,los_2022_q2,los_2022_q3,los_2022_q4,los_2023_q1,los_2023_q2,los_2023_q3,los_2023_q4,los_2024_q1,los_2024_q2,los_2024_q3,los_2024_q4
29.41176470588235,55.88235294117647,86.94117647058823,64.3529411764706,29.705882352941178,79.125,73.625,73.53333333333333,56.4,65.1,86.44444444444444,33.0
98.52941176470588,100.0,81.88235294117646,100.0,95.70588235294117,100.0,100.0,100.0,97.82352941176471,100.0,100.0,99.29411764705883
19.642857142857142,33.035714285714285,84.96428571428571,79.64285714285714,83.78571428571429,86.75,90.85714285714286,90.34782608695652,75.11538461538461,83.15789473684211,93.36363636363636,97.65384615384616
71.875,81.25,100.0,100.0,93.875,98.5,98.5,96.875,87.625,87.6,100.0,95.375
71.25,72.5,100.0,100.0,99.36842105263158,100.0,100.0,100.0,98.58823529411765,100.0,100.0,100.0
64.47368421052632,80.26315789473684,98.05263157894737,100.0,98.73684210526316,99.36842105263158,100.0,100.0,96.78947368421052,100.0,100.0,100.0
70.0,85.0,96.73333333333333,97.6,77.16666666666667,92.85714285714286,100.0,98.0,91.83333333333333,100.0,100.0,100.0
71.42857142857143,63.095238095238095,94.10526315789474,82.95238095238095,88.23809523809524,87.0952380952381,87.63157894736842,87.6842105263158,71.15384615384616,87.58333333333333,90.35714285714286,65.2
97.22222222222223,97.22222222222223,94.66666666666667,91.66666666666667,97.33333333333333,98.66666666666667,100.0,100.0,100.0,98.66666666666667,100.0,100.0
70.83333333333333,75.0,96.0,95.83333333333333,93.83333333333333,100.0,93.83333333333333,98.0,100.0,94.0,97.0,97.0
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
38.69047619047619,52.976190476190474,93.16666666666667,87.35714285714286,89.48780487804878,83.52380952380952,88.9047619047619,83.88095238095238,78.19047619047619,70.83333333333333,91.21428571428571,95.92857142857143
92.5,92.5,86.44444444444444,98.8,98.8,100.0,97.5,97.6,95.1,95.1,98.8,100.0
