ID,DIST,CO,RTE,PFX,BEGPM,PFX.1,ENDPM,Length,HG,MAINT_DIST,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",Average LOS score
49.0,6.0,FRE,99.0,,14.0,,15.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
50.0,6.0,FRE,99.0,,15.0,,16.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
51.0,6.0,FRE,99.0,,16.0,,17.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
52.0,6.0,FRE,99.0,,17.0,,18.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
53.0,6.0,FRE,99.0,,18.0,,19.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
54.0,6.0,FRE,99.0,,19.0,,20.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,,,,,50.0
55.0,6.0,FRE,99.0,,20.0,,21.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,,,,,50.0
56.0,6.0,FRE,99.0,,21.0,,22.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,,,,,0.0
57.0,6.0,FRE,99.0,,22.0,,23.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,,,,,0.0
58.0,6.0,FRE,99.0,,23.0,,24.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,,x,,,,25.0
59.0,6.0,FRE,99.0,,24.0,,25.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
60.0,6.0,FRE,99.0,,25.0,,26.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,x,,,,,75.0
61.0,6.0,FRE,99.0,,26.0,,27.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,,x,,,x,,,,,50.0
62.0,6.0,FRE,99.0,,27.0,,28.0,1.0,,6.0,District 6 - North Region,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0
66.0,6.0,FRE,180.0,,40.0,,41.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
67.0,6.0,FRE,180.0,,41.0,,42.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
68.0,6.0,FRE,180.0,,42.0,,43.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
69.0,6.0,FRE,180.0,,43.0,,44.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
70.0,6.0,FRE,180.0,,44.0,,45.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
71.0,6.0,FRE,180.0,,53.0,,54.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
72.0,6.0,FRE,180.0,R,54.0,R,55.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
73.0,6.0,FRE,180.0,R,55.0,R,56.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,x,,,,,100.0
74.0,6.0,FRE,180.0,R,56.0,R,57.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,x,,,,75.0
75.0,6.0,FRE,180.0,R,57.0,R,58.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,x,,,,75.0
76.0,6.0,FRE,180.0,R,58.0,R,59.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,x,,,,,,x,,,,75.0
77.0,6.0,FRE,180.0,R,59.0,R,60.0,1.0,,6.0,District 6 - North Region,InVal-3,FY23/Q3,,x,,,,x,,,,,75.0
