los_2022_q1,los_2022_q2,los_2022_q3,los_2022_q4,los_2023_q1,los_2023_q2,los_2023_q3,los_2023_q4,los_2024_q1,los_2024_q2,los_2024_q3,los_2024_q4
87.0,91.0,100.0,100.0,100.0,100.0,100.0,96.91666666666667,98.95833333333333,100.0,100.0,100.0
84.61538461538461,84.61538461538461,92.3076923076923,99.03846153846153,100.0,100.0,100.0,100.0,93.83333333333333,100.0,100.0,100.0
13.636363636363637,29.545454545454547,62.90909090909091,61.111111111111114,84.77777777777777,93.22222222222223,90.0,70.63636363636364,60.36363636363637,70.54545454545455,71.72727272727273,65.9090909090909
86.45833333333333,96.875,100.0,96.02272727272727,98.91304347826087,100.0,100.0,100.0,100.0,98.95833333333333,100.0,100.0
95.0,95.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,
93.18181818181819,84.0909090909091,96.63636363636364,97.72727272727273,95.45454545454545,93.18181818181819,95.45454545454545,95.45454545454545,95.45454545454545,96.63636363636364,92.0909090909091,93.18181818181819
48.91304347826087,50.0,96.875,100.0,100.0,100.0,100.0,100.0,87.625,87.5,93.75,92.85714285714286
37.2093023255814,45.93023255813954,78.42857142857143,87.5,90.66666666666667,84.58823529411765,91.5,75.52777777777777,77.94285714285714,68.6,65.91176470588235,68.65714285714286
40.0,45.0,74.33333333333333,85.0,84.18181818181819,93.18181818181819,96.72727272727273,83.0,87.63636363636364,89.81818181818181,73.77777777777777,68.75
2.5,12.5,62.625,59.375,82.0,87.55555555555556,79.33333333333333,61.22222222222222,66.77777777777777,32.875,40.1,67.5
80.88235294117646,80.88235294117646,100.0,97.32142857142857,100.0,100.0,100.0,94.11764705882354,87.54545454545455,97.22222222222223,100.0,82.6
67.1875,68.75,100.0,100.0,100.0,100.0,100.0,97.81818181818181,98.4375,93.75,97.6875,95.3125
100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0,100.0
6.25,0.0,45.625,35.9375,78.25,84.5,87.75,39.125,65.875,87.5,50.142857142857146,50.0
