ID,CO,RTE,REGION ZONE,Prefix,BPM,Prefix.1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
39.0,LA,110.0,SoCst-5,,12.0,,13.0,,FY23/Q3,,1,,,,,,1.0,,,25.0,,X,,,,,X,,,X,50.0,38.0
40.0,LA,110.0,SoCst-5,,13.0,,14.0,,FY23/Q3,1,,,,,,,1.0,,1,50.0,,X,,,X,,x,,,X,50.0,50.0
41.0,LA,605.0,SoCst-5,R,5.0,,6.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
42.0,LA,605.0,SoCst-5,,6.0,,7.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
43.0,LA,605.0,SoCst-5,,7.0,,8.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,,X,,,X,75.0,63.0
44.0,LA,605.0,SoCst-5,,8.0,,9.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
45.0,LA,605.0,SoCst-5,,9.0,,10.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,X,,,,,100.0,88.0
46.0,LA,605.0,SoCst-5,,10.0,R,11.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
47.0,VEN,101.0,SoCst-5,R,23.0,,24.0,,FY23/Q3, ,,1.0,,,,1,,,,50.0,,X,,,,,X,,,,50.0,50.0
48.0,VEN,101.0,SoCst-5,,24.0,,25.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,,X,,,,50.0,50.0
49.0,VEN,101.0,SoCst-5,,25.0,,26.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,,X,,,,,X,,,,50.0,75.0
50.0,LA,1.0,SoCst-4,,35.0,,36.0,,FY23/Q3,,1,,,1,,1,,,,50.0,,X,,,X,,X,,,,50.0,50.0
51.0,LA,1.0,SoCst-4,,36.0,,37.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
52.0,LA,1.0,SoCst-4,,37.0,,38.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
53.0,LA,1.0,SoCst-4,,38.0,,39.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
54.0,LA,1.0,SoCst-4,,39.0,R,40.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
55.0,LA,1.0,SoCst-4,,40.0,,41.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
56.0,LA,1.0,SoCst-4,,41.0,,42.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
57.0,LA,1.0,SoCst-4,,42.0,,43.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
58.0,LA,1.0,SoCst-4,,43.0,,44.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
59.0,LA,1.0,SoCst-4,,44.0,,45.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
60.0,LA,1.0,SoCst-4,,45.0,,46.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
61.0,LA,1.0,SoCst-4,,46.0,,47.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
62.0,LA,1.0,SoCst-4,,47.0,,48.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
63.0,LA,1.0,SoCst-4,,48.0,,49.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
64.0,LA,1.0,SoCst-4,,49.0,,50.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
65.0,LA,1.0,SoCst-4,,50.0,,51.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
66.0,LA,1.0,SoCst-4,,51.0,,52.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
67.0,LA,1.0,SoCst-4,,52.0,,53.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
68.0,LA,1.0,SoCst-4,,53.0,,54.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
69.0,LA,1.0,SoCst-4,,54.0,,55.0,,FY23/Q3,1,,,,,1.0,,,,,100.0,X,,,,,X,,,,,100.0,100.0
70.0,LA,5.0,InVal-5,,8.0,,9.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,,75.0,75.0
71.0,LA,5.0,InVal-5,,9.0,,10.0,,FY23/Q3,1,,,,,,1,,,,75.0,X,,,,,,X,,,X,75.0,75.0
72.0,LA,5.0,InVal-5,,10.0,,11.0,,FY23/Q3,,1,,,,,1,,,,50.0,X,,,,,X,,,,,100.0,75.0
73.0,LA,5.0,InVal-5,,11.0,,12.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,,X,,,,,75.0,63.0
74.0,LA,5.0,InVal-5,,12.0,,13.0,,FY23/Q3,,,1.0,,,,1,,,,25.0,X,,,,,,X,,,X,75.0,50.0
75.0,LA,5.0,InVal-5,,13.0,,14.0,,FY23/Q3,,1,,,,1.0,,,,,75.0,X,,,,,X,,,,,100.0,88.0
76.0,LA,5.0,InVal-5,,14.0,,15.0,,FY23/Q3,,1,,,,,1,,,,50.0,,X,,,X,X,,,,,75.0,63.0
78.0,LA,5.0,InVal-5,,16.0,,17.0,,FY23/Q3,1,,,,,,1,,,,75.0,,X,,,X,,X,,,X,50.0,63.0
