ID,DIST,CO,RTE,PF1,BEGPM,PF1.1,ENDPM,Length,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGET ZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
76.0,3.0,SAC,5.0,,14.0,,15.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1.0,,,,75.0,X,,,,,X,,,,,100.0,88.0
77.0,3.0,SAC,5.0,,15.0,,16.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1.0,,,,75.0,,X,,,X,X,,,,,75.0,75.0
78.0,3.0,SAC,5.0,,16.0,,17.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1.0,,,,1,,,,,75.0,X,,,,,X,,,,,100.0,88.0
79.0,3.0,SAC,5.0,,17.0,,18.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1.0,,,,,1.0,,,,50.0,X,,,,,X,,,,,100.0,75.0
80.0,3.0,SAC,5.0,,18.0,,19.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1.0,,,,1,,,,,75.0,X,,,,,X,,,,,100.0,88.0
81.0,3.0,SAC,5.0,,19.0,,20.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1.0,,,,,1.0,,,,50.0,,X,,,,X,,,,,75.0,63.0
82.0,3.0,SAC,5.0,,20.0,,21.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100.0,X,,,,,X,,,,,100.0,100.0
83.0,3.0,SAC,5.0,,21.0,,22.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1.0,,,,1,,,,,75.0,X,,,,,X,,,,,100.0,88.0
84.0,3.0,SAC,5.0,,22.0,,23.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100.0,X,,,,,X,,,,,100.0,100.0
85.0,3.0,SAC,5.0,,23.0,,24.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,1.0,,,,75.0,X,,,,,X,,,,,100.0,88.0
86.0,3.0,SAC,5.0,,24.0,,25.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100.0,X,,,,,X,,,,,100.0,100.0
87.0,3.0,SAC,5.0,,25.0,,26.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1.0,,,,,1.0,,,,50.0,,X,,,,X,,,,,75.0,63.0
88.0,3.0,SAC,5.0,,26.0,,27.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,,1,,,,1.0,,,,25.0,,,X,,,,X,,,,25.0,25.0
89.0,3.0,SAC,5.0,,27.0,,28.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,,,1,,,50.0,X,,,,,,,X,,,50.0,50.0
90.0,3.0,SAC,5.0,,28.0,,29.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,,1,,,,1.0,,,,25.0,,,X,,,X,,,,,50.0,38.0
91.0,3.0,SAC,5.0,,29.0,,30.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,,1,,,,,1,,,0.0,,,X,,,,,X,,,0.0,0.0
92.0,3.0,SAC,5.0,,30.0,,31.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,,1,,,1,,,,,50.0,,X,,,,X,,,,,75.0,63.0
93.0,3.0,SAC,5.0,,31.0,,32.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,1,,,,,1,,,,,100.0,X,,,,,,X,,,,75.0,88.0
94.0,3.0,SAC,5.0,,32.0,,33.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,1.0,,,,1,,,,,75.0,,X,,,,X,,,,,75.0,75.0
95.0,3.0,SAC,5.0,,33.0,,34.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-5,FY23/Q3,,,1,,,,1.0,,,,25.0,,,X,,,X,,,,,50.0,38.0
96.0,3.0,YOL,5.0,R,7.0,R,8.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,1.0,,,1.0,,1.0,,,,50.0,,X,,,X,X,,,,,75.0,63.0
97.0,3.0,YOL,5.0,R,8.0,R,9.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1.0,,,,25.0,X,,,,,,X,,,,75.0,50.0
98.0,3.0,YOL,5.0,R,9.0,R,10.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1.0,,,,25.0,X,,,,,,,X,,,50.0,38.0
99.0,3.0,YOL,5.0,R,10.0,R,11.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,1.0,,,,1,,,,,75.0,,,X,,,,X,,,,25.0,50.0
100.0,3.0,YOL,5.0,R,11.0,R,12.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50.0,,,X,,,,X,,,,25.0,38.0
101.0,3.0,YOL,5.0,R,12.0,R,13.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1.0,,,,25.0,,,X,,,,X,,,,25.0,25.0
102.0,3.0,YOL,5.0,R,13.0,R,14.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50.0,,,X,,,X,,,,,50.0,50.0
103.0,3.0,YOL,5.0,R,14.0,R,15.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1.0,,,,25.0,,,X,,,X,,,,,50.0,38.0
104.0,3.0,YOL,5.0,R,15.0,R,16.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50.0,,X,,,,X,,,,,75.0,63.0
105.0,3.0,YOL,5.0,R,16.0,R,17.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1.0,,,,25.0,,,X,,,X,,,,,50.0,38.0
106.0,3.0,YOL,5.0,R,17.0,R,18.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50.0,,X,,,,X,,,,,75.0,63.0
107.0,3.0,YOL,5.0,R,18.0,R,19.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50.0,,,X,,,X,,,,,50.0,50.0
108.0,3.0,YOL,5.0,R,19.0,R,20.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,,1,,,0.0,,,X,,,,X,,,,25.0,13.0
109.0,3.0,YOL,5.0,R,20.0,R,21.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1.0,,,,25.0,,,X,,,,X,,,,25.0,25.0
110.0,3.0,YOL,5.0,R,21.0,R,22.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,1,,,,,50.0,,,X,,,X,,,,,50.0,50.0
111.0,3.0,YOL,5.0,R,22.0,R,23.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,1.0,,,,25.0,,,X,,,X,,,,,50.0,38.0
112.0,3.0,YOL,5.0,R,23.0,R,24.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,,1,,,0.0,,X,,,,X,,,,,75.0,38.0
113.0,3.0,YOL,5.0,R,24.0,R,25.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,,1,,,0.0,,,X,,,,,X,,,0.0,0.0
114.0,3.0,YOL,5.0,R,25.0,R,26.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,,1,,,0.0,,X,,,,,,X,,,25.0,13.0
115.0,3.0,YOL,5.0,R,26.0,R,27.0,1.0,3.0,District 3 - Sunrise Region,District 3 - Sunrise Region,InVal-4,FY23/Q3,,,1,,,,,1,,,0.0,,,X,,,,X,,,,25.0,13.0
116.0,3.0,PLA,49.0,,4.0,,5.0,1.0,3.0,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,LoMt-4,FY23/Q3,1,,,,,1,,,,,100.0,X,,,,,X,,,,,100.0,100.0
117.0,3.0,PLA,49.0,,5.0,,6.0,1.0,3.0,District 3 - Sutter/Sierra Region,District 3 - Sutter/Sierra Region,LoMt-4,FY23/Q3,1,,,,,1,,,,,100.0,X,,,,,X,,,,,100.0,100.0
