ID,DIST,CO,RTE,Prefix,BPM,Prefix.1,EPM,Zone,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
41.0,4.0,ALA,580.0,,42.0,,43.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,,X,,,,X,,,,25.0,50.0
42.0,4.0,ALA,580.0,,43.0,,44.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
43.0,4.0,ALA,580.0,,44.0,,45.0,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25.0,,X,,,X,,X,,,,50.0,38.0
44.0,4.0,ALA,680.0,M,0.0,,1.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,,,X,,X,25.0,63.0
45.0,4.0,ALA,680.0,,1.0,,2.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,,X,,,,X,,,,25.0,63.0
46.0,4.0,ALA,680.0,,2.0,,3.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
47.0,4.0,ALA,680.0,,3.0,,4.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
48.0,4.0,ALA,680.0,M,4.0,M,5.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,X,,,,,75.0,88.0
56.0,4.0,ALA,680.0,R,19.0,,20.0,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,,X,,,,,75.0,75.0
57.0,4.0,ALA,880.0, ,3.0,,4.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,,,X,,,50.0,63.0
58.0,4.0,ALA,880.0,,4.0,,5.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,X,,,,,75.0,63.0
59.0,4.0,ALA,880.0,,5.0,,6.0,NoCst-5,FY23/Q3,,,x,,,,,x,,x,0.0,,X,,,,,,X,,X,25.0,13.0
60.0,4.0,ALA,880.0,,6.0,,7.0,NoCst-5,FY23/Q3,,,x,,,,,x,,x,0.0,X,,,,,,,X,,X,50.0,25.0
61.0,4.0,ALA,880.0,,7.0,,8.0,NoCst-5,FY23/Q3,,,x,,x,x,,,,,50.0,,,X,,,X,,,,,50.0,50.0
62.0,4.0,ALA,880.0,,13.0,,14.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,X,,,,,75.0,75.0
63.0,4.0,ALA,880.0,,14.0,,15.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,,,X,,,,50.0,63.0
64.0,4.0,ALA,880.0,,15.0,,16.0,NoCst-5,FY23/Q3,,x,,,,,,x,,x,25.0,,,X,,,,,X,,,0.0,13.0
65.0,4.0,ALA,880.0,,16.0,,17.0,NoCst-5,FY23/Q3,,,x,,,,,x,,,0.0,,,X,,,,,X,,,0.0,0.0
66.0,4.0,ALA,880.0,,17.0,,18.0,NoCst-5,FY23/Q3,,,x,,,,,x,,,0.0,,,X,,,,X,,,,25.0,13.0
67.0,4.0,ALA,880.0,,23.0,,24.0,NoCst-5,FY23/Q3,,,X,,,,x,,,,25.0,,,X,,,,,X,,,0.0,13.0
68.0,4.0,ALA,880.0,,24.0,,25.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,,X,,,,X,,,,25.0,25.0
69.0,4.0,ALA,880.0,,25.0,,26.0,NoCst-5,FY23/Q3,,x,,,,,,x,,,25.0,,,X,,X,,X,,,,25.0,25.0
70.0,4.0,ALA,880.0,,26.0,,27.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,,X,,,0.0,25.0
71.0,4.0,ALA,880.0,,27.0,,28.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,X,,,,25.0,25.0
72.0,4.0,ALA,880.0,,30.0,,31.0,NoCst-5,FY23/Q3,,,x,,,,x,,,,25.0,,X,,,,X,,,,,75.0,50.0
73.0,4.0,ALA,980.0,,1.0,,2.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,X,,X,,,,25.0,38.0
74.0,4.0,CC,4.0,,0.0,,1.0,NoCst-4,FY23/Q3,,,x,,,,,x,,,0.0,,,x,,,,,X,,,0.0,0.0
75.0,4.0,CC,4.0,,1.0,,2.0,NoCst-4,FY23/Q3,,,x,,,x,,,,,50.0,,,x,,,,X,,,,25.0,38.0
76.0,4.0,CC,4.0,,2.0,,3.0,NoCst-4,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,X,,,,25.0,25.0
77.0,4.0,CC,4.0,,3.0,,4.0,NoCst-4,FY23/Q3,,,x,,,,x,,,,25.0,,,X,,,,X,,,,25.0,25.0
78.0,4.0,CC,4.0,R,4.0,R,5.0,NoCst-4,FY23/Q3,,x,,,,,,x,,,25.0,,,X,,,,,X,,,0.0,13.0
79.0,4.0,CC,4.0,R,9.0,,10.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,X,,,,,75.0,88.0
80.0,4.0,CC,4.0,,10.0,,11.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,,X,,,,,X,,,,50.0,75.0
81.0,4.0,CC,4.0,,11.0,,12.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
82.0,4.0,CC,4.0,,12.0,,13.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,,X,,,,,X,,,X,50.0,50.0
83.0,4.0,CC,4.0,,13.0,,14.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,X,X,,,,,50.0,50.0
84.0,4.0,CC,4.0,,14.0,,15.0,InVal-4,FY23/Q3,,x,,,,,x,,,,50.0,,,X,,,,,X,,,0.0,25.0
85.0,4.0,CC,4.0,,15.0,R,16.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,,,X,,,X,,,,,50.0,75.0
86.0,4.0,CC,4.0,R,19.0,,20.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
87.0,4.0,CC,4.0,,20.0,,21.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,,X,,,,75.0,88.0
88.0,4.0,CC,4.0,,22.0,,23.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
89.0,4.0,CC,4.0,,23.0,,24.0,InVal-4,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
90.0,4.0,CC,4.0,,24.0,,25.0,InVal-4,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
91.0,4.0,CC,24.0,R,0.0,,1.0,InVal-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
92.0,4.0,CC,24.0,,1.0,,2.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
93.0,4.0,CC,24.0,,2.0,,3.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
94.0,4.0,CC,24.0,,3.0,,4.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
95.0,4.0,CC,24.0,,4.0,,5.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
96.0,4.0,CC,24.0,,5.0,,6.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,X,,,,,X,,,,,100.0,88.0
97.0,4.0,CC,24.0,,6.0,,7.0,NoCst-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
98.0,4.0,CC,24.0,,7.0,R,8.0,InVal-5,FY23/Q3,x,,,,,x,,,,,100.0,X,,,,,X,,,,,100.0,100.0
99.0,4.0,CC,80.0,,0.0,,1.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,X,,X,,,X,50.0,63.0
100.0,4.0,CC,80.0,,1.0,,2.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,X,,,,,100.0,75.0
101.0,4.0,CC,80.0,,2.0,,3.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,,X,,,,,X,,,0.0,38.0
102.0,4.0,CC,80.0,,3.0,,4.0,NoCst-5,FY23/Q3,,,x,,x,,x,,,,25.0,,,X,,X,,,X,,X,0.0,13.0
103.0,4.0,CC,80.0,,4.0,,5.0,NoCst-5,FY23/Q3,x,,,,,,x,,,,75.0,,X,,,X,,,X,,,25.0,50.0
104.0,4.0,CC,80.0,,5.0,,6.0,NoCst-5,FY23/Q3,x,,,,,,,x,,,50.0,,,X,,X,,X,,,,25.0,38.0
105.0,4.0,CC,80.0,,6.0,,7.0,NoCst-5,FY23/Q3,,x,,,,,x,,,,50.0,X,,,,,,,X,,,50.0,50.0
106.0,4.0,CC,80.0,,7.0,,8.0,NoCst-5,FY23/Q3,,x,,,,x,,,,,75.0,,X,,,,,,X,,,25.0,50.0
107.0,4.0,CC,242.0,R,1.0,,2.0,InVal-5,FY23/Q3,,,x,,x,,,x,,x,0.0,,,X,,X,,,X,,X,0.0,0.0
108.0,4.0,CC,242.0,R,2.0,R,3.0,InVal-5,FY23/Q3,x,,,,,,x,,,,75.0,X,,,,,X,,,,,100.0,88.0
109.0,4.0,CC,580.0,,0.0,,1.0,NoCst-4,FY23/Q3,,x,,,x,,x,,,,50.0,,X,,,,X,,,,,75.0,63.0
110.0,4.0,CC,580.0,,1.0,,2.0,NoCst-4,FY23/Q3,x,,,,,,,x,,,50.0,X,,,,,,X,,,X,75.0,63.0
