ID,DIST,CO,RTE,PF1,BEGPM,PF1.1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
28.0,12.0,ORA,5.0,,2.0,,3.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
29.0,12.0,ORA,5.0,,3.0,,4.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
30.0,12.0,ORA,5.0,,4.0,,5.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75.0,,X,,,,X,,,,,75.0,75.0
31.0,12.0,ORA,5.0,,5.0,,6.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
32.0,12.0,ORA,5.0,,6.0,,7.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
33.0,12.0,ORA,5.0,,7.0,,8.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
34.0,12.0,ORA,5.0,,8.0,,9.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,,X,,,,50.0,,X,,,,X,,,,,75.0,63.0
35.0,12.0,ORA,5.0,,9.0,,10.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
36.0,12.0,ORA,5.0,,10.0,,11.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
37.0,12.0,ORA,5.0,,11.0,,12.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
45.0,12.0,ORA,5.0,,19.0,,20.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,,X,,,,50.0,X,,,,,X,,,,,100.0,75.0
46.0,12.0,ORA,5.0,,20.0,,21.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75.0,,X,,,,X,,,,,75.0,75.0
47.0,12.0,ORA,5.0,,21.0,,22.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
48.0,12.0,ORA,5.0,,22.0,,23.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
49.0,12.0,ORA,5.0, ,23.0,,24.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
50.0,12.0,ORA,5.0, ,24.0,,25.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
51.0,12.0,ORA,5.0, ,25.0,,26.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
52.0,12.0,ORA,5.0, ,26.0,,27.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
53.0,12.0,ORA,5.0, ,27.0,,28.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
54.0,12.0,ORA,5.0, ,28.0,,29.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
55.0,12.0,ORA,5.0,,30.0,,31.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,,X,,,,X,,,,,75.0,88.0
56.0,12.0,ORA,5.0,,31.0,,32.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
57.0,12.0,ORA,5.0,,32.0,,33.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
58.0,12.0,ORA,5.0,,33.0,,34.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
59.0,12.0,ORA,5.0,,34.0,,35.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
60.0,12.0,ORA,5.0,,35.0,,36.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,,X,,,X,X,,,,,75.0,88.0
61.0,12.0,ORA,5.0,,36.0,,37.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
62.0,12.0,ORA,5.0,,37.0,,38.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,,X,,,X,75.0,88.0
63.0,12.0,ORA,5.0,,38.0,,39.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
64.0,12.0,ORA,5.0,,39.0,,40.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,X,X,,,,,75.0,X,,,,,X,,,,,100.0,88.0
65.0,12.0,ORA,5.0,,40.0,,41.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,X,X,,,,,75.0,,X,,,X,X,,,,,75.0,75.0
66.0,12.0,ORA,5.0,,41.0,,42.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,X,75.0,X,,,,,,X,,,X,75.0,75.0
67.0,12.0,ORA,5.0,,42.0,,43.0,1.0,L,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,,X,,,X,75.0,88.0
68.0,12.0,ORA,5.0,,43.0,,44.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
69.0,12.0,ORA,22.0,R,2.0,R,3.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
70.0,12.0,ORA,22.0,R,3.0,R,4.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75.0,,X,,,,X,,,,,75.0,75.0
71.0,12.0,ORA,22.0,R,4.0,R,5.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
72.0,12.0,ORA,22.0,R,5.0,R,6.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
73.0,12.0,ORA,22.0,R,6.0,R,7.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
74.0,12.0,ORA,22.0,R,7.0,R,8.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75.0,X,,,,,X,,,,,100.0,88.0
75.0,12.0,ORA,22.0,R,8.0,R,9.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,X,75.0,X,,,,,,X,,,X,75.0,75.0
76.0,12.0,ORA,22.0,R,9.0,R,10.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75.0,X,,,,,X,,,,,100.0,88.0
77.0,12.0,ORA,22.0,R,10.0,R,11.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,,X,,,,X,,,,,75.0,X,,,,,X,,,,,100.0,88.0
78.0,12.0,ORA,22.0,R,11.0,R,12.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
79.0,12.0,ORA,22.0,R,12.0,R,13.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-5,FY23/Q3,X,,,,,,X,,,,75.0,X,,,,,X,,,,,100.0,88.0
80.0,12.0,ORA,39.0,,0.0,,1.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
81.0,12.0,ORA,39.0,,1.0,,2.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
82.0,12.0,ORA,39.0,,2.0,,3.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
83.0,12.0,ORA,39.0,,3.0,,4.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
84.0,12.0,ORA,39.0,,4.0,,5.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
85.0,12.0,ORA,39.0,,5.0,,6.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
86.0,12.0,ORA,39.0,,6.0,,7.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
87.0,12.0,ORA,39.0,,7.0,,8.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
88.0,12.0,ORA,39.0,,8.0,,9.0,1.0,,12.0,District 12 - Orange Region,District 12 - Orange Region,SoCst-4,FY23/Q3,,X,,,X,,X,,,X,50.0,,X,,,X,,X,,,X,50.0,50.0
