SegID,ORDER,DIST,CO,RTE,PREFIX,BEGPM,PREFIX.1,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
32.0,,1.0,HUM,101,,87.0,,88.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
33.0,,1.0,HUM,101,,88.0,,89.0,1.0,,,,,NoCst-2,FY23/Q3,,X,,,X,X,,,,,75.0,X,,,,,X,,,,,100.0,88.0
34.0,,1.0,HUM,101,,89.0,R,90.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,,X,,,,X,,,,,75.0,88.0
35.0,,1.0,HUM,101,,90.0,R,91.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
36.0,,1.0,HUM,101,,91.0,R,92.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
37.0,,1.0,HUM,101,,92.0,R,93.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
38.0,,1.0,HUM,101,,93.0,R,94.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
39.0,,1.0,HUM,101,,94.0,R,95.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
40.0,,1.0,HUM,101,,95.0,R,96.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
41.0,,1.0,HUM,101,,96.0,R,97.0,1.0,,,,,NoCst-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
42.0,,1.0,MEN,101,,18.0, ,19.0,1.0,,,,,LoMt-2,FY23/Q3,X,,,,,X,,,,,100.0,X,,,,,X,,,,,100.0,100.0
