los_2022_q1,los_2022_q2,los_2022_q3,los_2022_q4,los_2023_q1,los_2023_q2,los_2023_q3,los_2023_q4,los_2024_q1,los_2024_q2,los_2024_q3,los_2024_q4
71.875,46.875,98.0,93.75,87.5,86.125,97.6,91.66666666666667,94.0,96.42857142857143,100.0,
62.5,45.833333333333336,87.66666666666667,91.66666666666667,92.6,95.2,82.6,90.0,80.4,93.83333333333333,90.0,85.0
52.27272727272727,36.36363636363637,95.54545454545455,89.81818181818181,89.81818181818181,94.36363636363636,71.72727272727273,90.0,94.45454545454545,92.0909090909091,91.0,92.6
78.08219178082192,58.9041095890411,92.21153846153847,90.63157894736842,89.26415094339623,90.60344827586206,86.08620689655173,93.72881355932203,93.95081967213115,96.32786885245902,90.515625,83.4
58.8235294117647,33.8235294117647,82.58823529411765,87.52941176470588,79.92307692307692,95.23076923076923,75.0625,98.58823529411765,94.29411764705883,98.52941176470588,94.29411764705883,95.54545454545455
25.0,38.23529411764706,85.58823529411765,82.41176470588235,83.625,77.4375,37.666666666666664,97.33333333333333,93.11111111111111,92.85714285714286,89.75,89.53846153846153
50.0,52.63157894736842,83.15789473684211,92.89473684210526,90.33333333333333,97.11764705882354,86.8125,94.6875,93.1875,94.88235294117646,92.66666666666667,94.6875
34.61538461538461,31.73076923076923,90.15384615384616,89.11538461538461,74.47619047619048,82.33333333333333,74.17391304347827,79.9047619047619,85.73076923076923,92.08,71.38461538461539,81.875
42.857142857142854,67.85714285714286,93.0,98.28571428571429,92.8,97.6,87.5,71.71428571428571,93.0,100.0,87.71428571428571,78.57142857142857
30.555555555555557,63.888888888888886,96.0,97.33333333333333,78.125,91.77777777777777,90.44444444444444,76.875,90.75,94.44444444444444,73.28571428571429,89.125
