ID,DIST,CO,RTE,PFX,BEGPM,PREFIX,ENDPM,Length,HG,MAINT_DIST,MAINT_RGN,DIST_RGN,BUDGETZONE,FY/Q,"NB/EB
Pass","NB/EB
Need 1","NB/EB
Need 2","NB/EB
Construction","NB/EB
Encampments","SB/WB 
Pass","SB/WB
Need 1","SB/WB
Need 2","SB/WB
Construction","SB/WB
Encampments",District LOS Score,"NB/EB
Pass.1","NB/EB
Need 1.1","NB/EB
Need 2.1","NB/EB
Construction.1","NB/EB
Encampments.1","SB/WB 
Pass.1","SB/WB
Need 1.1","SB/WB
Need 2.1","SB/WB
Construction.1","SB/WB
Encampments.1",RA LOS Score,Average LOS score
70.0,10.0,SJ,5.0,R,16.0,,17.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1.0,,,,,,1,,,,75.0,,X,,,,,,X,,,25.0,50.0
71.0,10.0,SJ,5.0,R,17.0,,18.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1.0,,,,,,1,,,,75.0,X,,,,,,,X,,,50.0,63.0
72.0,10.0,SJ,5.0,R,18.0,,19.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1.0,,,,,,1,,,,75.0,,X,,,,X,,,,,75.0,75.0
73.0,10.0,SJ,5.0,R,19.0,,20.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1.0,,,,,,1,,,,75.0,,X,,,,X,,,,,75.0,75.0
74.0,10.0,SJ,5.0,R,20.0,,21.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1.0,,,,,1.0,,,,,100.0,,X,,,,X,,,,,75.0,88.0
75.0,10.0,SJ,5.0,R,21.0,,22.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,,,1,,,,50.0,,,X,,,,X,,,,25.0,38.0
76.0,10.0,SJ,5.0,R,22.0,R,23.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,1.0,,,,,,1,,,,75.0,,,X,,,,X,,,,25.0,50.0
77.0,10.0,SJ,5.0,R,23.0,R,24.0,,,,,,,FY23/Q3,1.0,,,,,1.0,,,,,100.0,,,X,,,,X,,,,25.0,63.0
78.0,10.0,SJ,5.0,R,24.0,,25.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,1.0,1.0,,,,,75.0,,,X,,,,X,,,,25.0,50.0
79.0,10.0,SJ,5.0,,25.0,,26.0,1.0,,10.0,District 10 Maintenance Region,District 10 Maintenance Region,InVal-5,FY23/Q3,,1,,,1.0,1.0,,,,,75.0,,X,,,,,X,,,,50.0,63.0
